condition,true_class,seed,evidence_sufficient,classification_correct,classification_margin,top_score,second_score,mean_score,score_spread,top_to_second_ratio
measurement_noise_0.75,measurement_noise,0,False,True,0.14064542530946023,0.5624785979811038,0.42183317267164355,0.30377238652673366,0.5624785979811038,1.3334148057094735
measurement_noise_0.75,measurement_noise,1,False,True,0.2933490666448578,0.7039928197824341,0.4106437531375763,0.3334521084970129,0.6405383747799349,1.7143638845149167
measurement_noise_0.75,measurement_noise,2,False,True,0.20961113886161087,0.6155514990592273,0.4059403601976165,0.3238133677612225,0.5731470183828584,1.5163594444219672
measurement_noise_0.75,measurement_noise,3,False,True,0.23891928178252264,0.702307450438313,0.46338816865579036,0.31767852183545936,0.6598399362029062,1.515592106017879
measurement_noise_0.75,measurement_noise,4,False,True,0.2511773544577086,0.7158605061487874,0.46468315169107877,0.46452132107066413,0.42134702935148444,1.5405346708656886
measurement_noise_0.75,measurement_noise,5,False,True,0.0636579480172389,0.9654365822498143,0.9017786342325754,0.708673018902577,0.6579508198860714,1.0705915460841917
measurement_noise_0.75,measurement_noise,6,False,True,0.6323929515179753,1.2077519500781193,0.575358998560144,0.5194576301220565,1.1854805819082574,2.099127593551959
measurement_noise_0.75,measurement_noise,7,False,True,0.1971044749747467,0.31832597731719114,0.12122150234244443,0.1098868699149089,0.31832597731719114,2.625986076424881
measurement_noise_0.75,measurement_noise,8,False,True,0.13236013949051384,0.8561209456371905,0.7237608061466767,0.5808518684757858,0.5634552040664791,1.182878291232735
measurement_noise_0.75,measurement_noise,9,False,False,0.16161218559316604,0.6560246138085437,0.4944124282153777,0.4680053136173886,0.3757836246199016,1.326877271623595
measurement_noise_0.75,measurement_noise,10,False,False,0.20120286456389458,0.9610215979242136,0.759818733360319,0.7428360197469501,0.4625065605596047,1.2648037692790288
measurement_noise_0.75,measurement_noise,11,False,True,0.6696892269409205,0.9058369618952803,0.23614773495435984,0.3109447511522262,0.9058369618952803,3.835890960658653
measurement_noise_0.75,measurement_noise,12,False,True,0.3058941014060754,0.5256452770065263,0.21975117560045088,0.24203280739910743,0.5154576710966525,2.39200211588336
measurement_noise_0.75,measurement_noise,13,False,False,0.22336808400813335,1.0001227745650183,0.776754690556885,0.6393203624882415,0.7007310819956794,1.2875658000168686
measurement_noise_0.75,measurement_noise,14,False,True,0.1403214278506727,0.8527883672921988,0.7124669394415261,0.6210197184514386,0.40420793235834196,1.1969514935801344
measurement_noise_0.75,measurement_noise,15,False,True,0.13704510845916007,0.7535108415854411,0.6164657331262811,0.46424720049072077,0.7096302597601968,1.2223077473632498
measurement_noise_0.75,measurement_noise,16,False,True,0.5403241177815596,1.004702528356174,0.46437841057461426,0.41212959315411946,1.004702528356174,2.1635427174807886
measurement_noise_0.75,measurement_noise,17,False,False,0.0728370335745212,0.672944854252997,0.6001078206784758,0.35310807699677266,0.672944854252997,1.1213732450462837
measurement_noise_0.75,measurement_noise,18,False,True,0.8661272031135813,1.4646381800723054,0.5985109769587241,0.5707280454751188,1.4646381800723054,2.4471367050146284
measurement_noise_0.75,measurement_noise,19,False,False,0.05671256128158125,0.30521921695734666,0.2485066556757654,0.20186520147273376,0.2514842836995237,1.2282134501634745
measurement_noise_0.75,measurement_noise,20,False,True,0.311954024367989,0.5744634855018244,0.26250946113383533,0.2846293487732041,0.5148533236050604,2.1883534521704613
measurement_noise_0.75,measurement_noise,21,False,True,0.23963805048357378,0.7536704563008823,0.5140324058173085,0.35887791058538626,0.7536704563008823,1.4661924963681707
measurement_noise_0.75,measurement_noise,22,False,True,0.23390255037034202,0.6549262783799599,0.42102372800961785,0.31548395935969364,0.6549262783799599,1.5555566938579843
measurement_noise_0.75,measurement_noise,23,False,True,0.2890560874792467,0.7180884375112684,0.42903235003202167,0.4107367984803367,0.580488081098738,1.6737396083442164
measurement_noise_0.75,measurement_noise,24,False,True,0.6340094298425817,1.2844467261151258,0.6504372962725441,0.5519505499181915,1.2844467261151258,1.974743351086907
measurement_noise_0.75,measurement_noise,25,False,True,0.49182906471400956,0.7767980845608318,0.2849690198468222,0.3293895180266524,0.7767980845608318,2.7259036262105045
measurement_noise_0.75,measurement_noise,26,False,True,0.22664775740525211,0.8688592809399049,0.6422115235346528,0.4225310566377446,0.8688592809399049,1.3529176121855584
measurement_noise_0.75,measurement_noise,27,False,True,0.5722033933210486,0.8654224635716694,0.2932190702506208,0.35129216881240916,0.8654224635716694,2.951453542325956
measurement_noise_0.75,measurement_noise,28,False,False,0.17140051018070446,0.7755905405490556,0.6041900303683512,0.41412175341756613,0.6720213503807835,1.283686425734176
measurement_noise_0.75,measurement_noise,29,False,True,0.10218647740369857,0.724153544906728,0.6219670675030294,0.43348738617011107,0.7203365152472062,1.1642956399810294
measurement_noise_0.75,measurement_noise,30,False,True,0.1082415797483324,0.3130968213789693,0.20485524163063693,0.18504707581710864,0.2794921534086141,1.528380816059217
measurement_noise_0.75,measurement_noise,31,False,True,0.6015778871363457,1.3809910511583525,0.7794131640220068,0.8433030286451701,0.815639616140615,1.7718343940077312
measurement_noise_0.75,measurement_noise,32,False,True,0.46001998477592665,0.9471600843373418,0.48714009956141513,0.5089181493489561,0.6993684452504858,1.9443278949693328
measurement_noise_0.75,measurement_noise,33,False,False,0.08386821418522683,0.499012275004417,0.4151440608191902,0.304200598261904,0.4619621263344121,1.2020219535804761
measurement_noise_0.75,measurement_noise,34,False,False,0.17637043992074763,1.0565395139497165,0.8801690740289688,0.7995780496988704,0.6658578246073379,1.2003824550574274
measurement_noise_0.75,measurement_noise,35,False,False,0.5086675867668715,1.7360813062682219,1.2274137195013504,0.8017877626319836,1.7360813062682219,1.414422275622036
measurement_noise_0.75,measurement_noise,36,False,True,0.46967645010177356,0.708566664460847,0.23889021435907348,0.2697693929295362,0.708566664460847,2.9660765567937477
measurement_noise_0.75,measurement_noise,37,False,True,0.43787751240127104,0.9438656870153579,0.5059881746140868,0.44077583606736986,0.9438656870153579,1.8653908023312429
measurement_noise_0.75,measurement_noise,38,False,True,0.4736315312386046,1.1143219445688743,0.6406904133302698,0.48264372649579557,1.1143219445688743,1.7392517842977508
measurement_noise_0.75,measurement_noise,39,False,True,0.15023088952868813,0.8061787019416436,0.6559478124129555,0.40132997699743306,0.8061787019416436,1.22902872253636
measurement_noise_0.75,measurement_noise,40,False,True,0.07412095092370552,0.5133353010899603,0.43921435016625476,0.29110045583469035,0.5133353010899603,1.1687580355570804
measurement_noise_0.75,measurement_noise,41,False,True,0.6607074381435654,0.9836865448698278,0.3229791067262624,0.3703108633728669,0.9225378100642173,3.0456661882481937
measurement_noise_0.75,measurement_noise,42,False,True,0.3483610919857185,0.9238069901363967,0.5754458981506781,0.4197886420596092,0.9238069901363967,1.605375923442409
measurement_noise_0.75,measurement_noise,43,False,True,0.6255260647495892,0.8903508918500004,0.2648248271004112,0.30476631671683885,0.8817372387838235,3.3620370929537216
measurement_noise_0.75,measurement_noise,44,False,True,0.46155790457449775,0.9381482670524512,0.4765903624779535,0.4035345890646167,0.9381482670524512,1.968458325872841
measurement_noise_0.75,measurement_noise,45,False,True,0.38995784483168405,0.8136231060544314,0.4236652612227474,0.35698074874998986,0.8136231060544314,1.9204385644088444
measurement_noise_0.75,measurement_noise,46,False,True,0.3356470552821389,0.9202094454792872,0.5845623901971483,0.4379556215789376,0.9202094454792872,1.574185169811156
measurement_noise_0.75,measurement_noise,47,False,True,0.49429813114602084,1.1261679353586151,0.6318698042125943,0.48964662694747013,1.1261679353586151,1.7822784501630191
measurement_noise_0.75,measurement_noise,48,False,False,0.02836645957218309,0.7031281648130481,0.674761705240865,0.5553722238572263,0.48994801671620825,1.0420392256270905
measurement_noise_0.75,measurement_noise,49,False,True,0.15631889392290388,1.1045721522208143,0.9482532582979104,0.8391871890253622,0.5019874334741669,1.1648493085089182
measurement_noise_1.25,measurement_noise,0,True,True,1.5461869950509912,1.9233049134338565,0.3771179183828653,0.6564425613107979,1.9233049134338565,5.100009359608683
measurement_noise_1.25,measurement_noise,1,True,True,1.0102944337753321,1.5856733349631802,0.575378901187848,0.5657495050649943,1.5459666716210285,2.7558767478036854
measurement_noise_1.25,measurement_noise,2,True,True,0.9489099931337762,1.4530241586092854,0.5041141654755091,0.5811816610309197,1.4328735124708047,2.8823315393960973
measurement_noise_1.25,measurement_noise,3,True,True,1.1199013889757599,1.7994808878561004,0.6795794988803405,0.6197650966841102,1.7994808878561004,2.647932862627898
measurement_noise_1.25,measurement_noise,4,True,True,1.44323088375871,2.0395926585268516,0.5963617747681416,0.8264501505910288,1.8406023246571683,3.4200593411883267
measurement_noise_1.25,measurement_noise,5,True,True,0.8328899192104904,1.8831916166968878,1.0503016974863975,1.0462720856117227,1.2951418417787774,1.7930006408653683
measurement_noise_1.25,measurement_noise,6,True,True,1.4673023020119147,1.9956978061985304,0.5283955041866157,0.7409298451716415,1.9956978061985304,3.776901564041174
