condition,true_class,replicate,population_size,hard_accuracy,coverage,selective_accuracy,evidence_sufficient
process_disturbance_2.90,process_disturbance,51,100,0.91,0.87,1.0,True
process_disturbance_2.90,process_disturbance,52,100,0.91,0.84,0.9880952380952381,True
process_disturbance_2.90,process_disturbance,53,100,0.96,0.92,0.9891304347826086,True
process_disturbance_2.90,process_disturbance,54,100,0.95,0.87,1.0,True
process_disturbance_2.90,process_disturbance,55,100,0.92,0.92,0.9891304347826086,True
process_disturbance_2.90,process_disturbance,56,100,0.93,0.92,0.9782608695652174,True
process_disturbance_2.90,process_disturbance,57,100,0.93,0.89,0.9662921348314607,True
process_disturbance_2.90,process_disturbance,58,100,0.97,0.93,0.989247311827957,True
process_disturbance_2.90,process_disturbance,59,100,0.94,0.9,0.9888888888888889,True
process_disturbance_2.90,process_disturbance,60,100,0.93,0.87,0.9885057471264368,True
process_disturbance_2.90,process_disturbance,61,100,0.94,0.88,1.0,True
process_disturbance_2.90,process_disturbance,62,100,0.92,0.89,0.9775280898876404,True
process_disturbance_2.90,process_disturbance,63,100,0.95,0.9,0.9888888888888889,True
process_disturbance_2.90,process_disturbance,64,100,0.93,0.93,0.978494623655914,True
process_disturbance_2.90,process_disturbance,65,100,0.89,0.91,0.967032967032967,False
process_disturbance_2.90,process_disturbance,66,100,0.93,0.82,0.9878048780487805,True
process_disturbance_2.90,process_disturbance,67,100,0.97,0.93,1.0,True
process_disturbance_2.90,process_disturbance,68,100,0.96,0.91,1.0,True
process_disturbance_2.90,process_disturbance,69,100,0.93,0.88,0.9886363636363636,True
process_disturbance_2.90,process_disturbance,70,100,0.89,0.85,0.9764705882352941,False
process_disturbance_2.90,process_disturbance,71,100,0.89,0.87,0.9885057471264368,False
process_disturbance_2.90,process_disturbance,72,100,0.95,0.91,0.989010989010989,True
process_disturbance_2.90,process_disturbance,73,100,0.92,0.88,0.9659090909090909,True
process_disturbance_2.90,process_disturbance,74,100,0.89,0.85,0.9882352941176471,False
process_disturbance_2.90,process_disturbance,75,100,0.91,0.86,0.9651162790697675,True
process_disturbance_2.90,process_disturbance,76,100,0.9,0.91,0.9340659340659341,False
process_disturbance_2.90,process_disturbance,77,100,0.94,0.91,0.989010989010989,True
process_disturbance_2.90,process_disturbance,78,100,0.92,0.86,0.9767441860465116,True
process_disturbance_2.90,process_disturbance,79,100,0.95,0.89,1.0,True
process_disturbance_2.90,process_disturbance,80,100,0.94,0.85,1.0,True
process_disturbance_2.90,process_disturbance,81,100,0.94,0.87,1.0,True
process_disturbance_2.90,process_disturbance,82,100,0.97,0.94,0.9893617021276596,True
process_disturbance_2.90,process_disturbance,83,100,0.89,0.87,0.9310344827586207,False
process_disturbance_2.90,process_disturbance,84,100,0.91,0.85,0.9764705882352941,True
process_disturbance_2.90,process_disturbance,85,100,0.97,0.89,1.0,True
process_disturbance_2.90,process_disturbance,86,100,0.96,0.9,1.0,True
process_disturbance_2.90,process_disturbance,87,100,0.92,0.92,0.9891304347826086,True
process_disturbance_2.90,process_disturbance,88,100,0.96,0.89,1.0,True
process_disturbance_2.90,process_disturbance,89,100,0.92,0.86,0.9883720930232558,True
process_disturbance_2.90,process_disturbance,90,100,0.93,0.88,0.9772727272727273,True
process_disturbance_2.90,process_disturbance,91,100,0.94,0.9,0.9888888888888889,True
process_disturbance_2.90,process_disturbance,92,100,0.94,0.89,0.9887640449438202,True
process_disturbance_2.90,process_disturbance,93,100,0.93,0.86,0.9883720930232558,True
process_disturbance_2.90,process_disturbance,94,100,0.92,0.9,0.9777777777777777,True
process_disturbance_2.90,process_disturbance,95,100,0.94,0.93,0.978494623655914,True
process_disturbance_2.90,process_disturbance,96,100,0.91,0.9,0.9666666666666667,True
process_disturbance_2.90,process_disturbance,97,100,0.94,0.89,1.0,True
process_disturbance_2.90,process_disturbance,98,100,0.93,0.92,0.9891304347826086,True
process_disturbance_2.90,process_disturbance,99,100,0.96,0.92,0.9891304347826086,True
parameter_mismatch_0.435,parameter_mismatch,0,100,0.85,0.64,1.0,False
parameter_mismatch_0.435,parameter_mismatch,1,100,0.9,0.64,0.984375,False
parameter_mismatch_0.435,parameter_mismatch,2,100,0.87,0.61,1.0,False
parameter_mismatch_0.435,parameter_mismatch,3,100,0.88,0.62,1.0,False
parameter_mismatch_0.435,parameter_mismatch,4,100,0.88,0.67,1.0,False
parameter_mismatch_0.435,parameter_mismatch,5,100,0.9,0.65,1.0,False
parameter_mismatch_0.435,parameter_mismatch,6,100,0.88,0.63,0.9841269841269841,False
parameter_mismatch_0.435,parameter_mismatch,7,100,0.87,0.59,1.0,False
parameter_mismatch_0.435,parameter_mismatch,8,100,0.9,0.65,1.0,False
parameter_mismatch_0.435,parameter_mismatch,9,100,0.81,0.64,0.984375,False
parameter_mismatch_0.435,parameter_mismatch,10,100,0.8,0.64,1.0,False
parameter_mismatch_0.435,parameter_mismatch,11,100,0.78,0.54,0.9814814814814815,False
parameter_mismatch_0.435,parameter_mismatch,12,100,0.84,0.6,0.9833333333333333,False
parameter_mismatch_0.435,parameter_mismatch,13,100,0.9,0.7,0.9857142857142858,False
parameter_mismatch_0.435,parameter_mismatch,14,100,0.85,0.56,0.9642857142857143,False
parameter_mismatch_0.435,parameter_mismatch,15,100,0.86,0.62,0.9838709677419355,False
parameter_mismatch_0.435,parameter_mismatch,16,100,0.8,0.48,1.0,False
parameter_mismatch_0.435,parameter_mismatch,17,100,0.81,0.61,0.9344262295081968,False
parameter_mismatch_0.435,parameter_mismatch,18,100,0.89,0.68,0.9852941176470589,False
parameter_mismatch_0.435,parameter_mismatch,19,100,0.91,0.74,0.9864864864864865,False
parameter_mismatch_0.435,parameter_mismatch,20,100,0.81,0.56,0.9821428571428571,False
parameter_mismatch_0.435,parameter_mismatch,21,100,0.89,0.71,0.9859154929577465,False
parameter_mismatch_0.435,parameter_mismatch,22,100,0.79,0.52,0.9807692307692307,False
parameter_mismatch_0.435,parameter_mismatch,23,100,0.81,0.68,0.9558823529411765,False
parameter_mismatch_0.435,parameter_mismatch,24,100,0.93,0.67,0.9850746268656716,False
parameter_mismatch_0.435,parameter_mismatch,25,100,0.87,0.57,1.0,False
parameter_mismatch_0.435,parameter_mismatch,26,100,0.87,0.6,1.0,False
parameter_mismatch_0.435,parameter_mismatch,27,100,0.84,0.66,1.0,False
parameter_mismatch_0.435,parameter_mismatch,28,100,0.81,0.57,0.9824561403508771,False
parameter_mismatch_0.435,parameter_mismatch,29,100,0.81,0.59,0.9830508474576272,False
parameter_mismatch_0.435,parameter_mismatch,30,100,0.83,0.64,1.0,False
parameter_mismatch_0.435,parameter_mismatch,31,100,0.84,0.62,0.9838709677419355,False
parameter_mismatch_0.435,parameter_mismatch,32,100,0.92,0.64,1.0,False
parameter_mismatch_0.435,parameter_mismatch,33,100,0.84,0.64,0.953125,False
parameter_mismatch_0.435,parameter_mismatch,34,100,0.87,0.61,1.0,False
parameter_mismatch_0.435,parameter_mismatch,35,100,0.86,0.57,0.9824561403508771,False
parameter_mismatch_0.435,parameter_mismatch,36,100,0.8,0.53,1.0,False
parameter_mismatch_0.435,parameter_mismatch,37,100,0.85,0.69,1.0,False
parameter_mismatch_0.435,parameter_mismatch,38,100,0.82,0.64,0.984375,False
parameter_mismatch_0.435,parameter_mismatch,39,100,0.84,0.61,0.9672131147540983,False
parameter_mismatch_0.435,parameter_mismatch,40,100,0.85,0.69,0.9710144927536232,False
parameter_mismatch_0.435,parameter_mismatch,41,100,0.87,0.62,0.967741935483871,False
parameter_mismatch_0.435,parameter_mismatch,42,100,0.87,0.73,0.9726027397260274,False
parameter_mismatch_0.435,parameter_mismatch,43,100,0.78,0.61,1.0,False
parameter_mismatch_0.435,parameter_mismatch,44,100,0.88,0.61,0.9836065573770492,False
parameter_mismatch_0.435,parameter_mismatch,45,100,0.85,0.62,1.0,False
parameter_mismatch_0.435,parameter_mismatch,46,100,0.83,0.63,0.9841269841269841,False
parameter_mismatch_0.435,parameter_mismatch,47,100,0.72,0.51,1.0,False
parameter_mismatch_0.435,parameter_mismatch,48,100,0.85,0.65,0.9846153846153847,False
parameter_mismatch_0.435,parameter_mismatch,49,100,0.85,0.59,1.0,False
parameter_mismatch_0.435,parameter_mismatch,50,100,0.89,0.7,0.9571428571428572,False
parameter_mismatch_0.435,parameter_mismatch,51,100,0.8,0.58,0.9827586206896551,False
parameter_mismatch_0.435,parameter_mismatch,52,100,0.79,0.57,0.9649122807017544,False
parameter_mismatch_0.435,parameter_mismatch,53,100,0.84,0.62,0.9838709677419355,False
parameter_mismatch_0.435,parameter_mismatch,54,100,0.84,0.67,0.9850746268656716,False
parameter_mismatch_0.435,parameter_mismatch,55,100,0.85,0.65,0.9692307692307692,False
parameter_mismatch_0.435,parameter_mismatch,56,100,0.9,0.69,0.9855072463768116,False
parameter_mismatch_0.435,parameter_mismatch,57,100,0.81,0.64,1.0,False
parameter_mismatch_0.435,parameter_mismatch,58,100,0.8,0.58,0.9482758620689655,False
parameter_mismatch_0.435,parameter_mismatch,59,100,0.89,0.65,1.0,False
parameter_mismatch_0.435,parameter_mismatch,60,100,0.81,0.67,0.9701492537313433,False
parameter_mismatch_0.435,parameter_mismatch,61,100,0.92,0.66,1.0,False
parameter_mismatch_0.435,parameter_mismatch,62,100,0.84,0.63,0.9682539682539683,False
parameter_mismatch_0.435,parameter_mismatch,63,100,0.81,0.6,1.0,False
parameter_mismatch_0.435,parameter_mismatch,64,100,0.83,0.59,0.9830508474576272,False
parameter_mismatch_0.435,parameter_mismatch,65,100,0.82,0.62,0.967741935483871,False
parameter_mismatch_0.435,parameter_mismatch,66,100,0.86,0.64,0.984375,False
parameter_mismatch_0.435,parameter_mismatch,67,100,0.86,0.6,0.9833333333333333,False
parameter_mismatch_0.435,parameter_mismatch,68,100,0.82,0.64,1.0,False
parameter_mismatch_0.435,parameter_mismatch,69,100,0.91,0.67,1.0,False
parameter_mismatch_0.435,parameter_mismatch,70,100,0.76,0.57,0.9649122807017544,False
parameter_mismatch_0.435,parameter_mismatch,71,100,0.93,0.65,1.0,False
parameter_mismatch_0.435,parameter_mismatch,72,100,0.86,0.62,0.9838709677419355,False
parameter_mismatch_0.435,parameter_mismatch,73,100,0.84,0.68,0.9852941176470589,False
parameter_mismatch_0.435,parameter_mismatch,74,100,0.83,0.67,0.9701492537313433,False
parameter_mismatch_0.435,parameter_mismatch,75,100,0.77,0.59,0.9830508474576272,False
parameter_mismatch_0.435,parameter_mismatch,76,100,0.81,0.61,0.9836065573770492,False
parameter_mismatch_0.435,parameter_mismatch,77,100,0.81,0.57,0.9298245614035088,False
parameter_mismatch_0.435,parameter_mismatch,78,100,0.82,0.68,0.9852941176470589,False
parameter_mismatch_0.435,parameter_mismatch,79,100,0.82,0.63,0.9682539682539683,False
parameter_mismatch_0.435,parameter_mismatch,80,100,0.87,0.59,0.9830508474576272,False
parameter_mismatch_0.435,parameter_mismatch,81,100,0.82,0.61,0.9836065573770492,False
parameter_mismatch_0.435,parameter_mismatch,82,100,0.81,0.62,0.9838709677419355,False
parameter_mismatch_0.435,parameter_mismatch,83,100,0.83,0.57,1.0,False
parameter_mismatch_0.435,parameter_mismatch,84,100,0.8,0.59,0.9830508474576272,False
parameter_mismatch_0.435,parameter_mismatch,85,100,0.84,0.65,0.9846153846153847,False
parameter_mismatch_0.435,parameter_mismatch,86,100,0.88,0.66,0.9848484848484849,False
parameter_mismatch_0.435,parameter_mismatch,87,100,0.8,0.57,0.9824561403508771,False
parameter_mismatch_0.435,parameter_mismatch,88,100,0.83,0.59,1.0,False
parameter_mismatch_0.435,parameter_mismatch,89,100,0.81,0.64,0.984375,False
parameter_mismatch_0.435,parameter_mismatch,90,100,0.87,0.65,0.9692307692307692,False
parameter_mismatch_0.435,parameter_mismatch,91,100,0.84,0.57,0.9824561403508771,False
parameter_mismatch_0.435,parameter_mismatch,92,100,0.83,0.56,1.0,False
parameter_mismatch_0.435,parameter_mismatch,93,100,0.86,0.67,1.0,False
parameter_mismatch_0.435,parameter_mismatch,94,100,0.79,0.53,0.9811320754716981,False
parameter_mismatch_0.435,parameter_mismatch,95,100,0.8,0.52,0.9807692307692307,False
parameter_mismatch_0.435,parameter_mismatch,96,100,0.8,0.66,0.9848484848484849,False
parameter_mismatch_0.435,parameter_mismatch,97,100,0.89,0.6,1.0,False
parameter_mismatch_0.435,parameter_mismatch,98,100,0.82,0.68,0.9558823529411765,False
parameter_mismatch_0.435,parameter_mismatch,99,100,0.86,0.62,0.9838709677419355,False
parameter_mismatch_0.395,parameter_mismatch,0,100,0.96,0.86,1.0,True
parameter_mismatch_0.395,parameter_mismatch,1,100,0.95,0.78,0.9871794871794872,False
parameter_mismatch_0.395,parameter_mismatch,2,100,0.9,0.81,1.0,True
parameter_mismatch_0.395,parameter_mismatch,3,100,0.93,0.8,1.0,True
parameter_mismatch_0.395,parameter_mismatch,4,100,0.98,0.74,1.0,False
parameter_mismatch_0.395,parameter_mismatch,5,100,0.94,0.81,1.0,True
parameter_mismatch_0.395,parameter_mismatch,6,100,0.92,0.81,1.0,True
parameter_mismatch_0.395,parameter_mismatch,7,100,0.94,0.81,0.9753086419753086,True
parameter_mismatch_0.395,parameter_mismatch,8,100,0.97,0.78,1.0,False
parameter_mismatch_0.395,parameter_mismatch,9,100,0.97,0.82,1.0,True
parameter_mismatch_0.395,parameter_mismatch,10,100,0.96,0.81,0.9876543209876543,True
parameter_mismatch_0.395,parameter_mismatch,11,100,0.94,0.84,0.9761904761904762,True
parameter_mismatch_0.395,parameter_mismatch,12,100,0.94,0.79,0.9873417721518988,False
parameter_mismatch_0.395,parameter_mismatch,13,100,0.93,0.72,1.0,False
parameter_mismatch_0.395,parameter_mismatch,14,100,0.93,0.78,0.9871794871794872,False
parameter_mismatch_0.395,parameter_mismatch,15,100,0.96,0.87,1.0,True
parameter_mismatch_0.395,parameter_mismatch,16,100,0.91,0.83,0.9759036144578314,True
parameter_mismatch_0.395,parameter_mismatch,17,100,0.96,0.85,0.9882352941176471,True
parameter_mismatch_0.395,parameter_mismatch,18,100,0.91,0.77,1.0,False
parameter_mismatch_0.395,parameter_mismatch,19,100,0.93,0.81,1.0,True
parameter_mismatch_0.395,parameter_mismatch,20,100,0.92,0.78,1.0,False
parameter_mismatch_0.395,parameter_mismatch,21,100,0.92,0.81,1.0,True
parameter_mismatch_0.395,parameter_mismatch,22,100,0.95,0.8,1.0,True
parameter_mismatch_0.395,parameter_mismatch,23,100,0.94,0.88,0.9886363636363636,True
parameter_mismatch_0.395,parameter_mismatch,24,100,0.94,0.81,1.0,True
parameter_mismatch_0.395,parameter_mismatch,25,100,0.99,0.78,1.0,False
parameter_mismatch_0.395,parameter_mismatch,26,100,0.93,0.79,1.0,False
parameter_mismatch_0.395,parameter_mismatch,27,100,0.93,0.79,0.9746835443037974,False
parameter_mismatch_0.395,parameter_mismatch,28,100,0.97,0.8,1.0,True
parameter_mismatch_0.395,parameter_mismatch,29,100,0.96,0.86,0.9883720930232558,True
parameter_mismatch_0.395,parameter_mismatch,30,100,0.92,0.8,1.0,True
parameter_mismatch_0.395,parameter_mismatch,31,100,0.94,0.82,1.0,True
parameter_mismatch_0.395,parameter_mismatch,32,100,0.94,0.84,0.9880952380952381,True
parameter_mismatch_0.395,parameter_mismatch,33,100,0.95,0.85,1.0,True
parameter_mismatch_0.395,parameter_mismatch,34,100,0.96,0.84,1.0,True
parameter_mismatch_0.395,parameter_mismatch,35,100,0.95,0.82,1.0,True
parameter_mismatch_0.395,parameter_mismatch,36,100,0.96,0.8,1.0,True
parameter_mismatch_0.395,parameter_mismatch,37,100,0.99,0.86,1.0,True
parameter_mismatch_0.395,parameter_mismatch,38,100,0.9,0.78,1.0,False
parameter_mismatch_0.395,parameter_mismatch,39,100,0.97,0.87,1.0,True
parameter_mismatch_0.395,parameter_mismatch,40,100,0.95,0.81,0.9876543209876543,True
parameter_mismatch_0.395,parameter_mismatch,41,100,0.93,0.82,0.9878048780487805,True
parameter_mismatch_0.395,parameter_mismatch,42,100,0.96,0.87,1.0,True
parameter_mismatch_0.395,parameter_mismatch,43,100,0.95,0.84,1.0,True
parameter_mismatch_0.395,parameter_mismatch,44,100,0.95,0.87,1.0,True
parameter_mismatch_0.395,parameter_mismatch,45,100,0.97,0.85,1.0,True
parameter_mismatch_0.395,parameter_mismatch,46,100,0.91,0.77,1.0,False
parameter_mismatch_0.395,parameter_mismatch,47,100,0.94,0.78,0.9871794871794872,False
parameter_mismatch_0.395,parameter_mismatch,48,100,0.91,0.79,0.9873417721518988,False
parameter_mismatch_0.395,parameter_mismatch,49,100,0.93,0.76,1.0,False
parameter_mismatch_0.395,parameter_mismatch,50,100,0.91,0.81,0.9876543209876543,True
parameter_mismatch_0.395,parameter_mismatch,51,100,0.92,0.8,1.0,True
parameter_mismatch_0.395,parameter_mismatch,52,100,0.96,0.85,0.9882352941176471,True
parameter_mismatch_0.395,parameter_mismatch,53,100,0.92,0.81,0.9876543209876543,True
parameter_mismatch_0.395,parameter_mismatch,54,100,0.91,0.8,1.0,True
parameter_mismatch_0.395,parameter_mismatch,55,100,0.93,0.75,1.0,False
parameter_mismatch_0.395,parameter_mismatch,56,100,0.95,0.81,0.9876543209876543,True
parameter_mismatch_0.395,parameter_mismatch,57,100,0.9,0.82,1.0,True
parameter_mismatch_0.395,parameter_mismatch,58,100,0.92,0.83,1.0,True
parameter_mismatch_0.395,parameter_mismatch,59,100,0.92,0.74,1.0,False
parameter_mismatch_0.395,parameter_mismatch,60,100,0.91,0.82,1.0,True
parameter_mismatch_0.395,parameter_mismatch,61,100,0.98,0.84,0.9880952380952381,True
parameter_mismatch_0.395,parameter_mismatch,62,100,0.94,0.78,1.0,False
parameter_mismatch_0.395,parameter_mismatch,63,100,0.91,0.79,0.9873417721518988,False
parameter_mismatch_0.395,parameter_mismatch,64,100,0.96,0.86,0.9883720930232558,True
parameter_mismatch_0.395,parameter_mismatch,65,100,0.95,0.77,1.0,False
parameter_mismatch_0.395,parameter_mismatch,66,100,0.94,0.81,0.9876543209876543,True
parameter_mismatch_0.395,parameter_mismatch,67,100,0.93,0.77,0.987012987012987,False
parameter_mismatch_0.395,parameter_mismatch,68,100,0.98,0.83,0.9879518072289156,True
parameter_mismatch_0.395,parameter_mismatch,69,100,0.88,0.78,0.9871794871794872,False
parameter_mismatch_0.395,parameter_mismatch,70,100,0.95,0.84,0.9880952380952381,True
parameter_mismatch_0.395,parameter_mismatch,71,100,0.9,0.8,1.0,True
parameter_mismatch_0.395,parameter_mismatch,72,100,0.97,0.79,1.0,False
parameter_mismatch_0.395,parameter_mismatch,73,100,0.94,0.8,0.9875,True
parameter_mismatch_0.395,parameter_mismatch,74,100,0.93,0.76,0.9868421052631579,False
parameter_mismatch_0.395,parameter_mismatch,75,100,0.93,0.82,1.0,True
parameter_mismatch_0.395,parameter_mismatch,76,100,0.92,0.76,0.9736842105263158,False
parameter_mismatch_0.395,parameter_mismatch,77,100,0.91,0.72,1.0,False
parameter_mismatch_0.395,parameter_mismatch,78,100,0.93,0.83,1.0,True
parameter_mismatch_0.395,parameter_mismatch,79,100,0.97,0.82,1.0,True
parameter_mismatch_0.395,parameter_mismatch,80,100,0.95,0.82,0.9878048780487805,True
parameter_mismatch_0.395,parameter_mismatch,81,100,0.97,0.86,1.0,True
parameter_mismatch_0.395,parameter_mismatch,82,100,0.9,0.78,1.0,False
parameter_mismatch_0.395,parameter_mismatch,83,100,0.93,0.78,1.0,False
parameter_mismatch_0.395,parameter_mismatch,84,100,0.94,0.82,1.0,True
parameter_mismatch_0.395,parameter_mismatch,85,100,0.96,0.84,1.0,True
parameter_mismatch_0.395,parameter_mismatch,86,100,0.94,0.85,1.0,True
parameter_mismatch_0.395,parameter_mismatch,87,100,0.92,0.89,0.9887640449438202,True
parameter_mismatch_0.395,parameter_mismatch,88,100,0.95,0.83,1.0,True
parameter_mismatch_0.395,parameter_mismatch,89,100,0.92,0.71,0.9859154929577465,False
parameter_mismatch_0.395,parameter_mismatch,90,100,0.95,0.83,0.9879518072289156,True
parameter_mismatch_0.395,parameter_mismatch,91,100,0.98,0.82,1.0,True
parameter_mismatch_0.395,parameter_mismatch,92,100,0.91,0.77,1.0,False
parameter_mismatch_0.395,parameter_mismatch,93,100,0.96,0.81,1.0,True
parameter_mismatch_0.395,parameter_mismatch,94,100,0.96,0.8,1.0,True
parameter_mismatch_0.395,parameter_mismatch,95,100,0.98,0.83,1.0,True
parameter_mismatch_0.395,parameter_mismatch,96,100,0.96,0.85,0.9882352941176471,True
parameter_mismatch_0.395,parameter_mismatch,97,100,0.94,0.83,1.0,True
parameter_mismatch_0.395,parameter_mismatch,98,100,0.9,0.75,1.0,False
parameter_mismatch_0.395,parameter_mismatch,99,100,0.92,0.84,0.9761904761904762,True
structural_change_0.875,structural_change,0,100,0.76,0.64,0.921875,False
structural_change_0.875,structural_change,1,100,0.81,0.62,0.9193548387096774,False
structural_change_0.875,structural_change,2,100,0.8,0.67,0.9253731343283582,False
structural_change_0.875,structural_change,3,100,0.77,0.59,0.8813559322033898,False
structural_change_0.875,structural_change,4,100,0.84,0.69,0.8985507246376812,False
structural_change_0.875,structural_change,5,100,0.79,0.61,0.8360655737704918,False
structural_change_0.875,structural_change,6,100,0.82,0.63,0.9047619047619048,False
structural_change_0.875,structural_change,7,100,0.74,0.57,0.8421052631578947,False
structural_change_0.875,structural_change,8,100,0.75,0.63,0.873015873015873,False
structural_change_0.875,structural_change,9,100,0.78,0.54,0.8703703703703703,False
structural_change_0.875,structural_change,10,100,0.84,0.67,0.8955223880597015,False
structural_change_0.875,structural_change,11,100,0.77,0.57,0.8596491228070176,False
structural_change_0.875,structural_change,12,100,0.74,0.61,0.8852459016393442,False
structural_change_0.875,structural_change,13,100,0.82,0.62,0.8709677419354839,False
structural_change_0.875,structural_change,14,100,0.75,0.62,0.8064516129032258,False
structural_change_0.875,structural_change,15,100,0.82,0.62,0.9354838709677419,False
structural_change_0.875,structural_change,16,100,0.79,0.71,0.8732394366197183,False
structural_change_0.875,structural_change,17,100,0.79,0.57,0.8947368421052632,False
structural_change_0.875,structural_change,18,100,0.78,0.67,0.9104477611940298,False
structural_change_0.875,structural_change,19,100,0.74,0.54,0.9074074074074074,False
structural_change_0.875,structural_change,20,100,0.67,0.6,0.7666666666666667,False
structural_change_0.875,structural_change,21,100,0.8,0.54,0.9074074074074074,False
structural_change_0.875,structural_change,22,100,0.81,0.62,0.8870967741935484,False
structural_change_0.875,structural_change,23,100,0.75,0.58,0.8620689655172413,False
structural_change_0.875,structural_change,24,100,0.82,0.64,0.90625,False
structural_change_0.875,structural_change,25,100,0.79,0.63,0.8888888888888888,False
structural_change_0.875,structural_change,26,100,0.82,0.7,0.9,False
structural_change_0.875,structural_change,27,100,0.85,0.65,0.9384615384615385,False
structural_change_0.875,structural_change,28,100,0.87,0.68,0.9558823529411765,False
structural_change_0.875,structural_change,29,100,0.78,0.45,0.8222222222222222,False
structural_change_0.875,structural_change,30,100,0.82,0.65,0.8769230769230769,False
structural_change_0.875,structural_change,31,100,0.8,0.63,0.9206349206349206,False
structural_change_0.875,structural_change,32,100,0.82,0.67,0.8955223880597015,False
structural_change_0.875,structural_change,33,100,0.77,0.67,0.835820895522388,False
structural_change_0.875,structural_change,34,100,0.8,0.59,0.9152542372881356,False
structural_change_0.875,structural_change,35,100,0.72,0.64,0.828125,False
structural_change_0.875,structural_change,36,100,0.82,0.64,0.921875,False
structural_change_0.875,structural_change,37,100,0.75,0.59,0.8305084745762712,False
structural_change_0.875,structural_change,38,100,0.77,0.63,0.8888888888888888,False
structural_change_0.875,structural_change,39,100,0.84,0.63,0.8571428571428571,False
structural_change_0.875,structural_change,40,100,0.81,0.6,0.9166666666666666,False
structural_change_0.875,structural_change,41,100,0.82,0.63,0.9206349206349206,False
structural_change_0.875,structural_change,42,100,0.77,0.6,0.8333333333333334,False
structural_change_0.875,structural_change,43,100,0.74,0.56,0.9107142857142857,False
structural_change_0.875,structural_change,44,100,0.79,0.58,0.9137931034482759,False
structural_change_0.875,structural_change,45,100,0.81,0.71,0.9014084507042254,False
structural_change_0.875,structural_change,46,100,0.79,0.66,0.803030303030303,False
structural_change_0.875,structural_change,47,100,0.81,0.63,0.9206349206349206,False
structural_change_0.875,structural_change,48,100,0.8,0.61,0.8688524590163934,False
structural_change_0.875,structural_change,49,100,0.81,0.61,0.9508196721311475,False
structural_change_0.875,structural_change,50,100,0.74,0.69,0.7971014492753623,False
structural_change_0.875,structural_change,51,100,0.75,0.56,0.8928571428571429,False
structural_change_0.875,structural_change,52,100,0.82,0.56,0.9464285714285714,False
structural_change_0.875,structural_change,53,100,0.76,0.68,0.8676470588235294,False
structural_change_0.875,structural_change,54,100,0.79,0.67,0.8955223880597015,False
structural_change_0.875,structural_change,55,100,0.79,0.63,0.8888888888888888,False
structural_change_0.875,structural_change,56,100,0.72,0.64,0.828125,False
structural_change_0.875,structural_change,57,100,0.78,0.56,0.9107142857142857,False
structural_change_0.875,structural_change,58,100,0.76,0.58,0.8793103448275862,False
structural_change_0.875,structural_change,59,100,0.79,0.66,0.9090909090909091,False
structural_change_0.875,structural_change,60,100,0.76,0.67,0.8059701492537313,False
structural_change_0.875,structural_change,61,100,0.83,0.65,0.9538461538461539,False
structural_change_0.875,structural_change,62,100,0.76,0.59,0.8135593220338984,False
structural_change_0.875,structural_change,63,100,0.79,0.72,0.8611111111111112,False
structural_change_0.875,structural_change,64,100,0.75,0.54,0.8518518518518519,False
structural_change_0.875,structural_change,65,100,0.86,0.64,0.90625,False
structural_change_0.875,structural_change,66,100,0.78,0.65,0.8923076923076924,False
structural_change_0.875,structural_change,67,100,0.78,0.63,0.873015873015873,False
structural_change_0.875,structural_change,68,100,0.82,0.64,0.921875,False
structural_change_0.875,structural_change,69,100,0.77,0.5,0.9,False
structural_change_0.875,structural_change,70,100,0.65,0.54,0.8148148148148148,False
structural_change_0.875,structural_change,71,100,0.84,0.65,0.9384615384615385,False
structural_change_0.875,structural_change,72,100,0.88,0.62,0.9193548387096774,False
structural_change_0.875,structural_change,73,100,0.78,0.59,0.847457627118644,False
structural_change_0.875,structural_change,74,100,0.8,0.65,0.9076923076923077,False
structural_change_0.875,structural_change,75,100,0.84,0.63,0.9047619047619048,False
structural_change_0.875,structural_change,76,100,0.74,0.6,0.8833333333333333,False
structural_change_0.875,structural_change,77,100,0.79,0.64,0.875,False
structural_change_0.875,structural_change,78,100,0.78,0.6,0.8166666666666667,False
structural_change_0.875,structural_change,79,100,0.81,0.62,0.9032258064516129,False
structural_change_0.875,structural_change,80,100,0.74,0.65,0.8153846153846154,False
structural_change_0.875,structural_change,81,100,0.76,0.63,0.8888888888888888,False
structural_change_0.875,structural_change,82,100,0.82,0.61,0.9016393442622951,False
structural_change_0.875,structural_change,83,100,0.8,0.66,0.8787878787878788,False
structural_change_0.875,structural_change,84,100,0.82,0.64,0.875,False
structural_change_0.875,structural_change,85,100,0.75,0.51,0.9019607843137255,False
structural_change_0.875,structural_change,86,100,0.7,0.51,0.8235294117647058,False
structural_change_0.875,structural_change,87,100,0.76,0.6,0.9,False
structural_change_0.875,structural_change,88,100,0.75,0.63,0.9047619047619048,False
structural_change_0.875,structural_change,89,100,0.84,0.61,0.9180327868852459,False
structural_change_0.875,structural_change,90,100,0.8,0.63,0.8888888888888888,False
structural_change_0.875,structural_change,91,100,0.75,0.69,0.8695652173913043,False
structural_change_0.875,structural_change,92,100,0.74,0.65,0.8153846153846154,False
structural_change_0.875,structural_change,93,100,0.8,0.57,0.8947368421052632,False
structural_change_0.875,structural_change,94,100,0.79,0.58,0.896551724137931,False
structural_change_0.875,structural_change,95,100,0.83,0.64,0.90625,False
