step,true_state,measurement,state_estimate,state_covariance,parameter_estimate,parameter_error,innovation,innovation_covariance,nis,excess_nis,mismatch_indicator,dynamic_lambda,effective_q,parameter_update,consistency_count,persistence_gate_active
0,0.9927954835211036,0.906343683355344,0.9529388657656206,0.12562189054726366,0.5,0.42000000000000004,-0.09365631664465601,0.5025,0.017455732631729497,0.0,0.0,0.05,0.0025000000000000005,-0.0,1,False
1,1.9078060517610322,2.2587979143104637,1.5698991814314733,0.029856304214492244,0.5312568168608125,0.38874318313918754,0.7823284814276534,0.2839054726368159,2.1557803982026207,1.1557803982026207,0.5778901991013103,0.15470413825322862,0.09190200525695494,0.03125681686081246,0,False
2,2.748802153431005,2.0001254462605265,1.8815896851150822,0.07159599778010976,0.5372781898955185,0.3827218101044816,0.16610580434084676,0.3503284636124149,0.07875791179287409,0.0,0.28894509955065517,0.13041962895429315,0.04018411267155775,0.006021373034705926,1,False
3,3.545513898359911,3.411845159111327,2.2851755773343094,0.04893941387415039,0.5837224840325228,0.33627751596747724,1.4009080589666172,0.31085157565829163,6.313441987615887,5.313441987615887,2.801193543583271,0.1877097275330622,0.5283112768333887,0.04644429413700431,0,False
4,4.251024852283858,4.308967245634285,3.6878689987801017,0.1713823126019411,0.6417531677947287,0.27824683220527135,1.9750588811822478,0.7949864981851799,4.906822434144319,3.9068224341443187,3.3540079888637946,0.18959491762618924,0.6384028683662117,0.05803068376220588,0,False
5,4.922557750946485,5.504337094246056,4.94707268242877,0.18482700669215743,0.6849483221014803,0.23505167789851977,2.137635481866951,0.958986181665514,4.76491271792939,3.7649127179293904,3.5594603533965925,0.19015608602762746,0.6793530491724116,0.04319515430675163,0,False
6,5.5615849562107,5.616838544932616,5.314606672849308,0.18848821247792602,0.7040323964854107,0.21596760351458932,1.2283494117889608,1.016065416365464,1.4849853691896322,0.4849853691896322,2.0222228612931126,0.18349633716005354,0.37357048796860914,0.019084074383930397,0,False
7,6.079742079596603,5.5724108958527445,5.282745881216017,0.16283085951762014,0.7161100377226366,0.20388996227736345,0.8307556235892903,0.7169968598306142,0.9625633594661421,0.0,1.0111114306465563,0.17026432471492692,0.17465620495057957,0.012077641237225822,1,False
8,6.605679822989435,7.261220236591459,6.042016522072469,0.12700677757614165,0.7523406538841273,0.16765934611587274,2.4781928843147547,0.508158081951971,12.08568787940432,11.08568787940432,6.048399655025438,0.19404610662169097,1.176168404349665,0.036230616161490745,0,False
9,7.07930828034545,7.026146633460058,6.779077824713719,0.20827927247472441,0.7714206210940174,0.1485793789059826,1.480491972465356,1.4980563309241397,1.4631335519821345,0.46313355198213446,3.2557666035037864,0.1893033381165417,0.6188274861716219,0.01907996720989011,0,False
10,7.539552428937858,6.8127797799335195,6.6659033703842345,0.18704498326728344,0.7781570880790866,0.14184291192091347,0.5832593539481818,0.9927723514926798,0.3426681589757779,0.0,1.6278833017518932,0.1800307079971285,0.2955689833510965,0.0067364669850691295,1,False
11,7.920774368765602,8.165955635062364,7.415065591251491,0.1551348664520975,0.8013831297025765,0.11861687029742352,1.9788356789475987,0.6588300428464625,5.943552038637925,4.943552038637925,3.2857176701949093,0.1893939495463356,0.6247950466523979,0.02322604162348994,0,False
12,8.330782638533325,8.210467802205757,7.885106854104876,0.18585960770899654,0.8148207109877353,0.1051792890122647,1.2681593317387518,0.9744249725888635,1.6504380900700015,0.6504380900700015,1.9680778801324554,0.18309347010044547,0.3628422085013798,0.013437581285158779,0,False
13,8.683150020385057,8.807256745049264,8.337876026937447,0.16510926077916865,0.8286232147994129,0.09137678520058712,1.3823083719732638,0.7362404965919193,2.59531558515515,1.59531558515515,1.7816967326438027,0.18154252089030926,0.3259537163061833,0.0138025038116776,0,False
14,9.027614359189435,8.47100325206535,8.26716278288346,0.15933099374179682,0.8339394427210904,0.0860605572789096,0.562045614025485,0.6893204478497899,0.4582705666583119,0.0,0.8908483663219013,0.16712972459179648,0.1513872421164312,0.005316227921677545,1,False
15,9.33381774483355,8.57655754897098,8.243557069960062,0.12797610839921303,0.8404462085692797,0.07955379143072039,0.6822444249286077,0.5121947774332163,0.9087508812150206,0.0,0.44542418316095067,0.14607607715114374,0.06756581734440421,0.006506765848189259,2,False
