safety_threshold,downside_threshold,test_index,best_persistence,primary_actions,expanded_actions,true_safe_actions,selected_action,true_responsive_action,selected_regret,responsive_retained,responsive_recovered,new_false_safe_actions,safety_score_1,safety_score_2,safety_score_3,downside_score_1,downside_score_2,downside_score_3
0.6,0.005,0,1,2|3,2|3,2|3,2,2,0.0,1,0,,0.2266964285714286,0.7041666666666666,0.7201162205849707,0.0013639565151397184,0.0,5.687419666358372e-06
0.6,0.005,1,1,2|3,2|3,2|3,2,2,0.0,1,0,,0.3953020833333331,0.5549895833333334,0.49287465312465245,0.017422383517089007,0.0006950249005539919,0.00042820585099502534
0.6,0.005,2,1,2|3,2|3,2|3,2,2,0.0,1,0,,0.15877083333333333,0.806540674603174,0.7435141056859801,0.006505184989279298,0.0,5.687419666358372e-06
0.6,0.005,3,1,3,3,2|3,3,2,0.0,0,0,,0.21929166666666663,0.5484280753968256,0.9007276924464425,0.022245641309294597,0.0004198350375546233,0.00010814630927070745
0.6,0.005,4,1,1,1,1,1,1,0.0,1,0,,0.3826294642857141,0.1486488095238095,0.5006719505984206,0.03195580171261871,0.018398789619170776,0.006625414485832121
0.6,0.005,5,2,3,3,3,3,3,0.0,1,0,,0.49937500000000007,0.10806249999999996,0.715982187950938,0.028855001659452845,0.0014127547581063054,0.0004267160053551189
0.6,0.005,6,2,3,3,3,3,3,0.0,1,0,,0.4764032738095237,0.15684672619047618,0.7329811958874457,0.05153498925455573,0.0006950249005539919,0.00042251843132866694
0.6,0.005,7,2,3,3,2|3,3,2,0.0,0,0,,0.5331116071428572,0.41267906746031763,0.8429954534844241,0.051950175096428894,0.0010372656221261359,0.0009446088274530341
0.6,0.005,8,1,3,3,1|3,3,1,0.0,0,0,,0.7634082341269839,0.09911011904761902,0.788214285714286,0.02088937937917533,0.0007414277812436534,0.0020803511824398317
0.6,0.005,9,1,3,2|3,2|3,2,2,0.0,1,1,,0.09441666666666666,0.8166478174603178,0.8809841269841269,0.020232003820525177,0.0006449349878687604,0.0020239376035504747
0.6,0.005,10,1,3,3,3,3,3,0.0,1,0,,0.05820833333333333,0.49079662698412696,0.8780245535714286,0.008948347632850585,0.0006449349878687604,0.0020239376035504747
0.6,0.005,11,1,3,3,1|3,3,1,0.0,0,0,,0.8801815476190477,0.10020238095238093,0.8348859126984128,0.008707973886357247,0.0006449349878687604,0.0020239376035504747
0.6,0.005,12,1,2|3,2|3,1|2|3,2,1,0.0,0,0,,0.7601235119047621,0.3727023809523811,0.76071626984127,0.02895618168918471,4.33950606841204e-05,5.641357888935652e-05
0.6,0.005,13,1,1|2|3,1|2|3,1|2|3,1,1,0.0,1,0,,0.8469166666666665,0.188485119047619,0.5009703872516369,0.001488691686413017,0.0,5.687419666358372e-06
0.6,0.005,14,1,2|3,2|3,2|3,2,2,0.0,1,0,,0.06777083333333334,0.7928154761904764,0.8752167797480297,0.010825750416238915,5.7363297440541584e-05,0.0
0.6,0.005,15,1,3,3,1|3,3,1,0.0,0,0,,0.6171696428571428,0.07501488095238097,0.9420213293650795,0.04716102167136563,0.0006950249005539919,0.00042251843132866694
0.6,0.005,16,1,3,3,1|3,3,1,0.0,0,0,,0.5310238095238096,0.03986309523809523,0.6592033730158728,0.024408256191010943,0.0010497047848667355,0.002212965555122172
0.6,0.005,17,1,3,3,3,3,3,0.0,1,0,,0.05580555555555556,0.31542658730158735,0.9396458333333332,0.05443928697827945,0.000702298285309302,0.0020239376035504747
0.6,0.005,18,2,3,2|3,2|3,2,2,0.0,1,1,,0.07105059523809525,0.8304107142857141,0.8834092261904761,0.03825031919240943,0.00011952308575422093,5.641357888935652e-05
0.6,0.005,19,2,1|2|3,1|2|3,2|3,1,2,0.09518820021482474,1,0,,0.8397708333333334,0.16550892857142854,0.544751989330114,0.008468220588418287,0.0,5.687419666358372e-06
0.6,0.005,20,2,3,3,3,3,3,0.0,1,0,,0.03539583333333332,0.30599603174603174,0.9646011904761906,0.06719934978693107,5.7363297440541584e-05,0.0
0.6,0.005,21,2,3,3,3,3,3,0.0,1,0,,0.1043125,0.2643531746031747,0.8840114087301589,0.03086612559307831,0.0006449349878687604,0.0020239376035504747
0.6,0.005,22,2,3,3,3,3,3,0.0,1,0,,0.08689583333333334,0.31177182539682546,0.9288958333333333,0.040856763871749385,0.0006449349878687604,0.0020239376035504747
0.6,0.005,23,2,3,2|3,2|3,2,2,0.0,1,1,,0.3708229166666666,0.6562991071428573,0.813746941579662,0.029351273170572872,0.0024049294640973917,0.0035751462416759834
0.6,0.005,24,1,3,2|3,2|3,2,2,0.0,1,1,,0.12383531746031742,0.847958333333333,0.9151572420634921,0.0362608068794431,3.616255057010034e-05,0.0
0.6,0.005,25,1,2|3,2|3,2|3,2,2,0.0,1,0,,0.11962499999999998,0.7487500000000001,0.7688397054334556,0.0018118821166499418,0.0,5.687419666358372e-06
