analysis,population,policy,reference_policy,metric,n,mean,ci95_low,ci95_high,mean_delta,win_rate,direction_agreement
population_summary,seed_100_139,two_stage_0.25,,over_count,40,46.125,43.949230787361245,48.300769212638755,,,
population_summary,seed_100_139,two_stage_0.25,,action_entropy,40,0.8684239355816373,0.847136146923526,0.8897117242397486,,,
population_summary,seed_100_139,two_stage_0.25,,pareto_efficient,40,0.725,0.5848609664727606,0.8651390335272393,,,
population_summary,seed_100_139,two_stage_1.00,,mean_regret,40,0.007629435513207591,0.006689303429274634,0.008569567597140549,,,
population_summary,seed_100_139,two_stage_1.00,,under_count,40,7.225,5.847111993312098,8.602888006687902,,,
population_summary,seed_100_139,two_stage_1.00,,over_count,40,55.725,53.92755110268427,57.52244889731573,,,
population_summary,seed_100_139,two_stage_1.00,,action_entropy,40,0.5994399900204926,0.5561138038186829,0.6427661762223024,,,
population_summary,seed_100_139,two_stage_1.00,,pareto_efficient,40,0.95,0.8815977208356929,1.018402279164307,,,
population_summary,seed_100_139,fixed_k3,,mean_regret,40,0.0022006523505586225,0.0018901378604258261,0.002511166840691419,,,
population_summary,seed_100_139,fixed_k3,,under_count,40,0.0,0.0,0.0,,,
population_summary,seed_100_139,fixed_k3,,over_count,40,65.95,64.45146331205132,67.44853668794869,,,
population_summary,seed_100_139,fixed_k3,,action_entropy,40,0.0,0.0,0.0,,,
population_summary,seed_100_139,fixed_k3,,pareto_efficient,40,0.0,0.0,0.0,,,
population_summary,seed_100_139,oracle,,mean_regret,40,0.0,0.0,0.0,,,
population_summary,seed_100_139,oracle,,under_count,40,0.0,0.0,0.0,,,
population_summary,seed_100_139,oracle,,over_count,40,0.0,0.0,0.0,,,
population_summary,seed_100_139,oracle,,action_entropy,40,0.7505536207797171,0.7280451597596813,0.7730620817997529,,,
population_summary,seed_100_139,oracle,,pareto_efficient,40,0.0,0.0,0.0,,,
paired_comparison,seed_000_009,fixed_risk_0.010,direct_loss,mean_regret,10,,-0.008322693176967863,-0.005146587497242762,-0.0067346403371053125,1.0,
paired_comparison,seed_000_009,fixed_risk_0.010,direct_loss,under_count,10,,-8.402666666666667,-5.397333333333334,-6.9,1.0,
paired_comparison,seed_000_009,fixed_risk_0.010,direct_loss,over_count,10,,14.0928501930585,19.9071498069415,17.0,0.0,
paired_comparison,seed_000_009,fixed_risk_0.010,direct_loss,action_entropy,10,,-0.2543675045078604,-0.14780857438882522,-0.2010880394483428,0.0,
paired_comparison,seed_000_009,fixed_risk_0.010,direct_loss,pareto_efficient,10,,0.0,0.0,0.0,0.0,
paired_comparison,seed_000_009,two_stage_0.10,direct_loss,mean_regret,10,,-0.003527571670136507,-0.001360037484081859,-0.002443804577109183,1.0,
paired_comparison,seed_000_009,two_stage_0.10,direct_loss,under_count,10,,-2.9493333333333336,-1.2506666666666668,-2.1,1.0,
paired_comparison,seed_000_009,two_stage_0.10,direct_loss,over_count,10,,3.196330288945169,5.203669711054832,4.2,0.0,
paired_comparison,seed_000_009,two_stage_0.10,direct_loss,action_entropy,10,,-0.020044775787841723,0.038483404854092455,0.009219314533125366,0.5,
paired_comparison,seed_000_009,two_stage_0.10,direct_loss,pareto_efficient,10,,0.0,0.0,0.0,0.0,
paired_comparison,seed_000_009,two_stage_0.25,direct_loss,mean_regret,10,,-0.006436748222129673,-0.0032952219346918574,-0.0048659850784107655,1.0,
paired_comparison,seed_000_009,two_stage_0.25,direct_loss,under_count,10,,-6.095548357255254,-3.1044516427447455,-4.6,1.0,
paired_comparison,seed_000_009,two_stage_0.25,direct_loss,over_count,10,,8.066279327857066,13.133720672142934,10.6,0.0,
paired_comparison,seed_000_009,two_stage_0.25,direct_loss,action_entropy,10,,-0.10589688506001708,-0.0251186713760473,-0.06550777821803219,0.2,
paired_comparison,seed_000_009,two_stage_0.25,direct_loss,pareto_efficient,10,,-0.4613333333333333,0.061333333333333295,-0.2,0.0,
paired_comparison,seed_000_009,two_stage_1.00,direct_loss,mean_regret,10,,-0.013935285615345853,-0.008869997121545375,-0.011402641368445614,1.0,
paired_comparison,seed_000_009,two_stage_1.00,direct_loss,under_count,10,,-14.261885221506441,-10.138114778493557,-12.2,1.0,
paired_comparison,seed_000_009,two_stage_1.00,direct_loss,over_count,10,,21.355064670119823,29.644935329880177,25.5,0.0,
paired_comparison,seed_000_009,two_stage_1.00,direct_loss,action_entropy,10,,-0.5469023725511816,-0.3565825988004905,-0.451742485675836,0.0,
paired_comparison,seed_000_009,two_stage_1.00,direct_loss,pareto_efficient,10,,0.0,0.0,0.0,0.0,
paired_comparison,seed_000_009,fixed_k3,direct_loss,mean_regret,10,,-0.018380469900079188,-0.01286605063839151,-0.01562326026923535,1.0,
paired_comparison,seed_000_009,fixed_k3,direct_loss,under_count,10,,-20.616641390475458,-15.183358609524538,-17.9,1.0,
paired_comparison,seed_000_009,fixed_k3,direct_loss,over_count,10,,30.746426238392278,37.25357376160772,34.0,0.0,
paired_comparison,seed_000_009,fixed_k3,direct_loss,action_entropy,10,,-0.9684757806507807,-0.9135216978505558,-0.9409987392506682,0.0,
paired_comparison,seed_000_009,fixed_k3,direct_loss,pareto_efficient,10,,-1.0,-1.0,-1.0,0.0,
paired_comparison,seed_000_009,oracle,direct_loss,mean_regret,10,,-0.019438979575501367,-0.013946544664481354,-0.01669276211999136,1.0,
paired_comparison,seed_000_009,oracle,direct_loss,under_count,10,,-20.616641390475458,-15.183358609524538,-17.9,1.0,
paired_comparison,seed_000_009,oracle,direct_loss,over_count,10,,-40.33743639247978,-35.66256360752022,-38.0,1.0,
paired_comparison,seed_000_009,oracle,direct_loss,action_entropy,10,,-0.17309920082681104,-0.10564618368097181,-0.13937269225389143,0.0,
paired_comparison,seed_000_009,oracle,direct_loss,pareto_efficient,10,,-1.0,-1.0,-1.0,0.0,
paired_comparison,seed_100_139,fixed_risk_0.010,direct_loss,mean_regret,40,,-0.003222036550913503,-0.002219204950456383,-0.002720620750684943,1.0,
paired_comparison,seed_100_139,fixed_risk_0.010,direct_loss,under_count,40,,-3.4834364922649304,-2.46656350773507,-2.975,1.0,
paired_comparison,seed_100_139,fixed_risk_0.010,direct_loss,over_count,40,,13.248463275142095,15.851536724857906,14.55,0.0,
paired_comparison,seed_100_139,fixed_risk_0.010,direct_loss,action_entropy,40,,-0.2970834308529481,-0.22050059140728137,-0.25879201113011474,0.0,
paired_comparison,seed_100_139,fixed_risk_0.010,direct_loss,pareto_efficient,40,,-0.5537550499483362,-0.24624495005166377,-0.4,0.0,
paired_comparison,seed_100_139,two_stage_0.10,direct_loss,mean_regret,40,,-0.0011741885182504274,-0.0006000820945492174,-0.0008871353063998224,0.675,
paired_comparison,seed_100_139,two_stage_0.10,direct_loss,under_count,40,,-1.234007966041206,-0.6159920339587941,-0.925,0.625,
paired_comparison,seed_100_139,two_stage_0.10,direct_loss,over_count,40,,4.255347136744329,5.394652863255671,4.825,0.0,
paired_comparison,seed_100_139,two_stage_0.10,direct_loss,action_entropy,40,,-0.034758992337702306,-0.0059390086618200544,-0.02034900049976118,0.375,
paired_comparison,seed_100_139,two_stage_0.10,direct_loss,pareto_efficient,40,,-0.3255404725831883,-0.0744595274168117,-0.2,0.0,
paired_comparison,seed_100_139,two_stage_0.25,direct_loss,mean_regret,40,,-0.002492516324260999,-0.0016829556777753362,-0.0020877360010181675,0.975,
paired_comparison,seed_100_139,two_stage_0.25,direct_loss,under_count,40,,-2.6395776973923355,-1.9104223026076643,-2.275,0.95,
paired_comparison,seed_100_139,two_stage_0.25,direct_loss,over_count,40,,8.43379161969391,9.966208380306089,9.2,0.0,
