model,features,train_rows,train_unsafe,test_rows,test_unsafe,test_safe,roc_auc,balanced_accuracy_at_frozen_0_5,unsafe_recall_at_frozen_0_5,unsafe_precision_at_frozen_0_5
context_support_only,context_support_distance,7881,1640,8211,1209,7002,0.5716200901125025,0.46630686163400314,0.043010752688172046,0.06303030303030303
action_support_only,action_support_distance,7881,1640,8211,1209,7002,0.5584835858075762,0.46593493670365715,0.043837882547559964,0.06332138590203107
predicted_loss_only,predicted_action_loss,7881,1640,8211,1209,7002,0.4683480484956561,0.4760132340777502,0.618693134822167,0.138109305760709
context_plus_loss,context_support_distance|predicted_action_loss,7881,1640,8211,1209,7002,0.45454790300963277,0.4497834011267961,0.19933829611248965,0.10299145299145299
context_plus_action_support,context_support_distance|action_support_distance,7881,1640,8211,1209,7002,0.5687584476041231,0.46609263712671956,0.043010752688172046,0.06280193236714976
context_loss_action_support,context_support_distance|predicted_action_loss|action_support_distance,7881,1640,8211,1209,7002,0.4517639885000363,0.4512978567626548,0.19851116625310175,0.10380622837370242
