regime,seed,true_class,predicted_class,measurement_noise_score,process_disturbance_score,parameter_mismatch_score,structural_change_score,classification_margin,correct
measurement_noise,0,measurement_noise,measurement_noise,1.374138772660133,0.0,0.36861526240616105,0.0,1.0055235102539721,True
measurement_noise,1,measurement_noise,measurement_noise,1.163621566146187,0.1317832034423395,0.1029272251544322,0.1317832034423395,1.0318383627038474,True
measurement_noise,2,measurement_noise,measurement_noise,1.2637088264366394,0.06794325979639404,0.4596358394393948,0.06794325979639404,0.8040729869972446,True
measurement_noise,3,measurement_noise,measurement_noise,1.3379224185835437,0.1375481633040743,0.031151183846639507,0.1375481633040743,1.2003742552794694,True
measurement_noise,4,measurement_noise,measurement_noise,1.4659265382866293,0.3074922219215077,0.5338046955780782,0.0441665036459432,0.9321218427085511,True
measurement_noise,5,measurement_noise,measurement_noise,1.5023811524070538,0.65992491092968,0.3063945653999266,0.65992491092968,0.8424562414773739,True
measurement_noise,6,measurement_noise,measurement_noise,1.5361085278647908,0.0004152659883970367,0.5499213369519942,0.0004152659883970367,0.9861871909127966,True
measurement_noise,7,measurement_noise,measurement_noise,0.8629263537506464,0.0,0.0,0.0,0.8629263537506464,True
measurement_noise,8,measurement_noise,measurement_noise,1.8580327566440924,0.3045828852794664,0.7184827935641132,0.28430609409878405,1.1395499630799792,True
measurement_noise,9,measurement_noise,measurement_noise,1.1243268908770898,0.37141791818095965,0.44199799992441746,0.37141791818095965,0.6823288909526724,True
measurement_noise,10,measurement_noise,measurement_noise,1.2518002045900887,0.7492991561345368,0.44141100172047965,0.7492991561345368,0.5025010484555519,True
measurement_noise,11,measurement_noise,measurement_noise,1.352271733790713,0.0,0.1277616956321861,0.0,1.224510038158527,True
measurement_noise,12,measurement_noise,measurement_noise,1.3441292275604058,0.0,0.17442038857999287,0.0,1.169708838980413,True
measurement_noise,13,measurement_noise,measurement_noise,0.923067608252492,0.7009551326929071,0.14091819493092528,0.7009551326929071,0.2221124755595849,True
measurement_noise,14,measurement_noise,measurement_noise,1.1852668262612251,0.48410741131684953,0.4516898505039376,0.48410741131684953,0.7011594149443756,True
measurement_noise,15,measurement_noise,measurement_noise,1.402166887042342,0.7656877183588346,0.04791962709410469,0.5704219012313492,0.6364791686835074,True
