condition,true_class,seed,classification_correct,classification_margin,score_spread,delta_event_vs_pre_nis,delta_post_vs_pre_nis,recovery_ratio_nis,event_max_nis,post_longest_nis_run_above_1,delta_event_vs_pre_autocorrelation,delta_post_vs_pre_autocorrelation,parameter_shift_post_vs_pre,post_cumulative_abs_parameter_update,evidence_sufficient
measurement_noise_0.90,measurement_noise,1000,True,0.27060152438739293,1.013483427343055,0.4071180970443379,0.4186100000984504,1.0090696089873308,4.727461491894054,4,-0.10955361105147421,0.3861565381096864,-0.0016249242289643195,0.1295467286269367,True
measurement_noise_0.90,measurement_noise,1001,True,0.5998275189736758,1.0478287491747582,-0.3019987697989176,-0.3569000539766638,0.9397596594878117,3.103727296684653,1,-0.158796301282771,-0.12844856560185025,0.00017353501919326053,0.09886969591548389,True
measurement_noise_0.90,measurement_noise,1002,True,0.40640543143651964,1.0564996717740172,0.6642663932543043,0.34889357240040053,0.7894732020434241,7.381294009471083,3,0.48685568486471253,0.5080617765586173,0.004718478043927776,0.09617521284567372,True
measurement_noise_0.90,measurement_noise,1003,True,0.4154728830663361,0.7786180452088162,0.5014332048424736,0.45935558253109343,0.9654341315527009,6.706935217181008,3,0.10618663013923205,0.278650831765712,0.007117523119212765,0.11039734987911234,True
measurement_noise_0.90,measurement_noise,1004,True,0.8563190719157655,1.1021139553247437,0.6620584436999626,0.0348921106671517,0.5586759020176072,4.238715484967201,1,-0.06478787590567506,0.015364325205486196,-0.00625537208667637,0.09133679432451997,True
measurement_noise_0.90,measurement_noise,1005,True,0.9658783358896512,1.2177511284210423,0.14566300917524444,-0.34686093127520956,0.6572040295592596,9.61062379190717,2,0.23501276971901722,0.23236782683625398,-0.0014248093472782886,0.0979494187643631,True
measurement_noise_0.90,measurement_noise,1006,True,1.0438538410899216,1.363700423115262,0.8494586774357555,-0.04590364509599898,0.47676054162195175,4.2265114568503614,2,-0.0736835573837058,0.2151689232310451,-0.002600551918677918,0.09459064078272497,True
measurement_noise_0.90,measurement_noise,1007,True,0.6883917526187713,1.0753894924099705,-0.4416651148317523,0.014764365464400964,1.727310282993376,2.6407391382140273,3,0.07143590620690093,-0.2860192159948646,0.009852739815726874,0.09866447789778791,True
measurement_noise_0.90,measurement_noise,1008,True,0.6597425429284343,0.9823135108450078,-1.001019666186051,-0.7181895022132752,1.3067729617229955,2.2772126379588857,1,-0.247650542431342,-0.041756794900184704,0.008950715055451641,0.10758119362557697,True
measurement_noise_0.90,measurement_noise,1009,True,0.48434656652668107,0.7270554924648287,0.4559282184046344,0.43409779340569754,0.9761194569271662,2.8482519321648314,2,0.2658483238620625,0.13705818850932835,-0.002802439711092064,0.09333006585815318,True
measurement_noise_0.90,measurement_noise,1010,True,0.7542203868112691,1.3510892919753954,-0.15313109483587373,-0.21175330287888772,0.9341271978608083,4.174639606690922,2,-0.023989704544547047,0.24506143093535543,0.00030677912946697194,0.09300071629146653,True
measurement_noise_0.90,measurement_noise,1011,True,0.4007091190224623,0.7163018398105809,0.5799255745968858,0.5890983824117836,1.0064678455616025,4.869061264549952,4,-0.06613461445274019,-0.22889199759042791,-0.005613056680469963,0.12411802031123953,True
measurement_noise_0.90,measurement_noise,1012,True,0.6646133890371269,0.9319054339077478,0.3940933849593069,0.23167060973615916,0.874622368313881,3.858559874159562,1,0.18303495715203522,0.24213428209597415,-0.0028600141058616746,0.10504588137669373,True
