policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction
fixed_k1,0.5333333333333333,0.16770921914966194,0.025601550828463094,0.0,0.10302316959890084,0.5333333333333333,0.4666666666666667
fixed_k2,0.3333333333333333,0.14792748209349874,0.00581981377229988,0.0,0.06960889750293561,0.84,0.16
fixed_k3,0.13333333333333333,0.14240755344289624,0.0002998851216973993,0.0,0.008996625274786896,0.96,0.04
exact_label_model,0.6666666666666666,0.15002413681867027,0.00791646849747144,0.0,0.09518820021482474,0.8,0.2
direct_loss_model,0.30666666666666664,0.14609531806554793,0.003987649744349093,0.0,0.057717810433482175,0.8666666666666667,0.13333333333333333
oracle,1.0,0.14210766832119884,0.0,0.0,0.0,1.0,0.0
