population,weight_scheme,policy,multiplier,weighted_distance,selected
seed_200_239,over_priority,two_stage_0.40,0.4,0.5203714402907841,0
seed_200_239,over_priority,two_stage_0.45,0.45,0.6321600814708332,0
seed_200_239,over_priority,two_stage_0.50,0.5,0.7745966692414834,0
seed_200_239,entropy_priority,two_stage_0.25,0.25,0.6324555320336759,0
seed_200_239,entropy_priority,two_stage_0.30,0.3,0.5238493545137183,0
seed_200_239,entropy_priority,two_stage_0.35,0.35,0.5047232360146822,0
seed_200_239,entropy_priority,two_stage_0.40,0.4,0.500788444203994,1
seed_200_239,entropy_priority,two_stage_0.45,0.45,0.6224208230824707,0
seed_200_239,entropy_priority,two_stage_0.50,0.5,0.7745966692414834,0
seed_200_239,performance_priority,two_stage_0.25,0.25,0.816496580927726,0
seed_200_239,performance_priority,two_stage_0.30,0.3,0.6558075640268707,0
seed_200_239,performance_priority,two_stage_0.35,0.35,0.556680350940541,0
seed_200_239,performance_priority,two_stage_0.40,0.4,0.43010914083870383,1
seed_200_239,performance_priority,two_stage_0.45,0.45,0.4852193652473497,0
seed_200_239,performance_priority,two_stage_0.50,0.5,0.5773502691896257,0
seed_200_239,responsiveness_priority,two_stage_0.25,0.25,0.5773502691896257,0
seed_200_239,responsiveness_priority,two_stage_0.30,0.3,0.48752176283035664,1
seed_200_239,responsiveness_priority,two_stage_0.35,0.35,0.49518659598566034,0
seed_200_239,responsiveness_priority,two_stage_0.40,0.4,0.5289009551096019,0
seed_200_239,responsiveness_priority,two_stage_0.45,0.45,0.6580553342270383,0
seed_200_239,responsiveness_priority,two_stage_0.50,0.5,0.816496580927726,0
seed_200_239,regret_heavy,two_stage_0.25,0.25,0.8451542547285166,0
seed_200_239,regret_heavy,two_stage_0.30,0.3,0.6774842968029477,0
seed_200_239,regret_heavy,two_stage_0.35,0.35,0.5748021666946651,0
seed_200_239,regret_heavy,two_stage_0.40,0.4,0.42053833866061135,1
seed_200_239,regret_heavy,two_stage_0.45,0.45,0.4603351067935406,0
seed_200_239,regret_heavy,two_stage_0.50,0.5,0.5345224838248488,0
seed_200_239,responsiveness_heavy,two_stage_0.25,0.25,0.4472135954999579,0
seed_200_239,responsiveness_heavy,two_stage_0.30,0.3,0.400892794288651,1
seed_200_239,responsiveness_heavy,two_stage_0.35,0.35,0.4683337117185761,0
seed_200_239,responsiveness_heavy,two_stage_0.40,0.4,0.5635895308014386,0
seed_200_239,responsiveness_heavy,two_stage_0.45,0.45,0.7155951502784982,0
seed_200_239,responsiveness_heavy,two_stage_0.50,0.5,0.8944271909999159,0
