regime,seed,pre_parameter_mean,event_parameter_mean,post_parameter_mean,parameter_shift_event_vs_pre,parameter_shift_post_vs_pre,final_parameter_estimate,event_mean_abs_parameter_update,post_mean_abs_parameter_update,event_cumulative_abs_parameter_update,post_cumulative_abs_parameter_update,event_mean_lambda,post_mean_lambda,event_mean_effective_q,post_mean_effective_q,event_mean_nis,post_mean_nis
process_disturbance,0,0.919941204502487,0.9438887742117531,0.9214692093825554,0.023947569709266148,0.0015280048800684343,0.9152945500666234,0.006708118604944613,0.0033225475953658663,0.06708118604944613,0.06645095190731731,0.16941780582930496,0.14547984356173338,0.44548494490489055,0.12722692136799968,3.2083480266996767,1.239611035836765
process_disturbance,1,0.9166819225515042,0.943291260786249,0.9238602762296654,0.026609338234744873,0.00717835367816122,0.9281550997615976,0.007043472360245744,0.0031854797384838233,0.07043472360245744,0.06370959476967647,0.17503548408068154,0.12607355274212387,1.0253324231250522,0.08367273187005651,6.046181027227569,1.0580924455732414
process_disturbance,2,0.9209461497661052,0.9425397797564324,0.9211132319474085,0.021593629990327212,0.00016708218130323527,0.9168385612672062,0.005186629337282288,0.0019383032519746347,0.05186629337282287,0.038766065039492696,0.1602445870470608,0.0991699064476189,0.31654614371532347,0.042281233546721406,2.437789508916859,0.6180767530667276
process_disturbance,3,0.9227133173712592,0.9395181591983831,0.9179334711588283,0.01680484182712394,-0.004779846212430883,0.9203256106579147,0.004115957772505265,0.00315838686322137,0.041159577725052646,0.0631677372644274,0.15229693564411828,0.11011462858410552,0.23461288160771449,0.05103329006547835,1.885880071316059,0.9618297093153391
process_disturbance,4,0.9188023935952399,0.9419188304705038,0.9235560872714854,0.02311643687526399,0.004753693676245563,0.9206075326122597,0.006173193438379693,0.0038004731687620243,0.061731934383796934,0.07600946337524048,0.17879929776585304,0.14238034265831548,0.6905107641002135,0.12807060629425118,4.320881652026411,1.4668979385112682
process_disturbance,5,0.9205831194571714,0.9294417196168343,0.9193763060112884,0.008858600159662888,-0.001206813445883026,0.9210587613148258,0.0054763766001758776,0.0037531980052864706,0.05476376600175877,0.07506396010572941,0.16451442001373018,0.12963258281873533,0.3487161200537661,0.09673595675109396,2.360713324467187,1.2139562697609536
process_disturbance,6,0.9218601705339123,0.9444860520493278,0.9234324170634439,0.022625881515415447,0.0015722465295315846,0.9214384371232122,0.007089741625048818,0.003270575048940191,0.07089741625048818,0.06541150097880381,0.1799590930757124,0.13187726710480058,0.7925938266396817,0.09906231628165128,4.814660302155978,1.1271497785927953
process_disturbance,7,0.9217662243052751,0.9370842285194626,0.9202408556625992,0.015318004214187497,-0.0015253686426759394,0.912322851513631,0.005820479936703376,0.0016128810774243415,0.05820479936703376,0.03225762154848683,0.16276298639850026,0.09033069718361271,0.5133036646687034,0.06401294147431641,3.440662839384492,0.5695296449791093
process_disturbance,8,0.9180956914005475,0.9428397481883791,0.9206656535195058,0.024744056787831648,0.0025699621189583244,0.9307147872643194,0.005958497313305335,0.002821981932292556,0.05958497313305335,0.056439638645851116,0.16113392153091444,0.1365666369175266,0.5733663993414538,0.07628208141632153,3.6826212839401276,0.9215152080399308
process_disturbance,9,0.9221786090365701,0.944249685118829,0.9215997565803049,0.02207107608225889,-0.0005788524562652109,0.9199262722377541,0.006354434040155209,0.002487042553769348,0.06354434040155209,0.04974085107538697,0.1729407871553605,0.11235135217706084,0.6665205763544471,0.07402421668437915,4.1851708127532845,0.8826709597307665
