policy,seeds,mean_regret,mean_under,mean_over,mean_entropy,mean_retention,mean_beneficial,mean_harmful,mean_veto,total_harmful_vetoed,total_beneficial_vetoed,total_baseline_severe,total_severe_vetoed
support_baseline,20,0.017000523013238088,11.25,27.6,1.421434340282502,0.7838598261292979,2.15,0.3,0.0,0,0,5,0
calibration_guard,20,0.01669407790484318,11.0,28.1,1.4067527730699037,0.7763583199219372,1.3,0.05,1.1,5,17,5,4
