step,true_state,measurement,state_estimate,state_covariance,parameter_estimate,parameter_error,innovation,innovation_covariance,nis,excess_nis,mismatch_indicator,dynamic_lambda,effective_q,parameter_update
0,0.9927954835211036,0.906343683355344,0.9529388657656206,0.12562189054726366,0.5,0.42000000000000004,-0.09365631664465601,0.5025,0.017455732631729497,0.0,0.0,0.05,0.0025000000000000005,-0.0
1,1.9078060517610322,2.2587979143104637,1.5698991814314733,0.029856304214492244,0.5312568168608125,0.38874318313918754,0.7823284814276534,0.2839054726368159,2.1557803982026207,1.1557803982026207,0.5778901991013103,0.15470413825322862,0.09190200525695494,0.03125681686081246
2,2.748802153431005,2.0001254462605265,1.8815896851150822,0.07159599778010976,0.5372781898955185,0.3827218101044816,0.16610580434084676,0.3503284636124149,0.07875791179287409,0.0,0.28894509955065517,0.13041962895429315,0.04018411267155775,0.006021373034705926
3,3.545513898359911,3.411845159111327,2.2851755773343094,0.04893941387415039,0.5837224840325228,0.33627751596747724,1.4009080589666172,0.31085157565829163,6.313441987615887,5.313441987615887,2.801193543583271,0.1877097275330622,0.5283112768333887,0.04644429413700431
4,4.251024852283858,4.308967245634285,3.6878689987801017,0.1713823126019411,0.6417531677947287,0.27824683220527135,1.9750588811822478,0.7949864981851799,4.906822434144319,3.9068224341443187,3.3540079888637946,0.18959491762618924,0.6384028683662117,0.05803068376220588
5,4.922557750946485,5.504337094246056,4.94707268242877,0.18482700669215743,0.6849483221014803,0.23505167789851977,2.137635481866951,0.958986181665514,4.76491271792939,3.7649127179293904,3.5594603533965925,0.19015608602762746,0.6793530491724116,0.04319515430675163
6,5.5615849562107,5.616838544932616,5.314606672849308,0.18848821247792602,0.7040323964854107,0.21596760351458932,1.2283494117889608,1.016065416365464,1.4849853691896322,0.4849853691896322,2.0222228612931126,0.18349633716005354,0.37357048796860914,0.019084074383930397
7,6.079742079596603,5.5724108958527445,5.282745881216017,0.16283085951762014,0.7161100377226366,0.20388996227736345,0.8307556235892903,0.7169968598306142,0.9625633594661421,0.0,1.0111114306465563,0.17026432471492692,0.17465620495057957,0.012077641237225822
8,6.605679822989435,7.261220236591459,6.042016522072469,0.12700677757614165,0.7523406538841273,0.16765934611587274,2.4781928843147547,0.508158081951971,12.08568787940432,11.08568787940432,6.048399655025438,0.19404610662169097,1.176168404349665,0.036230616161490745
9,7.07930828034545,7.026146633460058,6.779077824713719,0.20827927247472441,0.7714206210940174,0.1485793789059826,1.480491972465356,1.4980563309241397,1.4631335519821345,0.46313355198213446,3.2557666035037864,0.1893033381165417,0.6188274861716219,0.01907996720989011
10,7.539552428937858,6.8127797799335195,6.6659033703842345,0.18704498326728344,0.7781570880790866,0.14184291192091347,0.5832593539481818,0.9927723514926798,0.3426681589757779,0.0,1.6278833017518932,0.1800307079971285,0.2955689833510965,0.0067364669850691295
11,7.920774368765602,8.165955635062364,7.415065591251491,0.1551348664520975,0.8013831297025765,0.11861687029742352,1.9788356789475987,0.6588300428464625,5.943552038637925,4.943552038637925,3.2857176701949093,0.1893939495463356,0.6247950466523979,0.02322604162348994
12,8.330782638533325,8.210467802205757,7.885106854104876,0.18585960770899654,0.8148207109877353,0.1051792890122647,1.2681593317387518,0.9744249725888635,1.6504380900700015,0.6504380900700015,1.9680778801324554,0.18309347010044547,0.3628422085013798,0.013437581285158779
13,8.683150020385057,8.807256745049264,8.337876026937447,0.16510926077916865,0.8286232147994129,0.09137678520058712,1.3823083719732638,0.7362404965919193,2.59531558515515,1.59531558515515,1.7816967326438027,0.18154252089030926,0.3259537163061833,0.0138025038116776
14,9.027614359189435,8.47100325206535,8.26716278288346,0.15933099374179682,0.8339394427210904,0.0860605572789096,0.562045614025485,0.6893204478497899,0.4582705666583119,0.0,0.8908483663219013,0.16712972459179648,0.1513872421164312,0.005316227921677545
15,9.33381774483355,8.57655754897098,8.243557069960062,0.12797610839921303,0.8404462085692797,0.07955379143072039,0.6822444249286077,0.5121947774332163,0.9087508812150206,0.0,0.44542418316095067,0.14607607715114374,0.06756581734440421,0.006506765848189259
16,9.456115054135923,9.152669690036172,8.402352107305648,0.0967993515490239,0.8521561745998676,0.06784382540013245,1.2244034054637574,0.40796171969206696,3.674765613898353,2.674765613898353,1.5600948985296519,0.17928285415838618,0.28219826616633387,0.01170996603058795
17,9.65383534748775,10.091841469015954,9.290283839976201,0.14626402184398668,0.8702915312903149,0.04970846870968515,1.931725239613236,0.6024910654045541,6.193556412082535,5.193556412082535,3.3768256553060936,0.18966037974691813,0.6429500361244893,0.018135356690447347
18,9.914741814669375,9.305204444021527,9.250421591505516,0.18773235056492515,0.8721638521479987,0.0478361478520013,0.21994909480697267,1.00373148122714,0.04819775528736157,0.0,1.6884128276530468,0.18065427577395704,0.3075189965871201,0.0018723208576838012
19,10.163930540663227,9.662829128542052,9.450445976878685,0.16075525202771068,0.8772496605527332,0.042750339447266805,0.5949457993015805,0.7003213233276917,0.5054258556982032,0.0,0.8442064138265234,0.16572858692277298,0.14240913603461144,0.0050858084047345
20,10.346503905093355,10.199554016115089,9.759175998425858,0.12890438134682394,0.8848606161962894,0.03513938380371062,0.9091534908263199,0.5161210677572337,1.601484848261358,0.601484848261358,0.7228456310439406,0.1614532883703661,0.1192058041161966,0.007610955643556182
21,10.524504585558933,10.933822741330816,10.243429625244326,0.1170595008889242,0.8953928341331342,0.024607165866865843,1.2983122537956735,0.47013513878700997,3.585383370205077,2.585383370205077,1.6541145006245088,0.1803058061961606,0.30074644857586164,0.010532217936844775
22,10.71446490825384,10.889407459188444,10.611127122390451,0.15304009880481959,0.9009436341407987,0.01905636585920134,0.7175139757976172,0.6445963664318037,0.7986801233689091,0.0,0.8270572503122544,0.16518290927513074,0.1391157227436682,0.005550800007664496
23,10.889805120483848,11.129051139308906,10.851931876501771,0.12824792744301916,0.9051958837935891,0.014804116206410978,0.5690237073324571,0.513338284001281,0.6307497211830119,0.0,0.4135286251561272,0.1434839755539163,0.06183473114274637,0.004252249652790364
24,10.987271437584159,10.62858589067587,10.745238300815846,0.10009059268849937,0.9037738316826268,0.016226168317373224,-0.1945381751419717,0.4169184650975881,0.09077338797817469,0.0,0.2067643125780636,0.11790076639669385,0.026877670916439264,-0.0014220521109622657
25,11.084791308870626,11.334454509109017,10.900033811418233,0.07572683557161888,0.9083737350462477,0.011626264953752297,0.6231893176377614,0.35863238155456145,1.082905352646562,0.08290535264656196,0.14483483261231278,0.1050235771958318,0.01771107222350461,0.004599903363620959
26,11.185502225611108,12.353379336851383,11.253977324905879,0.060718785359881865,0.918942180590185,0.0010578194098150862,1.452074911443015,0.3301965285822565,6.385656316544157,5.385656316544157,2.765245574578235,0.18756320204358634,0.5211583144047505,0.010568445543937172
27,11.249697420452895,10.700260120501817,10.895259187409001,0.1740059288487627,0.9144177783283501,0.005582221671649901,-0.6414943427596889,0.8224325799787394,0.5003631930575065,0.0,1.3826227872891175,0.17703082408749993,0.2472668514359486,-0.004524402261834769
28,11.388145302590148,12.099070293261882,11.6571303851376,0.15276363286864303,0.9226911721635596,-0.0026911721635595187,1.1362515927997965,0.6427636268595732,2.008619698112038,1.0086196981120379,1.1956212427005777,0.17405959535435028,0.21060934970152798,0.00827339383520947
29,11.5023783129249,11.920286985908737,11.850723275310786,0.14418724724455095,0.9238108647762565,-0.003810864776256473,0.16435568678267742,0.5906660432929851,0.04573276572190988,0.0,0.5978106213502888,0.15576842391963128,0.09562001829014997,0.0011196926126969772
30,11.653505296763017,11.606491558754865,11.78856689969654,0.11664482858078484,0.9215229229712856,-0.0015229229712855341,-0.3413353584341028,0.4686732380518268,0.24859500704935394,0.0,0.2989053106751444,0.13168220589107504,0.04186051066226012,-0.0022879418049709626
31,11.650076926365028,11.384038652205671,11.690623820781777,0.09011903277082921,0.9182928713758391,0.0017071286241608918,-0.47939597484523055,0.3909158237103577,0.5879027830505281,0.0,0.1494526553375722,0.10612154031543679,0.01836014598865525,-0.00323005159544647
32,11.765715560121656,11.043876357082512,11.545932374774539,0.06850077294461873,0.9135949731456178,0.0064050268543822675,-0.6915401594779702,0.34435408356273184,1.3887675941664752,0.3887675941664752,0.2691101247520237,0.12776099287619644,0.03688177673135564,-0.004697898230221336
