context_index,optimal_persistence,selected_persistence,direction,best_loss,selected_loss,regret,consequential_regret,absolute_margin,total_spread
0,1,1,optimal,0.016516763035050674,0.016516763035050674,0.0,0,0.08032140052407215,0.08032140052407215
0,1,2,excessive_persistence,0.016516763035050674,0.09683816355912282,0.08032140052407215,1,0.08032140052407215,0.08032140052407215
0,1,3,excessive_persistence,0.016516763035050674,0.09683816355912282,0.08032140052407215,1,0.08032140052407215,0.08032140052407215
1,1,1,optimal,0.11738948799117907,0.11738948799117907,0.0,0,0.06419531480078292,0.07526440931969508
1,1,2,excessive_persistence,0.11738948799117907,0.18158480279196199,0.06419531480078292,1,0.06419531480078292,0.07526440931969508
1,1,3,excessive_persistence,0.11738948799117907,0.19265389731087415,0.07526440931969508,1,0.06419531480078292,0.07526440931969508
2,1,1,optimal,0.08538007761719177,0.08538007761719177,0.0,0,0.011069094518912165,0.059788324254044456
2,1,2,excessive_persistence,0.08538007761719177,0.09644917213610393,0.011069094518912165,1,0.011069094518912165,0.059788324254044456
2,1,3,excessive_persistence,0.08538007761719177,0.14516840187123622,0.059788324254044456,1,0.011069094518912165,0.059788324254044456
3,1,1,optimal,0.017325190775669557,0.017325190775669557,0.0,0,0.04871922973513229,0.04871922973513229
3,1,2,excessive_persistence,0.017325190775669557,0.06604442051080185,0.04871922973513229,1,0.04871922973513229,0.04871922973513229
3,1,3,excessive_persistence,0.017325190775669557,0.06604442051080185,0.04871922973513229,1,0.04871922973513229,0.04871922973513229
4,1,1,optimal,0.028927409751015237,0.028927409751015237,0.0,0,0.04131135267174872,0.04131135267174872
4,1,2,excessive_persistence,0.028927409751015237,0.07023876242276396,0.04131135267174872,1,0.04131135267174872,0.04131135267174872
4,1,3,excessive_persistence,0.028927409751015237,0.07023876242276396,0.04131135267174872,1,0.04131135267174872,0.04131135267174872
5,1,1,optimal,0.16024470312437344,0.16024470312437344,0.0,0,0.18820447819337066,0.18820447819337066
5,1,2,excessive_persistence,0.16024470312437344,0.3484491813177441,0.18820447819337066,1,0.18820447819337066,0.18820447819337066
5,1,3,excessive_persistence,0.16024470312437344,0.3484491813177441,0.18820447819337066,1,0.18820447819337066,0.18820447819337066
6,1,1,optimal,0.14154815522722608,0.14154815522722608,0.0,0,0.09500286536135785,0.09500286536135785
6,1,2,excessive_persistence,0.14154815522722608,0.23655102058858393,0.09500286536135785,1,0.09500286536135785,0.09500286536135785
6,1,3,excessive_persistence,0.14154815522722608,0.23655102058858393,0.09500286536135785,1,0.09500286536135785,0.09500286536135785
7,1,1,optimal,0.02005564297229946,0.02005564297229946,0.0,0,0.09500286536135785,0.09500286536135785
7,1,2,excessive_persistence,0.02005564297229946,0.11505850833365731,0.09500286536135785,1,0.09500286536135785,0.09500286536135785
7,1,3,excessive_persistence,0.02005564297229946,0.11505850833365731,0.09500286536135785,1,0.09500286536135785,0.09500286536135785
8,1,1,optimal,0.17360515564657042,0.17360515564657042,0.0,0,0.04225455274221962,0.06537447789528372
8,1,2,excessive_persistence,0.17360515564657042,0.23897963354185414,0.06537447789528372,1,0.04225455274221962,0.06537447789528372
8,1,3,excessive_persistence,0.17360515564657042,0.21585970838879004,0.04225455274221962,1,0.04225455274221962,0.06537447789528372
9,1,1,optimal,0.12405060011413291,0.12405060011413291,0.0,0,0.006013565796021331,0.0604439534149325
9,1,2,excessive_persistence,0.12405060011413291,0.13006416591015424,0.006013565796021331,1,0.006013565796021331,0.0604439534149325
9,1,3,excessive_persistence,0.12405060011413291,0.1844945535290654,0.0604439534149325,1,0.006013565796021331,0.0604439534149325
10,1,1,optimal,0.055559774706257184,0.055559774706257184,0.0,0,0.054430387618911155,0.08356387856799662
10,1,2,excessive_persistence,0.055559774706257184,0.10999016232516834,0.054430387618911155,1,0.054430387618911155,0.08356387856799662
10,1,3,excessive_persistence,0.055559774706257184,0.1391236532742538,0.08356387856799662,1,0.054430387618911155,0.08356387856799662
11,1,1,optimal,0.04635155191433949,0.04635155191433949,0.0,0,0.029133490949085454,0.029133490949085454
11,1,2,excessive_persistence,0.04635155191433949,0.07548504286342494,0.029133490949085454,1,0.029133490949085454,0.029133490949085454
11,1,3,excessive_persistence,0.04635155191433949,0.07548504286342494,0.029133490949085454,1,0.029133490949085454,0.029133490949085454
12,1,1,optimal,0.014035274453057849,0.014035274453057849,0.0,0,0.041991920901508294,0.041991920901508294
12,1,2,excessive_persistence,0.014035274453057849,0.05602719535456614,0.041991920901508294,1,0.041991920901508294,0.041991920901508294
12,1,3,excessive_persistence,0.014035274453057849,0.05602719535456614,0.041991920901508294,1,0.041991920901508294,0.041991920901508294
13,1,1,optimal,0.13120537795318188,0.13120537795318188,0.0,0,0.16188178406892417,0.16188178406892417
13,1,2,excessive_persistence,0.13120537795318188,0.29308716202210605,0.16188178406892417,1,0.16188178406892417,0.16188178406892417
13,1,3,excessive_persistence,0.13120537795318188,0.29308716202210605,0.16188178406892417,1,0.16188178406892417,0.16188178406892417
14,1,1,optimal,0.11549204053549804,0.11549204053549804,0.0,0,0.07568233978693296,0.07568233978693296
14,1,2,excessive_persistence,0.11549204053549804,0.191174380322431,0.07568233978693296,1,0.07568233978693296,0.07568233978693296
14,1,3,excessive_persistence,0.11549204053549804,0.191174380322431,0.07568233978693296,1,0.07568233978693296,0.07568233978693296
15,1,1,optimal,0.015622958709421236,0.015622958709421236,0.0,0,0.07568233978693295,0.07568233978693295
15,1,2,excessive_persistence,0.015622958709421236,0.09130529849635419,0.07568233978693295,1,0.07568233978693295,0.07568233978693295
15,1,3,excessive_persistence,0.015622958709421236,0.09130529849635419,0.07568233978693295,1,0.07568233978693295,0.07568233978693295
16,1,1,optimal,0.01278900814591171,0.01278900814591171,0.0,0,0.05094521652863559,0.05094521652863559
16,1,2,excessive_persistence,0.01278900814591171,0.0637342246745473,0.05094521652863559,1,0.05094521652863559,0.05094521652863559
