condition,true_class,run_index,evidence_time,scheme,candidate_exists,benefit_probability,release_probability,predicted_release,selected_persistence,persistence_distance_1,persistence_distance_2,persistence_distance_3,adopted_event_memory,release_evidence_run,release_count,transition_count,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,A_mae,C_mae,S_mae,marginal_mae
measurement_noise_0.850,measurement_noise,100,60,fixed_1,True,0.2219021650885434,0.691709535049061,True,1,,,,False,0,0,0,0.22196971586518466,0.7636606624924946,0.06202111035577384,0.001969715865184657,0.0363393375075054,0.0020211103557738405,0.013443387909487965
measurement_noise_0.850,measurement_noise,100,70,fixed_1,True,0.5221848970650401,0.7517108063661255,True,1,,,,False,0,0,0,0.22130464717875403,0.7616107935506617,0.05978831007964755,0.0013046471787540315,0.0383892064493383,0.00021168992035244805,0.013301847849481593
measurement_noise_0.850,measurement_noise,100,80,fixed_1,True,0.4732808904843318,0.717031039804055,True,1,,,,False,0,0,0,0.2203818214460025,0.7695911461262537,0.059928191503552546,0.00038182144600248935,0.030408853873746367,7.180849644745219e-05,0.010287494605398769
measurement_noise_0.850,measurement_noise,100,100,fixed_1,True,0.4450407335129041,0.6075424233228308,True,1,,,,False,0,0,0,0.21958093040965174,0.7722531996732225,0.05975529858290838,0.0004190695903482644,0.027746800326777565,0.00024470141709161813,0.00947019044473915
measurement_noise_0.850,measurement_noise,100,60,fixed_2,True,0.2219021650885434,0.691709535049061,True,2,,,,False,0,0,0,0.22196971586518466,0.7636606624924946,0.06202111035577384,0.001969715865184657,0.0363393375075054,0.0020211103557738405,0.013443387909487965
measurement_noise_0.850,measurement_noise,100,70,fixed_2,True,0.5221848970650401,0.7517108063661255,True,2,,,,False,0,0,0,0.22130464717875403,0.7616107935506617,0.05978831007964755,0.0013046471787540315,0.0383892064493383,0.00021168992035244805,0.013301847849481593
measurement_noise_0.850,measurement_noise,100,80,fixed_2,True,0.4732808904843318,0.717031039804055,True,2,,,,False,0,0,0,0.2203818214460025,0.7695911461262537,0.059928191503552546,0.00038182144600248935,0.030408853873746367,7.180849644745219e-05,0.010287494605398769
measurement_noise_0.850,measurement_noise,100,100,fixed_2,True,0.4450407335129041,0.6075424233228308,True,2,,,,False,0,0,0,0.21958093040965174,0.7722531996732225,0.05975529858290838,0.0004190695903482644,0.027746800326777565,0.00024470141709161813,0.00947019044473915
measurement_noise_0.850,measurement_noise,100,60,fixed_3,True,0.2219021650885434,0.691709535049061,True,3,,,,False,0,0,0,0.22196971586518466,0.7636606624924946,0.06202111035577384,0.001969715865184657,0.0363393375075054,0.0020211103557738405,0.013443387909487965
measurement_noise_0.850,measurement_noise,100,70,fixed_3,True,0.5221848970650401,0.7517108063661255,True,3,,,,False,0,0,0,0.22130464717875403,0.7616107935506617,0.05978831007964755,0.0013046471787540315,0.0383892064493383,0.00021168992035244805,0.013301847849481593
measurement_noise_0.850,measurement_noise,100,80,fixed_3,True,0.4732808904843318,0.717031039804055,True,3,,,,False,0,0,0,0.2203818214460025,0.7695911461262537,0.059928191503552546,0.00038182144600248935,0.030408853873746367,7.180849644745219e-05,0.010287494605398769
measurement_noise_0.850,measurement_noise,100,100,fixed_3,True,0.4450407335129041,0.6075424233228308,True,3,,,,False,0,0,0,0.21958093040965174,0.7722531996732225,0.05975529858290838,0.0004190695903482644,0.027746800326777565,0.00024470141709161813,0.00947019044473915
measurement_noise_0.850,measurement_noise,100,60,adaptive_persistence,True,0.2219021650885434,0.691709535049061,True,,,,,False,0,0,0,0.22196971586518466,0.7636606624924946,0.06202111035577384,0.001969715865184657,0.0363393375075054,0.0020211103557738405,0.013443387909487965
