model,features,feature_count,rows,unsafe_rows,safe_rows,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,safe_mean,unsafe_mean,standardized_difference_unsafe_minus_safe
action_support_only,action_support_distance,1,8232,1084,7148,0.6071248995925885,0.30350553505535055,0.34022750775594623,0.9107442641298266,0.6611144035335149,0.6102458097240375,0.6654872967271835,,,
context_support_only,context_support_distance,1,8232,1084,7148,0.6009380994761263,0.279520295202952,0.3531468531468531,0.9223559037493005,0.6567331300061741,0.6031641477608508,0.6564121124558674,,,
context_plus_action_support,context_support_distance|action_support_distance,2,8232,1084,7148,0.596296902392639,0.4280442804428044,0.21611551001397297,0.7645495243424735,0.6133599675392389,0.6015714985506995,0.6286194341839696,,,
context_loss_action_support,context_support_distance|predicted_action_loss|action_support_distance,3,8232,1084,7148,0.554150826902785,0.540590405904059,0.15941240478781285,0.567711247901511,0.5843978497843176,0.5568555568511213,0.5954069963223502,,,
context_plus_loss,context_support_distance|predicted_action_loss,2,8232,1084,7148,0.5451141598713134,0.5387453874538746,0.15408970976253297,0.5514829322887521,0.58268692298003,0.5460506789486597,0.5882472793562512,,,
predicted_loss_only,predicted_action_loss,1,8232,1084,7148,0.5322261329776141,0.5461254612546126,0.14671623296158612,0.5183268047006155,0.5595013287849723,0.5345393037968784,0.5650117297327509,,,
diagnostic_context_support_distance,context_support_distance,1,8232,1084,7148,,,,,,,,2.797969412010568,3.3675800496332604,0.1074684075637295
diagnostic_action_support_distance,action_support_distance,1,8232,1084,7148,,,,,,,,3.3984456064769066,3.9929957701952565,0.1135344488257703
diagnostic_action_support_minus_context,action_support_minus_context,1,8232,1084,7148,,,,,,,,0.6004761944663386,0.6254157205619959,0.06504030391621934
diagnostic_predicted_action_loss,predicted_action_loss,1,8232,1084,7148,,,,,,,,0.1481374582930748,0.16035406338644317,0.22556284639519167
diagnostic_predicted_relative_loss,predicted_relative_loss,1,8232,1084,7148,,,,,,,,0.010098805448140066,0.012580361537582716,0.16179788582088975
