condition,true_class,seed,policy,classification_correct,classification_margin,failure_mode,adaptation_scale,uncertainty_scale,abstain,incorrect_commitment_cost,unnecessary_abstention_cost,adaptation_exposure,uncertainty_cost,severe_failure_penalty,total_policy_cost
measurement_noise_boundary,measurement_noise,34013,generic_uncertainty,True,0.5700146945174004,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34013,failure_aware,True,0.5700146945174004,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34014,baseline,False,0.28152206481330166,A_C,1.0,1.0,False,1.0,0.0,1.0,0.0,0.5,2.5
measurement_noise_boundary,measurement_noise,34014,generic_uncertainty,False,0.28152206481330166,A_C,0.25,1.5,True,0.0,0.0,0.25,0.05,0.0,0.3
measurement_noise_boundary,measurement_noise,34014,failure_aware,False,0.28152206481330166,A_C,0.1,2.0,True,0.0,0.0,0.1,0.1,0.0,0.2
measurement_noise_boundary,measurement_noise,34015,baseline,True,0.6636160153904704,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34015,generic_uncertainty,True,0.6636160153904704,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34015,failure_aware,True,0.6636160153904704,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34016,baseline,True,0.4499708820683692,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34016,generic_uncertainty,True,0.4499708820683692,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34016,failure_aware,True,0.4499708820683692,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34017,baseline,True,0.7386251370862177,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34017,generic_uncertainty,True,0.7386251370862177,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34017,failure_aware,True,0.7386251370862177,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34018,baseline,True,0.9546552226866568,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34018,generic_uncertainty,True,0.9546552226866568,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34018,failure_aware,True,0.9546552226866568,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34019,baseline,True,0.4731555633149266,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34019,generic_uncertainty,True,0.4731555633149266,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34019,failure_aware,True,0.4731555633149266,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34020,baseline,False,0.18740750003659024,A_C,1.0,1.0,False,1.0,0.0,1.0,0.0,0.5,2.5
measurement_noise_boundary,measurement_noise,34020,generic_uncertainty,False,0.18740750003659024,A_C,0.25,1.5,True,0.0,0.0,0.25,0.05,0.0,0.3
