condition,true_class,seed,classification_correct,classification_margin,score_spread,delta_event_vs_pre_nis,delta_post_vs_pre_nis,recovery_ratio_nis,event_max_nis,post_longest_nis_run_above_1,delta_event_vs_pre_autocorrelation,delta_post_vs_pre_autocorrelation,parameter_shift_post_vs_pre,post_cumulative_abs_parameter_update,evidence_sufficient,operating_point_hard_accuracy,operating_point_coverage,operating_point_selective_accuracy
measurement_noise_0.85,measurement_noise,2000,True,0.8076295323345204,1.1082320855725087,0.21187256679524258,-0.031884370967150355,0.8172595203525025,4.102484023251454,2,0.24976900054035306,0.0141355036484535,0.001530515071697991,0.10057011931810582,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2001,True,0.6231264796387683,0.8296795510962806,-0.20191435048838424,-0.5893536341287535,0.6479116446276814,5.253387763238185,3,0.34332760039299026,0.5758592456531673,-0.00022437779236084143,0.08303236404104862,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2002,True,0.8846658933076925,1.6230942134405317,-0.191868606836205,0.9690757684873574,2.0249782139864694,5.943372503611436,3,-0.2900254292255857,-0.15843583751728157,0.012066897436616486,0.17067989894994615,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2003,True,0.4024059827548464,0.594057133644058,-0.6320706546459105,-0.49921321835956234,1.2178026825493558,1.2713274699081412,4,-0.15734153028947195,0.1164199753269102,-0.0022470537254931644,0.0823432530916468,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2004,True,0.6486604140261566,0.9018508967880041,-0.25619544584901066,-0.12403773442973365,1.2078889079681603,2.9431096333644287,3,0.2547638295932233,-0.1519336544849499,0.0017687197755101858,0.08907530587643336,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2005,True,0.9779274972252308,1.2121904465735418,-0.515737050651689,-0.3215223407229255,1.2196085007509314,2.826112663156334,2,-0.6060939258825445,-0.6538284228155232,-0.0006489685892405728,0.10644073977484696,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2006,True,0.8996177210801496,1.1593996915639333,-0.4988528798122678,-0.08956557412662569,1.4220157465339036,3.1105661707204395,3,-0.25632812445475217,-0.20437253968580943,-0.00023662481703667915,0.12847123633967178,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2007,True,0.3489314964567224,0.6000048045440751,0.426038674745966,0.04131622772970045,0.7085669950732958,6.971212047130958,1,0.29510807147558066,0.33823828071165274,0.0028914788931253543,0.09662186511242278,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2008,True,0.7561071758445588,1.110860444088629,0.39524673175592984,0.4312407719204765,1.0338375446545618,3.693293269262997,2,-0.4532167631448858,0.052933319880887786,-0.0029309272418004406,0.10220723073825201,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2009,True,0.060438170282343995,0.4487154482633861,-0.8707811814219308,-0.9486529125104427,0.889301437153492,4.276308435231756,1,0.3830863863831928,0.7374951271096342,0.0037922178345519697,0.07984213879161284,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2010,True,0.39749789229851284,0.9215667799330158,-0.225931112365497,-0.30863106602718393,0.8629651026451665,1.585957287474866,2,-0.35038159224793586,-0.5933776928034205,-0.004190915712712462,0.0675705386187091,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2011,True,0.467587104469093,1.120776206985506,0.06999171221274925,0.619646872096947,1.5614680468159392,2.139637880276326,2,0.0724798607565191,0.3354014823213918,-0.005707584435710178,0.13091947371043597,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2012,True,0.7466000999098235,1.2620716247331558,0.23452847517666764,0.7128806391762053,1.4957851179322217,4.488320036987525,2,-0.02526473331033477,0.3459236585422196,0.0033798226319989855,0.12312106103008967,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2013,True,0.04046811540928835,0.48356464155888484,0.9167359150711998,0.19337794685560183,0.6123254706861762,5.357824018890636,2,0.07629780342211573,0.272930778658983,0.0024292777856746994,0.11388752768245138,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2014,False,0.2386482755645487,0.258639300902598,0.6557614802001956,0.4158268566662837,0.8004276430389435,5.390865916085509,2,0.2305268977589172,0.26386724307970155,0.003572132702554076,0.08974266525641811,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2015,True,0.721665891974722,1.392583565080313,0.07908232689440908,0.13937324794380557,1.0564905780897569,5.712493642203998,3,-0.16378320122494816,-0.5204312458798881,0.009720748432342163,0.11226478500467181,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2016,True,0.1867127064633316,0.4784638209734189,0.25158149483034686,-0.33141621280684497,0.5326784274660931,2.848000427021727,2,0.12079402983400225,-0.04784116517083563,0.0018886247469120931,0.07920787774039874,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2017,True,0.9059374380224137,1.1390208429010746,-0.6660992568619102,-0.7979344273311147,0.8725786866195718,2.962649513245396,3,-0.5251925086270767,-0.14045616333495053,-0.0036535327223173875,0.09462050610542619,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2018,True,0.6669102151677349,1.174840458531707,0.03973559630105483,0.3483968877376993,1.3117224488678754,3.8328067514766277,2,0.2710924366751772,-0.08350655226451711,0.0030018121210689808,0.11167630755484693,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2019,True,0.45533926218531207,0.8838154206301676,0.32152384155514446,0.1464707708634524,0.8044935697463217,2.3076880044594046,1,-0.4972926460996926,-0.09163394094226715,-0.0037243399041867464,0.07712150868948194,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2020,True,0.5701526179543845,0.9896944079401092,-0.33045821001427533,-0.029238034390605128,1.3723468849391747,3.9492195128505987,2,-0.23592658640394173,-0.43920501807959594,-0.004256976289073178,0.10812719282322164,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2021,True,0.7524672014103333,1.3015721645795044,0.008613356514990622,0.28391138324901477,1.3592635642109543,3.40437798576225,2,0.24419760859185005,0.20786137634945479,-0.006489491034501471,0.093163801204247,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2022,False,0.014936240527547384,0.5857421895613488,0.5949683607893193,-0.3259865865225192,0.44676187063124734,3.987762009897484,2,0.52925765059415,0.20524197615746137,0.004159657050349597,0.08080014678684225,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2023,True,0.8648809568449215,1.125385620568709,-0.6355222694710685,-0.3745366344545419,1.3752312241274813,1.6877973919279297,2,0.11462010493342252,0.11368163730518059,-0.0037451719176968545,0.0928006126849252,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2024,True,0.9965341587815739,1.4443364207878577,0.23674760404082984,0.19132095549691408,0.9505081299139841,4.447341936714923,3,0.0804295500619965,-0.22495827267213353,-0.0018724270136387666,0.09794009530454605,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2025,True,0.9379088109584822,1.5335974466014257,0.0831145559035672,-0.05399921829544474,0.8544731303074898,3.3998586863629927,1,0.09012989743698151,0.019463035263947964,0.0023666361229365274,0.08780279465650805,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2026,True,0.47266480831298585,1.0861535980024697,-0.13651121031051616,0.4086702795939243,1.683112994869949,3.4171943251991626,3,-0.14836570372854738,-0.1350818358257889,0.0002263388689059953,0.12069920467767123,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2027,True,0.4133337463922233,1.0884960919954965,0.07483765439672685,-0.22828256473301056,0.6578309898238699,4.621538178217548,2,-0.2644085024354288,-0.37632946006231294,-0.0017236803249061072,0.07030333362395945,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2028,True,0.5173965278302608,1.2120172273198628,-0.055379300510397966,0.013658990465635013,1.0637363420579493,5.450255387327652,3,-0.14808058261125742,0.29753008135030146,0.0002727170880942875,0.10907525465489544,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2029,True,0.8789138077986554,1.219487620518167,0.3293934633054203,-0.0983932441785963,0.6698244256608179,3.6056903194486365,2,0.08703005269754317,0.2928839150364837,0.000874666090309395,0.094747813482046,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2030,True,0.678028014885185,0.9159107315373866,-0.45372549183755095,-0.09454742536110983,1.452585721719021,3.0665584325810604,1,0.27508662369895587,0.7156709796234244,-0.000761334284412829,0.11132801548197246,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2031,True,0.05140632484754948,0.7855580941477645,-0.115848230699785,0.5672339052344977,2.180440057851453,3.31224196685592,2,-0.307554573496026,0.0273559344091827,-0.0008148691856055823,0.10413058068457207,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2032,True,0.6964349500960294,0.8672068363732339,0.36670598612203453,-0.6317996799832192,0.42427234380741063,9.124747304993445,2,-0.6463575072532091,-0.2678552269833773,-0.00407031015303172,0.08183920288219013,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2033,True,0.6501608959589817,1.3936391885213737,-0.006521707437608049,0.6766523910443579,1.8927450103423535,3.5572038964897597,2,-1.0860380629556263,-0.40824565690903847,-0.0025636206106750548,0.1141477725355494,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2034,True,0.32853579346657147,0.5474834156629285,0.6284564617329726,0.10977526410198812,0.6543427186970244,4.806082067705448,1,0.14001823067305588,-0.0577400698292482,0.0007594052816704,0.09568003320514185,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2035,True,0.6575902194256398,1.3674899697628864,0.040100249662753384,-0.2979636898703597,0.7127406664126729,4.869282331526923,1,-0.03618352684494684,0.050111264014387646,-0.0008239937648858442,0.08302174338979577,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2036,True,0.6396433297467687,1.0780172686834795,-0.3116260610632893,-0.33477166571131733,0.9773672067505982,2.3660021284874295,2,-0.08007982311937331,0.05056299833888453,0.007612119968797515,0.1036668986880584,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2037,True,0.9028801206846989,1.1618480540238072,0.6344508497873975,0.10357021981612058,0.6514783852499715,8.120748941574794,2,-0.17813589690533072,-0.8290195053244972,0.0050017819862775426,0.09947327475188887,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2038,True,0.29674470105939776,0.6758786630456548,0.15958357162437065,0.6060385965345594,1.4931717011516377,2.222958680136655,2,0.23800227217323675,0.5916874838782509,-0.0033399757229830573,0.11421975218997286,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2039,True,0.44675750894828004,0.9655670201457751,-0.23119048880250492,0.2156169964728032,1.4784879618430424,2.3838976665038043,3,-0.37496427588075565,-0.12921495540762434,0.004159053030734716,0.12293217347482206,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2040,True,0.4205972260603166,0.6924097617187901,-0.4781874643415265,-0.5513615508842907,0.8936411378560938,1.9371959158282692,1,-0.4770459959681545,-0.07029745108565075,-0.0032443662026161446,0.07865768234059026,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2041,True,0.6122510285626555,1.0067547764434948,0.04914228917992913,0.042270736235816675,0.9908018717995642,2.7331787345446115,2,0.31307238594285675,-0.18630142867773972,-0.000839802875453155,0.07752356772479865,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2042,True,0.3501349368840856,0.7947200310261012,-0.1561629813644152,-0.09834204581584527,1.0682704544362474,3.476080104007372,3,0.21560481777881782,-0.11768937413566702,-0.008294111660656078,0.09581454659297066,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2043,True,0.641264034470414,0.9829871121102268,0.4187237589968126,0.5711372935986835,1.1223920975498363,4.564984801995151,3,-0.17725410489338556,-0.33957050454987026,0.0086047753212658,0.11923288689231161,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2044,True,0.27645960650663026,0.8309117600287159,-0.17029158618228868,-0.07911309572322556,1.1372271658634232,3.912297773764715,2,0.04136139890188334,0.16562516102169955,-0.0020131423257822023,0.07856456344594193,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2045,True,0.37188811376219066,0.6079328032383725,0.5192211522610392,-0.49882493266858274,0.32261504336179103,8.80395976388597,1,0.04675714640473913,-0.22404111241882813,0.0075409781572234325,0.06664411388831312,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2046,True,0.33972141279653834,0.7224657881521339,-0.19237469279901842,0.23154428543507322,1.6783421109336043,1.7404542860364443,1,0.5590874754866206,0.14426357519979016,0.009925293409409619,0.09211925358370161,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2047,True,0.46469901418117465,1.2066239544702682,0.008075059710906496,-0.10869602213810148,0.8758907217856646,2.3044994055638996,2,-0.8881195486940971,-0.5286661897247069,-0.005317924451721079,0.0969201304028157,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2048,True,0.26329679537517625,0.9709811597102566,-0.04231563566491969,0.30537434455489065,1.5260051618410304,1.9196065488264016,1,-0.09195174372059751,-0.017807379045263888,-0.008308094149487744,0.094363898147201,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2049,True,0.005629855569801057,0.3002112140740625,-0.7140110327789578,0.33366810859029017,3.3688231582138832,1.631650445317906,3,-0.027635728635455936,-0.10823782131085091,0.00358884037401086,0.12575763700806555,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2050,True,0.20967397308180968,0.7134618179125753,0.6026343707161702,0.32880800717534264,0.800262292561721,4.668469608797555,2,0.43611267601350967,0.07362773273744946,-0.0030115975040468923,0.08945081402626155,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2051,True,0.2392890733703843,0.8410854999582292,-0.14820357341215507,-0.14869455186171698,0.999478909219709,7.270449339182015,3,-0.07071242920315429,-0.4165201850912988,-0.004533782504961281,0.09607660015355166,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2052,True,0.3058163072277963,0.5920398958217423,0.2060195627844279,0.44060669285037424,1.34675900819397,1.5701261529847301,4,0.4063872958476754,-0.08075732877034299,0.004387980638362543,0.09923198791334759,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2053,False,0.19828198844348688,0.944927435922749,0.7085693284833693,0.4049971691261659,0.7822322350099008,8.06330990022539,5,0.7006238039886019,0.34568007350981067,0.00460386516621758,0.11524396072808342,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2054,True,0.3433151812490063,0.6263974152423363,-0.580847490520582,-0.14520943571601852,2.2074442883496075,0.9893426775513607,1,0.10189663211770425,0.262505114331277,0.005066506075286359,0.09087605624380142,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2055,True,0.36322847174557593,1.1601049548344702,1.2650151342804619,0.24211734149614583,0.5048922211364688,5.585375097475948,3,-0.8231700944988289,-0.639985936830954,0.00423894855589213,0.11549698306886341,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2056,True,0.19924227686017681,0.8974222757648853,0.46668683319041177,0.7001742177972159,1.262206145147481,4.775866112786868,2,0.7413746901713189,-0.01734112993547704,-0.0013653236756394627,0.11186729571765221,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2057,True,0.5617709427338233,0.7932143088623661,-0.21470974756240846,-0.6789841675665387,0.5569797182183189,5.317105957937852,2,0.4859450951196224,-0.012795129281333723,-0.007594725236227617,0.072039642038256,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2058,False,0.1994561835930836,0.7076652421224412,0.24233475787755887,0.3408511673234321,1.109568841179702,3.753546108820691,2,-0.5229528147457843,0.20789699521126276,0.00026980930382269896,0.10016362095071857,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2059,True,0.33934904004004185,0.9311950222901343,0.10384471871905665,0.7052377698542446,1.8667094062252239,3.2226856443775422,2,0.06701287296572753,-0.45604250821788705,0.0015879467418595805,0.11105767147952904,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2060,True,0.5544473353775365,0.9105763090549592,-0.3938710263225773,-0.22806473751548173,1.2214920181482278,2.0988435638752683,2,-0.14901504082237066,-0.40093059743413834,0.0028229905729945104,0.08771286007785654,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2061,True,0.8711464804666099,1.039332601264258,0.6620122037132709,1.1130105249737685,1.4237402841793407,8.94732861838805,2,-0.7740800198702649,-0.11760147321975596,-0.0004934031425269936,0.11705217370907621,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2062,True,0.47334150606854014,0.8311910334462237,-0.7879043310360077,-0.3855435805183023,2.0668730426715682,1.07075643435561,1,0.17791800640828853,0.14003666341181598,-0.001237886499600882,0.08253844148709222,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2063,True,0.40818228811531954,0.7704105836440986,-0.1555364583808112,-0.25499929653390474,0.8946120282341912,6.377075875897041,1,0.3795896845540614,-0.02663873644455042,-0.008667266020905617,0.09444148755533337,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2064,True,0.8336000710862796,1.1616042740601888,0.26299285241958414,0.00419043154073262,0.8133344235690209,5.567585195960294,2,0.1782685630439588,0.3904718854540092,-0.002408202304681528,0.0965449205144361,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2065,True,0.7646151779485266,1.2032930695015525,0.47455984033213494,0.4816031078736147,1.0040264158007126,6.036401946826215,3,-0.1311213614724488,-0.34070240873210117,-0.0022370823590535105,0.14514929879189062,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2066,True,0.3106771530131298,0.9887463813113463,0.023855538383609654,-0.28678939521870217,0.7718781991839875,6.692978329451256,3,0.07615448602338878,0.21648441658476789,0.0035099065881518676,0.10839929202011349,False,0.93,0.72,1.0
measurement_noise_0.85,measurement_noise,2067,True,0.5463795779490097,1.2631742208965018,0.02433198729779562,-0.025668051696196126,0.9465823851153774,4.132684333549732,2,0.037061424608336335,0.4403292954997359,-0.003523506856702996,0.09658092493744537,False,0.93,0.72,1.0
