model,features,feature_count,rows,unsafe_rows,safe_rows,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,safe_mean,unsafe_mean,standardized_difference_unsafe_minus_safe
context_plus_loss,context_support_distance|predicted_action_loss,2,9804,2344,7460,0.5644619998352991,0.5251706484641638,0.2940052543587294,0.6037533512064344,0.5956528104383789,0.5642430533832111,0.60142099361179,,,
action_support_only,action_support_distance,1,9804,2344,7460,0.5593205857863097,0.18472696245733788,0.46760259179265656,0.9339142091152814,0.6018230334251389,0.5595767251534636,0.5999787226086687,,,
context_plus_action_support,context_support_distance|action_support_distance,2,9804,2344,7460,0.5568593362552499,0.18771331058020477,0.4435483870967742,0.9260053619302949,0.6064651977783675,0.5570687296756408,0.6104432254339699,,,
context_support_only,context_support_distance,1,9804,2344,7460,0.5568214779163502,0.17704778156996587,0.46734234234234234,0.9365951742627345,0.6183290404340784,0.5570633846433221,0.6175859934256286,,,
context_loss_action_support,context_support_distance|predicted_action_loss|action_support_distance,3,9804,2344,7460,0.5558940058011328,0.5162116040955631,0.2862550272060563,0.5955764075067024,0.5993363353127945,0.5556369171851134,0.606212447099096,,,
predicted_loss_only,predicted_action_loss,1,9804,2344,7460,0.5398218256183147,0.677901023890785,0.2625578321216127,0.4017426273458445,0.5499129029454017,0.5367758389380494,0.5532995356904321,,,
diagnostic_context_support_distance,context_support_distance,1,9804,2344,7460,,,,,,,,2.8462270600644675,6.475265195318966,0.4351418348231334
diagnostic_action_support_distance,action_support_distance,1,9804,2344,7460,,,,,,,,3.292319291396615,6.868048069081855,0.432179803616069
diagnostic_action_support_minus_context,action_support_minus_context,1,9804,2344,7460,,,,,,,,0.44609223133214754,0.3927828737628892,-0.15280708312555566
diagnostic_predicted_action_loss,predicted_action_loss,1,9804,2344,7460,,,,,,,,0.2516752720639492,0.21793931958176038,-0.22691488373842786
diagnostic_predicted_relative_loss,predicted_relative_loss,1,9804,2344,7460,,,,,,,,0.05408582637702068,0.027337676516775856,-0.34567090873780804
