diagnostic,beneficial_count,harmful_count,beneficial_mean,harmful_mean,beneficial_median,harmful_median,beneficial_min,beneficial_max,harmful_min,harmful_max,mean_difference_harmful_minus_beneficial,standardized_effect_harmful_minus_beneficial
expanded_regret,72,8,0.0,0.07983425551011487,0.0,0.09142496292670552,0.0,0.0,0.0023762787710386313,0.09270954335055623,0.07983425551011487,8.50346224841442
incremental_regret,72,8,0.0,0.07285000338420197,0.0,0.09023856742998339,0.0,0.0,0.0023762787710386313,0.09270954335055623,0.07285000338420197,7.079844311076265
primary_regret,72,8,0.0,0.0069842521259129015,0.0,0.0,0.0,0.0,0.0,0.05587401700730321,0.0069842521259129015,1.1801936887041646
predicted_loss_k1_minus_k2,72,8,0.002621055441955902,-0.017583771468282362,0.004228720201825423,-0.0198778555704886,-0.040253972025124984,0.04977340713522613,-0.041865758722521976,0.004628107812383084,-0.020204826910238265,-1.0077103656683286
action_step,72,8,1.3055555555555556,1.75,1.0,2.0,1.0,2.0,1.0,2.0,0.4444444444444444,0.9582913418192504
predicted_loss_k1_minus_k3,72,8,-0.008484498222170648,-0.026435510354035043,-0.007815258952802509,-0.025729795799848812,-0.06383927518177832,0.03891513201408034,-0.04521988217468298,-0.0037813602872686924,-0.017951012131864397,-0.8254528108319598
downside_score,72,8,0.0022423393976298413,0.004671783849939219,0.0007348092070572311,0.0027641606270316335,0.0,0.012917071224366392,0.0003367594536491941,0.009934482762556394,0.002429444452309378,0.766102802269289
context_benefit_probability,72,8,0.730999866749048,0.7023355886401176,0.7354740266930526,0.709391743361331,0.5911160788476132,0.8207372618633817,0.6159140613683529,0.7581469645743659,-0.028664278108930463,-0.6901084795305303
context_release_probability,72,8,0.24878004889386537,0.29039633400529863,0.23567850666393608,0.30327872712690995,0.15354578070601915,0.553856460804946,0.23030287673758054,0.3563819541371686,0.041616285111433254,0.6759615154015439
safety_score,72,8,0.7943147233746192,0.7343336602633477,0.7997514880952379,0.6727205537518035,0.6001651785714285,0.9479999999999997,0.62359375,0.9080267857142856,-0.05998106311127149,-0.5789127464418681
predicted_loss_k1,72,8,0.1737254603374647,0.15126978637819108,0.17997195368461083,0.13349518963458706,0.08938817001940481,0.30620473348754756,0.10681091701336692,0.2782462562032576,-0.022455673959273614,-0.48941710119970905
predicted_under_risk,72,8,0.02904378820857986,0.023278106182787608,0.02834013085624608,0.025998424725571047,0.0021614957767254793,0.06099527674170678,0.0008477695821138238,0.04029314340169665,-0.005765682025792251,-0.43814066341641006
context_current_parameter_estimate,72,8,0.9201527916615077,0.9186152081610945,0.9205225658358677,0.9154370701689643,0.9134100119090581,0.9274856985453563,0.9102313539127934,0.9307063881860766,-0.0015375835004131089,-0.39754216198113274
context_current_mismatch_indicator,72,8,0.3132630471158746,0.45256726146289605,0.18904237478297958,0.20891678148452858,2.512411322714151e-05,1.4023178312273097,0.1345195858563242,1.5027626816832995,0.13930421434702145,0.3774546117487972
context_anchor_age,72,8,24.125,21.375,23.0,25.5,3.0,51.0,6.0,29.0,-2.75,-0.26199236630100503
support_distance,72,8,2.1085739136379593,2.165765965533521,2.1294328039400083,2.239307701499252,1.2076908195486766,2.478211129399127,1.7610783521152396,2.482999544312695,0.05719205189556176,0.23646919156532775
predicted_loss_k2_minus_k3,72,8,-0.01110555366412655,-0.00885173888575268,-0.011029879361171294,-0.011537055937549313,-0.040069060699990666,0.020771878997143195,-0.01816680215825811,0.0037236998194944138,0.0022538147783738704,0.20406451909443876
context_trigger_score,72,8,5.540206706127972,5.759342144934921,4.993510546628228,4.899156316618702,4.519234471015013,9.975228548743006,4.519234471015013,9.418440724546118,0.21913543880694952,0.18978112539124967
context_feature_distance,72,8,0.9711591790535081,0.9416652831102381,0.9564094436318199,0.8886133279083531,0.7016742897632661,1.489906977712457,0.8084766946058487,1.3438302578644257,-0.02949389594327001,-0.15799420234841596
predicted_loss_k3,72,8,0.18220995855963534,0.17770529673222613,0.18004522476274049,0.15825808381124312,0.092197531458165,0.33754737790597633,0.11761487322140918,0.3234661383779406,-0.004504661827409218,-0.08891380771747555
predicted_loss_k2,72,8,0.17110440489550877,0.16885355784647346,0.1675547974803474,0.155881631074928,0.08133925633701922,0.30474998436781975,0.11657531930701198,0.30529933621968247,-0.002250847049035304,-0.05021933704787738
predicted_regret_margin,72,8,0.005855288955171294,0.005680806857475077,0.0022740775142509463,0.005308771721978004,0.0005193444304622842,0.02814418535846287,0.0,0.011171828277852363,-0.00017448209769621668,-0.0241721667651023
