generation_seed,test_index,primary_action,support_baseline_action,calibration_guard_action,support_changed_action,guard_changed_support_action,baseline_expansion_outcome,guarded_expansion_outcome,baseline_regret,guarded_regret,primary_regret,context_support_distance,calibration_probability_baseline_action,calibration_threshold,predicted_baseline_action_loss,realized_baseline_action_loss,baseline_action_loss_error,severe_underestimation,true_best_action,true_responsive_action,vetoed_actions,replication_class,predicted_action_loss,local_mean_error,local_error_std,local_underestimate_fraction,local_severe_underestimate_fraction,reconstructed_calibration_error,reconstructed_severe_underestimation
44077,46,3,1,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.402804854075515,0.6156438815408102,0.468010308717,0.12679361767594768,0.028790890359682447,0.09800272731626523,0,1,1,1,beneficial,0.12679361767594768,0.0248913050560404,0.04678508836786137,0.2857142857142857,0.0,0.09800272731626523,0
44077,57,3,1,3,1,1,beneficial,neutral,0.0,0.0,0.0,1.9132875972171959,0.6575990181087167,0.468010308717,0.12590240049344367,0.07364402648537516,0.052258374008068514,0,1,1,1,beneficial,0.12590240049344367,0.02145561837135242,0.04887203564017078,0.42857142857142855,0.0,0.052258374008068514,0
44078,0,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,2.014788623399183,0.26013647986431465,0.468010308717,0.20963619543041015,0.029439503349388482,0.18019669208102168,0,1,1,,beneficial,0.20963619543041015,0.1121836090497341,0.03945440261435279,0.0,0.0,0.18019669208102168,0
44078,7,2,1,2,1,1,beneficial,neutral,0.0,0.0,0.0,1.780095324308477,0.5342355848958044,0.468010308717,0.2478217852970652,0.24513705194221858,0.002684733354846619,0,1,1,1,beneficial,0.2478217852970652,0.057706844695246215,0.05543524898090178,0.14285714285714285,0.0,0.002684733354846619,0
44078,11,3,2,2,1,0,beneficial,beneficial,0.0,0.0,0.0,2.3813144773517383,0.19057079190504664,0.468010308717,0.2227725365426295,0.17635527528305187,0.046417261259577625,0,2,2,,beneficial,0.2227725365426295,0.14033712256399117,0.05162864606896163,0.0,0.0,0.046417261259577625,0
44078,20,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,1.8826614031367348,0.2032753095969609,0.468010308717,0.21603683117694727,0.044690444902413806,0.17134638627453347,0,1,1,,beneficial,0.21603683117694727,0.13170738429501985,0.0365460001615142,0.0,0.0,0.17134638627453347,0
44078,31,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,2.2299383979537963,0.2436860428254747,0.468010308717,0.1630372342495885,0.03206825123863964,0.13096898301094884,0,1,1,,beneficial,0.1630372342495885,0.10897220306860993,0.03243298342916551,0.0,0.0,0.13096898301094884,0
44078,32,3,2,2,1,0,beneficial,beneficial,0.0,0.0,0.0,2.1492954763809458,0.3843334118800961,0.468010308717,0.30474998436781975,0.233482909886406,0.07126707448141376,0,1,2,,beneficial,0.30474998436781975,0.0978820954801491,0.06828518800437472,0.0,0.0,0.07126707448141376,0
44078,46,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,2.0327733074663503,0.28314140260063336,0.468010308717,0.2200024156724256,0.07532593479888164,0.14467648087354396,0,1,1,,beneficial,0.2200024156724256,0.11033099952961498,0.05814559213552686,0.0,0.0,0.14467648087354396,0
44078,47,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,2.031648403980448,0.23910728783163773,0.468010308717,0.2759999542679671,0.03206141670743622,0.24393853756053085,0,1,1,,beneficial,0.2759999542679671,0.1338080510019777,0.06528903869236934,0.0,0.0,0.24393853756053085,0
44078,49,3,2,2,1,0,beneficial,beneficial,0.0,0.0,0.0,2.3925547103946174,0.19571568768056666,0.468010308717,0.20154641164606163,0.1596409810592521,0.04190543058680954,0,2,2,,beneficial,0.20154641164606163,0.13495287194509767,0.05063504581189158,0.0,0.0,0.04190543058680954,0
44078,53,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,2.0634702337843147,0.28037339364379926,0.468010308717,0.16465285166561336,0.03247453741303727,0.1321783142525761,0,1,1,,beneficial,0.16465285166561336,0.09886966259612433,0.037574882439739124,0.0,0.0,0.1321783142525761,0
44078,61,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,2.147121053542771,0.2505434868802515,0.468010308717,0.2102979691067517,0.028229745286153785,0.1820682238205979,0,1,1,,beneficial,0.2102979691067517,0.11656196491647867,0.04626687918878823,0.0,0.0,0.1820682238205979,0
44078,62,3,1,3,1,1,harmful,neutral,0.09270954335055623,0.0,0.0,2.296522227040797,0.5219424777067206,0.468010308717,0.2782462562032576,0.3273681284051144,-0.04912187220185682,0,2,3,1,harmful,0.2782462562032576,0.07036514395898122,0.08264897679823614,0.14285714285714285,0.0,-0.04912187220185682,0
44080,14,3,2,2,1,0,beneficial,beneficial,0.0,0.0,0.0,2.3616875156838475,0.2817464048667808,0.468010308717,0.1502365221516364,0.044017095155570056,0.10621942699606635,0,1,2,,beneficial,0.1502365221516364,0.09141572071906132,0.011611793591302636,0.0,0.0,0.10621942699606635,0
44080,43,3,2,2,1,0,beneficial,beneficial,0.0,0.0,0.0,1.9764853681534074,0.43624611576353456,0.468010308717,0.1757595191088069,0.15693854643992228,0.018820972668884633,0,2,2,,beneficial,0.1757595191088069,0.07131177969953306,0.06158036466575292,0.14285714285714285,0.0,0.018820972668884633,0
44080,62,3,2,2,1,0,beneficial,beneficial,0.0,0.0,0.0,2.085778287158436,0.2595284329111039,0.468010308717,0.12498115671062514,0.025973596348865275,0.09900756036175987,0,1,2,,beneficial,0.12498115671062514,0.09422622222925503,0.011359877022961882,0.0,0.0,0.09900756036175987,0
