model,features,feature_count,rows,unsafe_rows,safe_rows,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,safe_mean,unsafe_mean,standardized_difference_unsafe_minus_safe
context_support_only,context_support_distance,1,9210,1366,7844,0.6473305780434431,0.3740849194729136,0.4506172839506173,0.9205762366139725,0.7311168630162248,0.6495291849076846,0.7625520979953051,,,
context_plus_action_support,context_support_distance|action_support_distance,2,9210,1366,7844,0.6471866663481073,0.37481698389458273,0.4479440069991251,0.9195563488016318,0.733174930918653,0.6499766251040329,0.7557778019381275,,,
action_support_only,action_support_distance,1,9210,1366,7844,0.6460275332378154,0.3923865300146413,0.4051398337112623,0.8996685364609893,0.7123614919928354,0.6521131533669494,0.7477481986495602,,,
context_plus_loss,context_support_distance|predicted_action_loss,2,9210,1366,7844,0.6453709711258262,0.3733528550512445,0.44041450777202074,0.9173890872004079,0.7274992851079207,0.647624360102704,0.7607091050117581,,,
context_loss_action_support,context_support_distance|predicted_action_loss|action_support_distance,3,9210,1366,7844,0.6440014768214443,0.3718887262079063,0.43567753001715265,0.9161142274349822,0.7315187331589718,0.6470036947469702,0.7562307575806125,,,
predicted_loss_only,predicted_action_loss,1,9210,1366,7844,0.43597040160135825,0.47584187408491946,0.12066085019491368,0.39609892911779704,0.41254583335510986,0.4386480454523515,0.433722837219472,,,
diagnostic_context_support_distance,context_support_distance,1,9210,1366,7844,,,,,,,,2.1004062340496286,5.024679583793712,1.14684678340094
diagnostic_action_support_distance,action_support_distance,1,9210,1366,7844,,,,,,,,2.5365048253915434,5.357129832825642,1.1247221423644762
diagnostic_action_support_minus_context,action_support_minus_context,1,9210,1366,7844,,,,,,,,0.4360985913419146,0.3324502490319298,-0.29452239028563926
diagnostic_predicted_action_loss,predicted_action_loss,1,9210,1366,7844,,,,,,,,0.21175860495796264,0.21184261756092573,0.000978890793745273
diagnostic_predicted_relative_loss,predicted_relative_loss,1,9210,1366,7844,,,,,,,,0.0318754761291923,0.025454354241381996,-0.1656810910789706
