generation_seed,test_index,action,context_support_distance,action_support_distance,action_support_minus_context,predicted_action_loss,predicted_relative_loss,realized_action_regret,unsafe_action
44231,0,1,1.1072688824735664,1.4997731390172775,0.3925042565437111,0.12692436065396687,0.008130279998430356,0.0,0
44231,0,2,1.1072688824735664,1.2160452803165693,0.10877639784300297,0.11879408065553651,0.0,0.0,0
44231,0,3,1.1072688824735664,1.7041276408365627,0.5968587583629963,0.12253691044348484,0.0037428297879483347,0.0,0
44231,1,1,2.32496139736044,3.203038878568722,0.8780774812082819,0.11084059400971787,0.0,0.006203151439042015,1
44231,1,2,2.32496139736044,3.028852898441346,0.7038915010809057,0.1336013311436863,0.022760737133968437,0.0,0
44231,1,3,2.32496139736044,3.331208728698944,1.0062473313385039,0.15179910846794523,0.04095851445822736,0.005291087789516924,1
44231,2,1,4.507432879096306,5.334206778661775,0.8267738995654694,0.09549168316293713,0.0,0.0,0
44231,2,2,4.507432879096306,4.992941797266061,0.4855089181697556,0.10221037157611738,0.006718688413180254,0.00529108778951691,1
44231,2,3,4.507432879096306,5.166815317228836,0.6593824381325302,0.11417621287291643,0.018684529709979303,0.00529108778951691,1
44231,3,1,2.9719380148359162,3.5158101341769017,0.5438721193409854,0.19404281863696354,0.0,0.0,0
44231,3,2,2.9719380148359162,3.467466370846816,0.4955283560108996,0.1997769020372593,0.00573408340029577,0.0,0
44231,3,3,2.9719380148359162,3.644760682135582,0.6728226672996658,0.20043697487384646,0.006394156236882914,0.0,0
44231,4,1,3.048786152210659,3.912281228808145,0.863495076597486,0.15660800816944043,0.0,0.0,0
44231,4,2,3.048786152210659,3.8648449800989098,0.8160588278882508,0.1802218431638148,0.02361383499437436,0.0,0
44231,4,3,3.048786152210659,4.398393856707635,1.349607704496976,0.1930029944881607,0.03639498631872026,0.0,0
44231,5,1,1.5692486132875423,1.9370420593505142,0.36779344606297193,0.13028305796545558,0.0,0.0024212786493545413,0
44231,5,2,1.5692486132875423,1.985101299464454,0.4158526861769116,0.14232746169592475,0.012044403730469166,0.0,0
44231,5,3,1.5692486132875423,1.8613300640771353,0.292081450789593,0.15356133840319902,0.023278280437743437,0.0,0
44231,6,1,2.386776280147672,2.808656392487744,0.42188011234007217,0.09497516303769046,0.0,0.0024212786493545413,0
44231,6,2,2.386776280147672,2.767495826025542,0.38071954587787005,0.12684034063844052,0.031865177600750055,0.0,0
44231,6,3,2.386776280147672,3.125420621493317,0.7386443413456449,0.14168970828873,0.046714545251039546,0.0,0
44231,7,1,1.7333850629125493,2.2762135790664684,0.542828516153919,0.15556726905860088,0.004009015207282002,0.0,0
