record_type,model,features,feature_count,events,harmful_events,beneficial_events,balanced_accuracy,harmful_recall,harmful_precision,beneficial_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,metric,beneficial_count,harmful_count,beneficial_mean,harmful_mean,difference_harmful_minus_beneficial,standardized_difference
model_summary,calibration_compact,predicted_loss_floor|loss_floor_error|expanded_action_loss_error,3,65,15,50,0.95,1.0,0.75,0.9,0.9786666666666667,0.9388736263736264,0.9131181318681318,,,,,,,
model_summary,predicted_loss_ceiling,predicted_loss_ceiling,1,65,15,50,0.7633333333333334,0.8666666666666667,0.43333333333333335,0.66,0.7106666666666667,0.8098290598290598,0.8214972527472527,,,,,,,
model_summary,predicted_loss_mean,predicted_loss_mean,1,65,15,50,0.73,0.8,0.41379310344827586,0.66,0.7066666666666667,0.7919719169719169,0.8182692307692307,,,,,,,
model_summary,predicted_loss_spread,predicted_loss_spread,1,65,15,50,0.7033333333333334,0.6666666666666666,0.43478260869565216,0.74,0.6826666666666666,0.8269078144078145,0.8696428571428572,,,,,,,
model_summary,surface_compact,predicted_loss_floor|predicted_loss_spread|predicted_action_loss,3,65,15,50,0.6733333333333333,0.6666666666666666,0.38461538461538464,0.68,0.6826666666666666,0.7583180708180708,0.8598901098901098,,,,,,,
model_summary,predicted_action_loss,predicted_action_loss,1,65,15,50,0.6633333333333333,0.6666666666666666,0.37037037037037035,0.66,0.708,0.7026862026862026,0.8113247863247863,,,,,,,
model_summary,predicted_loss_floor,predicted_loss_floor,1,65,15,50,0.6633333333333333,0.6666666666666666,0.37037037037037035,0.66,0.708,0.7026862026862026,0.8113247863247863,,,,,,,
model_summary,floor_plus_action_loss,predicted_loss_floor|predicted_action_loss,2,65,15,50,0.6633333333333333,0.6666666666666666,0.37037037037037035,0.66,0.708,0.7026862026862026,0.8113247863247863,,,,,,,
model_summary,floor_plus_spread,predicted_loss_floor|predicted_loss_spread,2,65,15,50,0.6633333333333333,0.6666666666666666,0.37037037037037035,0.66,0.6826666666666668,0.7503815628815629,0.8598901098901098,,,,,,,
diagnostic,,,,,,,,,,,,,,predicted_loss_floor,50,15,0.11590519087049425,0.14463963756270967,0.02873444669221542,0.6834750162111315
diagnostic,,,,,,,,,,,,,,predicted_loss_mean,50,15,0.12405870120596753,0.15923034643998818,0.03517164523402065,0.7992441473731716
diagnostic,,,,,,,,,,,,,,predicted_loss_ceiling,50,15,0.13267721120173628,0.17167302469848997,0.038995813496753684,0.8747852454585299
diagnostic,,,,,,,,,,,,,,predicted_loss_spread,50,15,0.01677202033124203,0.0270333871357803,0.01026136680453827,0.7775341110099943
diagnostic,,,,,,,,,,,,,,predicted_action_loss,50,15,0.11591506880789097,0.14463963756270967,0.0287245687548187,0.6833465818509746
diagnostic,,,,,,,,,,,,,,predicted_relative_loss,50,15,9.877937396716163e-06,0.0,-9.877937396716163e-06,-0.16035674514745463
diagnostic,,,,,,,,,,,,,,true_best_loss,50,15,0.0879735668496743,0.20305516113772878,0.11508159428805448,1.8290100555292776
diagnostic,,,,,,,,,,,,,,realized_expanded_action_loss,50,15,0.0879735668496743,0.25863468264853334,0.17066111579885904,2.738583117621915
diagnostic,,,,,,,,,,,,,,incremental_regret,50,15,0.0,0.05557952151080452,0.05557952151080452,6.437229919413826
diagnostic,,,,,,,,,,,,,,loss_floor_error,50,15,0.027931624020819952,-0.05841552357501913,-0.08634714759583909,-1.7454610690444352
diagnostic,,,,,,,,,,,,,,expanded_action_loss_error,50,15,0.027941501958216666,-0.11399504508582366,-0.14193654704404032,-2.9494229295755336
diagnostic,,,,,,,,,,,,,,absolute_floor_error,50,15,0.04404823849388337,0.06814470927242212,0.024096470778538756,0.6861306087782222
diagnostic,,,,,,,,,,,,,,absolute_action_loss_error,50,15,0.04405811643128008,0.11399504508582366,0.06993692865454357,1.8725390966453432
diagnostic,,,,,,,,,,,,,,floor_to_true_ratio,50,15,1.8593912564919062,0.7590415211062721,-1.1003497353856342,-1.1749698886446969
