condition,true_class,magnitude,sequence_replicate,evidence_budget,estimated_p_pass,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,marginal_mae,joint_total_variation,joint_js_divergence
measurement_noise_0.850,measurement_noise,0.85,0,5,0.0,0.0,1.0,0.0,0.22,0.8,0.06,0.15999999999999998,0.43999999999999995,0.26537374235093775
measurement_noise_0.850,measurement_noise,0.85,0,10,0.1,0.4,0.9,0.1,0.22,0.8,0.06,0.10666666666666667,0.18000000000000002,0.04399860909148551
measurement_noise_0.850,measurement_noise,0.85,0,20,0.25,0.25,0.75,0.05,0.22,0.8,0.06,0.030000000000000013,0.08000000000000003,0.014014880609257844
measurement_noise_0.850,measurement_noise,0.85,1,5,0.4,0.0,0.6,0.0,0.22,0.8,0.06,0.16000000000000003,0.23999999999999996,0.1450088294683459
measurement_noise_0.850,measurement_noise,0.85,1,10,0.3,0.1,0.7,0.0,0.22,0.8,0.06,0.09333333333333337,0.13999999999999993,0.04611989685713727
measurement_noise_0.850,measurement_noise,0.85,1,20,0.35,0.05,0.65,0.0,0.22,0.8,0.06,0.12666666666666668,0.18999999999999995,0.07357282347495239
measurement_noise_0.850,measurement_noise,0.85,2,5,0.2,0.4,0.8,0.0,0.22,0.8,0.06,0.08,0.22000000000000003,0.07052737732773129
measurement_noise_0.850,measurement_noise,0.85,2,10,0.1,0.4,0.9,0.0,0.22,0.8,0.06,0.11333333333333333,0.22000000000000006,0.0743455901134259
measurement_noise_0.850,measurement_noise,0.85,2,20,0.2,0.3,0.8,0.05,0.22,0.8,0.06,0.029999999999999995,0.15000000000000002,0.04005614545882599
measurement_noise_0.850,measurement_noise,0.85,3,5,0.0,0.4,1.0,0.2,0.22,0.8,0.06,0.17333333333333334,0.21999999999999997,0.15287472115115336
measurement_noise_0.850,measurement_noise,0.85,3,10,0.0,0.4,1.0,0.1,0.22,0.8,0.06,0.13999999999999999,0.21999999999999997,0.13101497918303703
measurement_noise_0.850,measurement_noise,0.85,3,20,0.05,0.25,0.95,0.05,0.22,0.8,0.06,0.0633333333333333,0.16999999999999998,0.0511624798125428
measurement_noise_0.850,measurement_noise,0.85,4,5,0.2,0.2,0.8,0.2,0.22,0.8,0.06,0.05333333333333334,0.19999999999999996,0.14249488908689026
measurement_noise_0.850,measurement_noise,0.85,4,10,0.1,0.2,0.9,0.1,0.22,0.8,0.06,0.05333333333333332,0.19999999999999996,0.04581923318019401
measurement_noise_0.850,measurement_noise,0.85,4,20,0.2,0.2,0.8,0.05,0.22,0.8,0.06,0.009999999999999995,0.04999999999999996,0.011884172098275006
measurement_noise_0.850,measurement_noise,0.85,5,5,0.0,0.2,1.0,0.0,0.22,0.8,0.06,0.09333333333333331,0.26,0.14573571614510644
measurement_noise_0.850,measurement_noise,0.85,5,10,0.1,0.3,0.9,0.0,0.22,0.8,0.06,0.07999999999999999,0.15999999999999995,0.05368904387452775
measurement_noise_0.850,measurement_noise,0.85,5,20,0.05,0.15,0.95,0.0,0.22,0.8,0.06,0.09333333333333331,0.24000000000000002,0.0810998873262253
measurement_noise_0.850,measurement_noise,0.85,6,5,0.0,0.4,1.0,0.2,0.22,0.8,0.06,0.17333333333333334,0.21999999999999997,0.15287472115115336
measurement_noise_0.850,measurement_noise,0.85,6,10,0.3,0.3,0.7,0.2,0.22,0.8,0.06,0.1066666666666667,0.26,0.07728262338208862
measurement_noise_0.850,measurement_noise,0.85,6,20,0.15,0.25,0.85,0.1,0.22,0.8,0.06,0.03999999999999998,0.09999999999999996,0.02364923118533685
measurement_noise_0.850,measurement_noise,0.85,7,5,0.4,0.2,0.6,0.0,0.22,0.8,0.06,0.09333333333333335,0.22000000000000003,0.06455407865536286
measurement_noise_0.850,measurement_noise,0.85,7,10,0.3,0.2,0.7,0.0,0.22,0.8,0.06,0.060000000000000026,0.12000000000000002,0.03886776815191065
measurement_noise_0.850,measurement_noise,0.85,7,20,0.15,0.25,0.85,0.05,0.22,0.8,0.06,0.029999999999999975,0.06999999999999998,0.013864065250241904
measurement_noise_0.850,measurement_noise,0.85,8,5,0.0,0.0,1.0,0.0,0.22,0.8,0.06,0.15999999999999998,0.43999999999999995,0.26537374235093775
measurement_noise_0.850,measurement_noise,0.85,8,10,0.1,0.0,0.9,0.0,0.22,0.8,0.06,0.12666666666666665,0.33999999999999997,0.1610769684338968
measurement_noise_0.850,measurement_noise,0.85,8,20,0.2,0.1,0.8,0.1,0.22,0.8,0.06,0.05333333333333334,0.12999999999999998,0.03574084382213085
measurement_noise_0.850,measurement_noise,0.85,9,5,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,9,10,0.1,0.1,0.9,0.0,0.22,0.8,0.06,0.09333333333333332,0.23999999999999996,0.06597147475878157
measurement_noise_0.850,measurement_noise,0.85,9,20,0.1,0.25,0.9,0.0,0.22,0.8,0.06,0.06333333333333332,0.16,0.04880063534177144
measurement_noise_0.850,measurement_noise,0.85,10,5,0.0,0.0,1.0,0.0,0.22,0.8,0.06,0.15999999999999998,0.43999999999999995,0.26537374235093775
measurement_noise_0.850,measurement_noise,0.85,10,10,0.0,0.2,1.0,0.1,0.22,0.8,0.06,0.08666666666666666,0.23999999999999996,0.14700056906728182
measurement_noise_0.850,measurement_noise,0.85,10,20,0.1,0.25,0.9,0.1,0.22,0.8,0.06,0.056666666666666664,0.09999999999999998,0.018325394048230345
measurement_noise_0.850,measurement_noise,0.85,11,5,0.2,0.0,0.8,0.2,0.22,0.8,0.06,0.12000000000000001,0.21999999999999995,0.17215291112332634
measurement_noise_0.850,measurement_noise,0.85,11,10,0.3,0.0,0.7,0.1,0.22,0.8,0.06,0.12000000000000004,0.21999999999999995,0.13875858577212435
measurement_noise_0.850,measurement_noise,0.85,11,20,0.2,0.2,0.8,0.1,0.22,0.8,0.06,0.02,0.04000000000000001,0.0062098660848518205
measurement_noise_0.850,measurement_noise,0.85,12,5,0.4,0.0,0.6,0.0,0.22,0.8,0.06,0.16000000000000003,0.23999999999999996,0.1450088294683459
measurement_noise_0.850,measurement_noise,0.85,12,10,0.3,0.1,0.7,0.0,0.22,0.8,0.06,0.09333333333333337,0.13999999999999993,0.04611989685713727
measurement_noise_0.850,measurement_noise,0.85,12,20,0.25,0.25,0.75,0.1,0.22,0.8,0.06,0.040000000000000015,0.11000000000000003,0.011909602068760704
measurement_noise_0.850,measurement_noise,0.85,13,5,0.0,0.4,1.0,0.2,0.22,0.8,0.06,0.17333333333333334,0.21999999999999997,0.15287472115115336
measurement_noise_0.850,measurement_noise,0.85,13,10,0.1,0.2,0.9,0.1,0.22,0.8,0.06,0.05333333333333332,0.19999999999999996,0.04581923318019401
measurement_noise_0.850,measurement_noise,0.85,13,20,0.15,0.3,0.85,0.05,0.22,0.8,0.06,0.04666666666666664,0.08000000000000002,0.017147498663085365
measurement_noise_0.850,measurement_noise,0.85,14,5,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,14,10,0.1,0.2,0.9,0.0,0.22,0.8,0.06,0.05999999999999999,0.15999999999999995,0.04825753925800962
measurement_noise_0.850,measurement_noise,0.85,14,20,0.15,0.15,0.85,0.05,0.22,0.8,0.06,0.043333333333333314,0.12,0.03077753025972339
measurement_noise_0.850,measurement_noise,0.85,15,5,0.2,0.0,0.8,0.0,0.22,0.8,0.06,0.09333333333333334,0.24,0.13535588408084337
measurement_noise_0.850,measurement_noise,0.85,15,10,0.1,0.2,0.9,0.1,0.22,0.8,0.06,0.05333333333333332,0.13999999999999996,0.05413169134188117
measurement_noise_0.850,measurement_noise,0.85,15,20,0.15,0.2,0.85,0.1,0.22,0.8,0.06,0.036666666666666646,0.07999999999999997,0.009260028392448941
measurement_noise_0.850,measurement_noise,0.85,16,5,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,16,10,0.3,0.2,0.7,0.1,0.22,0.8,0.06,0.053333333333333365,0.2,0.05830383495914132
measurement_noise_0.850,measurement_noise,0.85,16,20,0.2,0.15,0.8,0.05,0.22,0.8,0.06,0.02666666666666667,0.06999999999999997,0.026273374891162916
measurement_noise_0.850,measurement_noise,0.85,17,5,0.4,0.2,0.6,0.0,0.22,0.8,0.06,0.09333333333333335,0.22000000000000003,0.06455407865536286
measurement_noise_0.850,measurement_noise,0.85,17,10,0.4,0.2,0.6,0.1,0.22,0.8,0.06,0.08666666666666668,0.30000000000000004,0.0946888595445197
measurement_noise_0.850,measurement_noise,0.85,17,20,0.2,0.15,0.8,0.05,0.22,0.8,0.06,0.02666666666666667,0.06999999999999997,0.026273374891162916
measurement_noise_0.850,measurement_noise,0.85,18,5,0.2,0.0,0.8,0.0,0.22,0.8,0.06,0.09333333333333334,0.24,0.13535588408084337
measurement_noise_0.850,measurement_noise,0.85,18,10,0.1,0.2,0.9,0.1,0.22,0.8,0.06,0.05333333333333332,0.19999999999999996,0.04581923318019401
measurement_noise_0.850,measurement_noise,0.85,18,20,0.2,0.2,0.8,0.05,0.22,0.8,0.06,0.009999999999999995,0.04999999999999996,0.011884172098275006
measurement_noise_0.850,measurement_noise,0.85,19,5,0.4,0.4,0.6,0.0,0.22,0.8,0.06,0.1466666666666667,0.42000000000000004,0.14941536286024065
measurement_noise_0.850,measurement_noise,0.85,19,10,0.2,0.3,0.8,0.1,0.22,0.8,0.06,0.04,0.08000000000000004,0.021186976965913634
measurement_noise_0.850,measurement_noise,0.85,19,20,0.2,0.35,0.8,0.1,0.22,0.8,0.06,0.056666666666666664,0.13000000000000003,0.02803943785168314
measurement_noise_0.850,measurement_noise,0.85,20,5,0.0,0.4,1.0,0.2,0.22,0.8,0.06,0.17333333333333334,0.4000000000000001,0.22218270876636484
measurement_noise_0.850,measurement_noise,0.85,20,10,0.2,0.3,0.8,0.1,0.22,0.8,0.06,0.04,0.2,0.0615974908065538
measurement_noise_0.850,measurement_noise,0.85,20,20,0.3,0.2,0.7,0.05,0.22,0.8,0.06,0.043333333333333356,0.15000000000000002,0.03676248961141351
measurement_noise_0.850,measurement_noise,0.85,21,5,0.4,0.2,0.6,0.0,0.22,0.8,0.06,0.09333333333333335,0.22000000000000003,0.06455407865536286
measurement_noise_0.850,measurement_noise,0.85,21,10,0.3,0.4,0.7,0.0,0.22,0.8,0.06,0.11333333333333337,0.32000000000000006,0.09692585490212224
measurement_noise_0.850,measurement_noise,0.85,21,20,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,22,5,0.4,0.0,0.6,0.2,0.22,0.8,0.06,0.1866666666666667,0.38000000000000006,0.20582957802973334
measurement_noise_0.850,measurement_noise,0.85,22,10,0.4,0.0,0.6,0.1,0.22,0.8,0.06,0.15333333333333335,0.28,0.15673548918606658
measurement_noise_0.850,measurement_noise,0.85,22,20,0.25,0.2,0.75,0.1,0.22,0.8,0.06,0.03666666666666668,0.09000000000000002,0.009410843751464882
measurement_noise_0.850,measurement_noise,0.85,23,5,0.4,0.0,0.6,0.0,0.22,0.8,0.06,0.16000000000000003,0.23999999999999996,0.1450088294683459
measurement_noise_0.850,measurement_noise,0.85,23,10,0.3,0.2,0.7,0.2,0.22,0.8,0.06,0.0866666666666667,0.24,0.05586552888132571
measurement_noise_0.850,measurement_noise,0.85,23,20,0.15,0.25,0.85,0.1,0.22,0.8,0.06,0.03999999999999998,0.060000000000000026,0.008189759236818722
measurement_noise_0.850,measurement_noise,0.85,24,5,0.2,0.4,0.8,0.0,0.22,0.8,0.06,0.08,0.22000000000000003,0.07052737732773129
measurement_noise_0.850,measurement_noise,0.85,24,10,0.1,0.2,0.9,0.1,0.22,0.8,0.06,0.05333333333333332,0.13999999999999996,0.05413169134188117
measurement_noise_0.850,measurement_noise,0.85,24,20,0.25,0.15,0.75,0.05,0.22,0.8,0.06,0.04333333333333335,0.08,0.027816175313971847
measurement_noise_0.850,measurement_noise,0.85,25,5,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,25,10,0.1,0.3,0.9,0.1,0.22,0.8,0.06,0.07333333333333332,0.2,0.06541570359224842
measurement_noise_0.850,measurement_noise,0.85,25,20,0.2,0.3,0.8,0.1,0.22,0.8,0.06,0.04,0.11000000000000003,0.013650235058795233
measurement_noise_0.850,measurement_noise,0.85,26,5,0.2,0.6,0.8,0.2,0.22,0.8,0.06,0.17333333333333334,0.38000000000000006,0.14690142247878502
measurement_noise_0.850,measurement_noise,0.85,26,10,0.2,0.4,0.8,0.1,0.22,0.8,0.06,0.07333333333333335,0.18000000000000002,0.04018039630579089
measurement_noise_0.850,measurement_noise,0.85,26,20,0.25,0.25,0.75,0.05,0.22,0.8,0.06,0.030000000000000013,0.08000000000000003,0.014014880609257844
measurement_noise_0.850,measurement_noise,0.85,27,5,0.0,0.8,1.0,0.0,0.22,0.8,0.06,0.28,0.6200000000000001,0.34689639702460395
measurement_noise_0.850,measurement_noise,0.85,27,10,0.1,0.4,0.9,0.0,0.22,0.8,0.06,0.11333333333333333,0.22000000000000006,0.0743455901134259
measurement_noise_0.850,measurement_noise,0.85,27,20,0.2,0.25,0.8,0.0,0.22,0.8,0.06,0.03,0.07,0.03416084516179933
measurement_noise_0.850,measurement_noise,0.85,28,5,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,28,10,0.1,0.3,0.9,0.0,0.22,0.8,0.06,0.07999999999999999,0.15999999999999995,0.05368904387452775
measurement_noise_0.850,measurement_noise,0.85,28,20,0.15,0.15,0.85,0.0,0.22,0.8,0.06,0.05999999999999998,0.13999999999999996,0.039192173602228216
measurement_noise_0.850,measurement_noise,0.85,29,5,0.4,0.2,0.6,0.2,0.22,0.8,0.06,0.12000000000000002,0.36000000000000004,0.17617155599329726
measurement_noise_0.850,measurement_noise,0.85,29,10,0.2,0.2,0.8,0.1,0.22,0.8,0.06,0.02,0.09999999999999995,0.02843910567114026
measurement_noise_0.850,measurement_noise,0.85,29,20,0.25,0.25,0.75,0.05,0.22,0.8,0.06,0.030000000000000013,0.08000000000000003,0.014014880609257844
measurement_noise_0.850,measurement_noise,0.85,30,5,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,30,10,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,30,20,0.15,0.2,0.85,0.05,0.22,0.8,0.06,0.02666666666666664,0.08999999999999998,0.028253268043129814
measurement_noise_0.850,measurement_noise,0.85,31,5,0.4,0.0,0.6,0.0,0.22,0.8,0.06,0.16000000000000003,0.23999999999999996,0.1450088294683459
measurement_noise_0.850,measurement_noise,0.85,31,10,0.3,0.2,0.7,0.0,0.22,0.8,0.06,0.060000000000000026,0.12000000000000002,0.03886776815191065
measurement_noise_0.850,measurement_noise,0.85,31,20,0.25,0.2,0.75,0.1,0.22,0.8,0.06,0.03666666666666668,0.09000000000000002,0.009410843751464882
measurement_noise_0.850,measurement_noise,0.85,32,5,0.2,0.4,0.8,0.0,0.22,0.8,0.06,0.08,0.22000000000000003,0.07052737732773129
measurement_noise_0.850,measurement_noise,0.85,32,10,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,32,20,0.15,0.25,0.85,0.0,0.22,0.8,0.06,0.04666666666666664,0.10999999999999997,0.03721100746939646
measurement_noise_0.850,measurement_noise,0.85,33,5,0.4,0.2,0.6,0.2,0.22,0.8,0.06,0.12000000000000002,0.36000000000000004,0.17617155599329726
measurement_noise_0.850,measurement_noise,0.85,33,10,0.4,0.2,0.6,0.2,0.22,0.8,0.06,0.12000000000000002,0.36000000000000004,0.17617155599329726
measurement_noise_0.850,measurement_noise,0.85,33,20,0.3,0.3,0.7,0.1,0.22,0.8,0.06,0.07333333333333336,0.18000000000000002,0.036886740458378406
measurement_noise_0.850,measurement_noise,0.85,34,5,0.4,0.2,0.6,0.2,0.22,0.8,0.06,0.12000000000000002,0.36000000000000004,0.17617155599329726
measurement_noise_0.850,measurement_noise,0.85,34,10,0.3,0.3,0.7,0.1,0.22,0.8,0.06,0.07333333333333336,0.18000000000000002,0.036886740458378406
measurement_noise_0.850,measurement_noise,0.85,34,20,0.25,0.3,0.75,0.1,0.22,0.8,0.06,0.05666666666666668,0.13000000000000003,0.026298804861648612
measurement_noise_0.850,measurement_noise,0.85,35,5,0.2,0.0,0.8,0.2,0.22,0.8,0.06,0.12000000000000001,0.21999999999999995,0.17215291112332634
measurement_noise_0.850,measurement_noise,0.85,35,10,0.3,0.1,0.7,0.1,0.22,0.8,0.06,0.0866666666666667,0.18,0.057846556574857946
measurement_noise_0.850,measurement_noise,0.85,35,20,0.2,0.25,0.8,0.1,0.22,0.8,0.06,0.023333333333333334,0.06000000000000004,0.006797774173025728
measurement_noise_0.850,measurement_noise,0.85,36,5,0.0,0.2,1.0,0.0,0.22,0.8,0.06,0.09333333333333331,0.26,0.14573571614510644
measurement_noise_0.850,measurement_noise,0.85,36,10,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,36,20,0.15,0.25,0.85,0.05,0.22,0.8,0.06,0.029999999999999975,0.06999999999999998,0.013864065250241904
measurement_noise_0.850,measurement_noise,0.85,37,5,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,37,10,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,37,20,0.1,0.25,0.9,0.05,0.22,0.8,0.06,0.046666666666666655,0.13999999999999996,0.041672336267384896
measurement_noise_0.850,measurement_noise,0.85,38,5,0.2,0.4,0.8,0.0,0.22,0.8,0.06,0.08,0.22000000000000003,0.07052737732773129
measurement_noise_0.850,measurement_noise,0.85,38,10,0.2,0.4,0.8,0.0,0.22,0.8,0.06,0.08,0.22000000000000003,0.07052737732773129
measurement_noise_0.850,measurement_noise,0.85,38,20,0.3,0.3,0.7,0.05,0.22,0.8,0.06,0.06333333333333335,0.25000000000000006,0.06062631563560067
measurement_noise_0.850,measurement_noise,0.85,39,5,0.4,0.0,0.6,0.0,0.22,0.8,0.06,0.16000000000000003,0.23999999999999996,0.1450088294683459
measurement_noise_0.850,measurement_noise,0.85,39,10,0.2,0.1,0.8,0.0,0.22,0.8,0.06,0.06,0.13999999999999993,0.043982048088031626
measurement_noise_0.850,measurement_noise,0.85,39,20,0.15,0.25,0.85,0.0,0.22,0.8,0.06,0.04666666666666664,0.10999999999999997,0.03721100746939646
measurement_noise_0.850,measurement_noise,0.85,40,5,0.2,0.2,0.8,0.2,0.22,0.8,0.06,0.05333333333333334,0.20000000000000004,0.09169816031034331
measurement_noise_0.850,measurement_noise,0.85,40,10,0.1,0.2,0.9,0.1,0.22,0.8,0.06,0.05333333333333332,0.13999999999999996,0.05413169134188117
measurement_noise_0.850,measurement_noise,0.85,40,20,0.25,0.2,0.75,0.05,0.22,0.8,0.06,0.026666666666666675,0.10000000000000003,0.02840408340214575
measurement_noise_0.850,measurement_noise,0.85,41,5,0.4,0.2,0.6,0.0,0.22,0.8,0.06,0.09333333333333335,0.22000000000000003,0.06455407865536286
measurement_noise_0.850,measurement_noise,0.85,41,10,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,41,20,0.2,0.2,0.8,0.05,0.22,0.8,0.06,0.009999999999999995,0.04999999999999996,0.011884172098275006
measurement_noise_0.850,measurement_noise,0.85,42,5,0.6,0.2,0.4,0.0,0.22,0.8,0.06,0.16,0.42000000000000004,0.16990831483691277
measurement_noise_0.850,measurement_noise,0.85,42,10,0.3,0.2,0.7,0.0,0.22,0.8,0.06,0.060000000000000026,0.12000000000000002,0.03886776815191065
measurement_noise_0.850,measurement_noise,0.85,42,20,0.25,0.15,0.75,0.0,0.22,0.8,0.06,0.06000000000000002,0.08999999999999996,0.03349048132739503
measurement_noise_0.850,measurement_noise,0.85,43,5,0.0,0.0,1.0,0.0,0.22,0.8,0.06,0.15999999999999998,0.43999999999999995,0.26537374235093775
measurement_noise_0.850,measurement_noise,0.85,43,10,0.3,0.0,0.7,0.0,0.22,0.8,0.06,0.1266666666666667,0.23999999999999994,0.1328844336882528
measurement_noise_0.850,measurement_noise,0.85,43,20,0.25,0.2,0.75,0.0,0.22,0.8,0.06,0.04333333333333334,0.07,0.03242021217176481
measurement_noise_0.850,measurement_noise,0.85,44,5,0.0,0.4,1.0,0.0,0.22,0.8,0.06,0.14666666666666667,0.26,0.16136196020497742
measurement_noise_0.850,measurement_noise,0.85,44,10,0.1,0.4,0.9,0.2,0.22,0.8,0.06,0.14,0.18000000000000005,0.06585835105960183
measurement_noise_0.850,measurement_noise,0.85,44,20,0.2,0.25,0.8,0.1,0.22,0.8,0.06,0.023333333333333334,0.06000000000000001,0.020599068877739726
measurement_noise_0.850,measurement_noise,0.85,45,5,0.0,0.0,1.0,0.2,0.22,0.8,0.06,0.18666666666666665,0.42000000000000004,0.28701121551947695
measurement_noise_0.850,measurement_noise,0.85,45,10,0.2,0.1,0.8,0.1,0.22,0.8,0.06,0.05333333333333334,0.11999999999999995,0.049856200171903176
measurement_noise_0.850,measurement_noise,0.85,45,20,0.15,0.2,0.85,0.05,0.22,0.8,0.06,0.02666666666666664,0.08999999999999998,0.028253268043129814
measurement_noise_0.850,measurement_noise,0.85,46,5,0.0,0.0,1.0,0.0,0.22,0.8,0.06,0.15999999999999998,0.43999999999999995,0.26537374235093775
measurement_noise_0.850,measurement_noise,0.85,46,10,0.0,0.3,1.0,0.1,0.22,0.8,0.06,0.10666666666666665,0.21999999999999997,0.1255834745665189
measurement_noise_0.850,measurement_noise,0.85,46,20,0.1,0.25,0.9,0.05,0.22,0.8,0.06,0.046666666666666655,0.12,0.02545369312261689
measurement_noise_0.850,measurement_noise,0.85,47,5,0.4,0.2,0.6,0.0,0.22,0.8,0.06,0.09333333333333335,0.22000000000000003,0.06455407865536286
measurement_noise_0.850,measurement_noise,0.85,47,10,0.5,0.2,0.5,0.0,0.22,0.8,0.06,0.12666666666666668,0.32000000000000006,0.107086756061447
measurement_noise_0.850,measurement_noise,0.85,47,20,0.35,0.25,0.65,0.0,0.22,0.8,0.06,0.08,0.22,0.058734764632968214
measurement_noise_0.850,measurement_noise,0.85,48,5,0.4,0.4,0.6,0.0,0.22,0.8,0.06,0.1466666666666667,0.42000000000000004,0.14941536286024065
measurement_noise_0.850,measurement_noise,0.85,48,10,0.4,0.3,0.6,0.0,0.22,0.8,0.06,0.11333333333333336,0.32000000000000006,0.09424621207716628
measurement_noise_0.850,measurement_noise,0.85,48,20,0.3,0.25,0.7,0.0,0.22,0.8,0.06,0.06333333333333337,0.17,0.04572022903768015
measurement_noise_0.850,measurement_noise,0.85,49,5,0.2,0.2,0.8,0.2,0.22,0.8,0.06,0.05333333333333334,0.19999999999999996,0.14249488908689026
measurement_noise_0.850,measurement_noise,0.85,49,10,0.1,0.2,0.9,0.2,0.22,0.8,0.06,0.08666666666666666,0.17999999999999997,0.051693385264065556
measurement_noise_0.850,measurement_noise,0.85,49,20,0.25,0.3,0.75,0.1,0.22,0.8,0.06,0.05666666666666668,0.16000000000000003,0.020991592341992243
measurement_noise_0.850,measurement_noise,0.85,50,5,0.0,0.4,1.0,0.0,0.22,0.8,0.06,0.14666666666666667,0.26,0.16136196020497742
measurement_noise_0.850,measurement_noise,0.85,50,10,0.2,0.4,0.8,0.0,0.22,0.8,0.06,0.08,0.22000000000000003,0.07052737732773129
measurement_noise_0.850,measurement_noise,0.85,50,20,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,51,5,0.4,0.0,0.6,0.0,0.22,0.8,0.06,0.16000000000000003,0.23999999999999996,0.1450088294683459
measurement_noise_0.850,measurement_noise,0.85,51,10,0.3,0.0,0.7,0.0,0.22,0.8,0.06,0.1266666666666667,0.23999999999999994,0.1328844336882528
measurement_noise_0.850,measurement_noise,0.85,51,20,0.2,0.2,0.8,0.05,0.22,0.8,0.06,0.009999999999999995,0.04999999999999996,0.011884172098275006
measurement_noise_0.850,measurement_noise,0.85,52,5,0.0,0.2,1.0,0.0,0.22,0.8,0.06,0.09333333333333331,0.26,0.14573571614510644
measurement_noise_0.850,measurement_noise,0.85,52,10,0.0,0.2,1.0,0.0,0.22,0.8,0.06,0.09333333333333331,0.26,0.14573571614510644
measurement_noise_0.850,measurement_noise,0.85,52,20,0.15,0.25,0.85,0.05,0.22,0.8,0.06,0.029999999999999975,0.06999999999999998,0.013864065250241904
measurement_noise_0.850,measurement_noise,0.85,53,5,0.2,0.4,0.8,0.2,0.22,0.8,0.06,0.10666666666666667,0.18000000000000002,0.062040138273907225
measurement_noise_0.850,measurement_noise,0.85,53,10,0.3,0.3,0.7,0.1,0.22,0.8,0.06,0.07333333333333336,0.18000000000000002,0.036886740458378406
measurement_noise_0.850,measurement_noise,0.85,53,20,0.2,0.25,0.8,0.05,0.22,0.8,0.06,0.01333333333333333,0.030000000000000016,0.010813902942644782
measurement_noise_0.850,measurement_noise,0.85,54,5,0.6,0.2,0.4,0.0,0.22,0.8,0.06,0.16,0.42000000000000004,0.16990831483691277
measurement_noise_0.850,measurement_noise,0.85,54,10,0.4,0.4,0.6,0.1,0.22,0.8,0.06,0.14000000000000004,0.38000000000000006,0.11906838183830026
measurement_noise_0.850,measurement_noise,0.85,54,20,0.2,0.3,0.8,0.05,0.22,0.8,0.06,0.029999999999999995,0.08000000000000003,0.01575551359929237
measurement_noise_0.850,measurement_noise,0.85,55,5,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
measurement_noise_0.850,measurement_noise,0.85,55,10,0.3,0.1,0.7,0.1,0.22,0.8,0.06,0.0866666666666667,0.18,0.057846556574857946
measurement_noise_0.850,measurement_noise,0.85,55,20,0.2,0.15,0.8,0.1,0.22,0.8,0.06,0.036666666666666674,0.07999999999999996,0.014049902878252352
measurement_noise_0.850,measurement_noise,0.85,56,5,0.2,0.0,0.8,0.0,0.22,0.8,0.06,0.09333333333333334,0.24,0.13535588408084337
measurement_noise_0.850,measurement_noise,0.85,56,10,0.2,0.0,0.8,0.0,0.22,0.8,0.06,0.09333333333333334,0.24,0.13535588408084337
measurement_noise_0.850,measurement_noise,0.85,56,20,0.2,0.25,0.8,0.1,0.22,0.8,0.06,0.023333333333333334,0.06000000000000001,0.020599068877739726
measurement_noise_0.850,measurement_noise,0.85,57,5,0.4,0.0,0.6,0.0,0.22,0.8,0.06,0.16000000000000003,0.23999999999999996,0.1450088294683459
measurement_noise_0.850,measurement_noise,0.85,57,10,0.2,0.1,0.8,0.0,0.22,0.8,0.06,0.06,0.13999999999999993,0.043982048088031626
measurement_noise_0.850,measurement_noise,0.85,57,20,0.2,0.2,0.8,0.0,0.22,0.8,0.06,0.02666666666666666,0.05999999999999997,0.030877411748955877
