condition,true_class,magnitude,sequence_replicate,evidence_budget,estimated_p_pass,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,marginal_mae,joint_total_variation,joint_js_divergence
structural_change_delta_0.050,structural_change,0.05,417,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,417,10,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,417,20,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,418,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,418,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,418,20,0.0,1.0,1.0,0.75,1.0,1.0,0.82,0.023333333333333317,0.06999999999999998,0.00525439454014014
structural_change_delta_0.050,structural_change,0.05,419,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,419,10,0.0,1.0,1.0,0.7,1.0,1.0,0.82,0.04,0.12,0.014356306905036004
structural_change_delta_0.050,structural_change,0.05,419,20,0.0,1.0,1.0,0.75,1.0,1.0,0.82,0.023333333333333317,0.06999999999999998,0.00525439454014014
structural_change_delta_0.050,structural_change,0.05,420,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,420,10,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,420,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,421,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,421,10,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,421,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,422,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,422,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,422,20,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,423,5,0.0,1.0,1.0,0.6,1.0,1.0,0.82,0.07333333333333332,0.22,0.043207426247930225
structural_change_delta_0.050,structural_change,0.05,423,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,423,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,424,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,424,10,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,424,20,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,425,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,425,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,425,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,426,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,426,10,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,426,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,427,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,427,10,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,427,20,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,428,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,428,10,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,428,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,429,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,429,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,429,20,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,430,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,430,10,0.0,1.0,1.0,0.6,1.0,1.0,0.82,0.07333333333333332,0.22,0.043207426247930225
structural_change_delta_0.050,structural_change,0.05,430,20,0.0,1.0,1.0,0.75,1.0,1.0,0.82,0.023333333333333317,0.06999999999999998,0.00525439454014014
structural_change_delta_0.050,structural_change,0.05,431,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,431,10,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,431,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,432,5,0.0,1.0,1.0,0.6,1.0,1.0,0.82,0.07333333333333332,0.22,0.043207426247930225
structural_change_delta_0.050,structural_change,0.05,432,10,0.0,1.0,1.0,0.7,1.0,1.0,0.82,0.04,0.12,0.014356306905036004
structural_change_delta_0.050,structural_change,0.05,432,20,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,433,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,433,10,0.0,1.0,1.0,0.7,1.0,1.0,0.82,0.04,0.12,0.014356306905036004
structural_change_delta_0.050,structural_change,0.05,433,20,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,434,5,0.0,1.0,1.0,0.6,1.0,1.0,0.82,0.07333333333333332,0.22,0.043207426247930225
structural_change_delta_0.050,structural_change,0.05,434,10,0.0,1.0,1.0,0.7,1.0,1.0,0.82,0.04,0.12,0.014356306905036004
structural_change_delta_0.050,structural_change,0.05,434,20,0.0,1.0,1.0,0.7,1.0,1.0,0.82,0.04,0.12,0.014356306905036004
structural_change_delta_0.050,structural_change,0.05,435,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,435,10,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,435,20,0.0,1.0,1.0,0.95,1.0,1.0,0.82,0.043333333333333335,0.13,0.03157865158259736
structural_change_delta_0.050,structural_change,0.05,436,5,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
structural_change_delta_0.050,structural_change,0.05,436,10,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.06000000000000002,0.18000000000000002,0.09643129419996313
