generation_seed,test_index,clean_action,poison_action,clean_unsafe,poison_unsafe,transition,clean_regret,poison_regret,delta_regret
44813,81,1,3,0,1,safe-to-unsafe,0.0,0.0103665946672307,0.0103665946672307
44813,82,1,3,0,1,safe-to-unsafe,0.0,0.0190728502425646,0.0190728502425646
44813,83,1,3,0,0,safe-to-safe,0.0,0.0024653264805842,0.0024653264805842
44814,1,2,3,1,1,unsafe-to-unsafe,0.0138361938273042,0.0138361938273042,0.0
44814,11,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44814,32,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44814,59,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44814,77,1,3,0,1,safe-to-unsafe,0.0,0.0262485740621583,0.0262485740621583
44814,78,1,3,0,1,safe-to-unsafe,0.0,0.0343581286456481,0.0343581286456481
44814,79,1,3,0,1,safe-to-unsafe,0.0,0.0182044503749418,0.0182044503749418
44814,80,1,3,0,0,safe-to-safe,0.0,0.0018707586075064,0.0018707586075064
44815,28,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44815,31,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44815,56,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44815,77,1,3,0,1,safe-to-unsafe,0.0,0.0258783301187104,0.0258783301187104
44815,78,1,3,0,1,safe-to-unsafe,0.0,0.0345261179479858,0.0345261179479858
44815,79,1,3,0,1,safe-to-unsafe,0.0,0.0171039880924051,0.0171039880924051
44815,80,1,3,0,0,safe-to-safe,0.0,0.0013600910823463,0.0013600910823463
44816,4,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44816,77,1,3,0,1,safe-to-unsafe,0.0,0.0161084506748447,0.0161084506748447
44816,78,1,3,0,0,safe-to-safe,0.0,0.0008952015358574,0.0008952015358574
44817,74,1,3,0,1,safe-to-unsafe,0.0,0.0256684966509563,0.0256684966509563
44817,75,1,3,0,1,safe-to-unsafe,0.0,0.0329036533804102,0.0329036533804102
