generation_seed,test_index,outcome,primary_action,expanded_action,true_responsive_action,action_step,safety_score,downside_score,support_distance,predicted_under_risk,predicted_loss_k1,predicted_loss_k2,predicted_loss_k3,predicted_loss_k1_minus_k2,predicted_loss_k1_minus_k3,predicted_loss_k2_minus_k3,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,primary_regret,expanded_regret,incremental_regret,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate
44077,46,beneficial,3,1,1,2,0.6808303571428567,0.0007322646571411162,2.402804854075515,0.018690576592650315,0.12679361767594768,0.14734668815863028,0.1437816435988074,-0.020553070482682595,-0.016988025922859723,0.003565044559822872,0.0004078321797114572,0.0017122002348366953,0.0013043680551252381,0.0,0.0,0.0,0.717443812640793,0.26242389860393944,14.0,4.811280977798958,1.0214793499994494,0.0008353391484577535,0.9173379421895846
44077,57,beneficial,3,1,1,2,0.7127504960317459,0.0005359798981266601,1.9132875972171959,0.01048935813986384,0.12590240049344367,0.14596837451665565,0.14273019137916682,-0.020065974023211974,-0.016827790885723143,0.0032381831374888315,0.0006073334282747593,0.0014336514797944724,0.000826318051519713,0.0,0.0,0.0,0.756177616811919,0.21023122806601507,15.0,4.799626694340233,1.0914883195618925,0.002754411180271547,0.9180443483374685
44078,0,beneficial,3,1,1,2,0.8819196428571427,0.00748216574986928,2.014788623399183,0.03825824499208795,0.20963619543041015,0.24331207270929087,0.2651465942247591,-0.03367587727888072,-0.055510398794348964,-0.021834521515468247,3.9059935077744015e-05,0.0015291297677289277,0.0014900698326511836,0.0,0.0,0.0,0.715450838402951,0.2424147351248854,23.0,4.757771453374785,0.9134347343595703,0.012741163484892813,0.9199816163352651
44078,7,beneficial,2,1,1,1,0.8531116071428572,0.0018015725271547142,1.780095324308477,0.03546497159365616,0.2478217852970652,0.27159199977885284,0.3116610604788435,-0.02377021448178765,-0.06383927518177832,-0.040069060699990666,0.0005097873127427115,0.0032069053894474217,0.0026971180767047104,0.0,0.0,0.0,0.5911160788476132,0.3166191642949903,8.0,5.999897567246371,1.489906977712457,0.1394568818235459,0.9187294303389012
44078,11,beneficial,3,2,2,1,0.6533824404761905,0.00012747485392155348,2.3813144773517383,0.04581800270034364,0.2398920865446319,0.2227725365426295,0.23461885870326077,0.01711955000200241,0.005273227841371131,-0.011846322160631279,0.0001724180435683268,0.003559229012982797,0.0033868109694144702,0.0,0.0,0.0,0.7222144718186686,0.30569348110330086,5.0,4.735736565303267,0.785911509355408,0.361536434799519,0.9209545852326482
44078,20,beneficial,3,1,1,2,0.8365724206349208,0.005980693016918876,1.8826614031367348,0.025889021329892063,0.21603683117694727,0.24420773854202754,0.2666935665099432,-0.028170907365080267,-0.05065673533299592,-0.02248582796791565,0.001525842178016939,0.005840208135893049,0.00431436595787611,0.0,0.0,0.0,0.6724087452159525,0.31684855940718193,37.0,5.704021002269784,0.7016742897632661,0.13825397449026183,0.9251861524370621
44078,31,beneficial,3,1,1,2,0.7385238095238097,0.004689565238550869,2.2299383979537963,0.032638371929815994,0.1630372342495885,0.1884722304271162,0.2049120326003483,-0.025434996177527702,-0.0418747983507598,-0.0164398021732321,2.2726114837602222e-05,0.0006256137987214473,0.000602887683883845,0.0,0.0,0.0,0.687592127811785,0.32376617045510275,35.0,4.849717130894902,0.7599571719882081,0.07254441791398811,0.9194247167029725
44078,32,beneficial,3,2,2,1,0.894811011904762,0.00020559692378136363,2.149295476380946,0.0336183039947803,0.30620473348754756,0.30474998436781975,0.33754737790597633,0.0014547491197278162,-0.03134264441842877,-0.03279739353815658,0.001990847281225239,0.019580359895663552,0.017589512614438314,0.0,0.0,0.0,0.5979697795531314,0.29434875058791016,5.0,4.659891511747577,1.4496039094967015,0.09499252380003453,0.9245227827889538
44078,46,beneficial,3,1,1,2,0.6001651785714285,0.0017222331377536359,2.0327733074663508,0.018066823886125877,0.2200024156724256,0.2370589971822436,0.23876412350418383,-0.01705658150981801,-0.018761707831758234,-0.0017051263219402257,7.562870293838297e-05,0.0006090299929575715,0.0005334012900191885,0.0,0.0,0.0,0.7851815703324082,0.21904061884397133,3.0,4.830122287629284,1.2899147171630385,0.20723555862913887,0.9160600360059503
44078,47,beneficial,3,1,1,2,0.7179851190476191,0.012917071224366392,2.031648403980448,0.04031228156999769,0.2759999542679671,0.2883351834500217,0.3129234318462802,-0.012335229182054597,-0.0369234775783131,-0.024588248396258505,0.0026297709905624455,0.009149575817348304,0.006519804826785858,0.0,0.0,0.0,0.7108057958562283,0.23401559596339472,23.0,4.830122287629284,0.8852716130645549,0.0014425063662738108,0.923558637842768
