group,metric,count,mean,median,min,max,predicted_field,realized_field,slope,intercept,correlation,mean_absolute_residual
beneficial,predicted_loss_floor,50,0.11590519087049425,0.11094940426321728,0.0422385421399565,0.22936559322665204,,,,,,
beneficial,true_best_loss,50,0.0879735668496743,0.07286649165684511,0.025752734863193606,0.24032460482026619,,,,,,
beneficial,loss_floor_error,50,0.027931624020819952,0.03173357670696764,-0.11536909864508912,0.1267204709006049,,,,,,
beneficial,predicted_action_loss,50,0.11591506880789097,0.11094940426321728,0.0422385421399565,0.22936559322665204,,,,,,
beneficial,realized_expanded_action_loss,50,0.0879735668496743,0.07286649165684511,0.025752734863193606,0.24032460482026619,,,,,,
beneficial,expanded_action_loss_error,50,0.027941501958216666,0.03173357670696764,-0.11536909864508912,0.1267204709006049,,,,,,
beneficial,incremental_regret,50,0.0,0.0,0.0,0.0,,,,,,
harmful,predicted_loss_floor,15,0.14463963756270967,0.1546460782544883,0.09479039692721056,0.17871614991748752,,,,,,
harmful,true_best_loss,15,0.20305516113772878,0.19546205127649607,0.13747706907473997,0.30591838590462916,,,,,,
harmful,loss_floor_error,15,-0.05841552357501913,-0.05267278409646184,-0.15170087967548554,0.03196377830050379,,,,,,
harmful,predicted_action_loss,15,0.14463963756270967,0.1546460782544883,0.09479039692721056,0.17871614991748752,,,,,,
harmful,realized_expanded_action_loss,15,0.25863468264853334,0.23852454498372364,0.19339365391203633,0.3610112755145901,,,,,,
harmful,expanded_action_loss_error,15,-0.11399504508582366,-0.1317946357221644,-0.20219435588197945,-0.03353960499103337,,,,,,
harmful,incremental_regret,15,0.05557952151080452,0.05375802411073766,0.02014754911509309,0.08588736738313907,,,,,,
all_events,linear_calibration,,,,,,predicted_loss_floor,true_best_loss,1.1701777030008205,-0.028858291139626555,0.6414949313466876,0.046064784011424484
all_events,linear_calibration,,,,,,predicted_action_loss,realized_expanded_action_loss,1.3373320548625498,-0.03652487125311554,0.6100415345249028,0.05750201052690769
