model,feature,folds,mean_coefficient,mean_absolute_coefficient,positive_fraction,negative_fraction,dominant_sign_fraction
loss_floor_only,predicted_loss_floor,9,0.5727546627293578,0.5727546627293578,1.0,0.0,1.0
loss_ceiling_only,predicted_loss_ceiling,9,0.6665313065048464,0.6665313065048464,1.0,0.0,1.0
loss_spread_only,predicted_loss_spread,9,0.36713387956810123,0.36713387956810123,1.0,0.0,1.0
predicted_action_loss_only,predicted_action_loss,9,0.5725543915923881,0.5725543915923881,1.0,0.0,1.0
loss_surface_compact,predicted_loss_floor,9,0.2749699103939364,0.2749699103939364,1.0,0.0,1.0
loss_surface_compact,predicted_loss_ceiling,9,0.32674045326543083,0.32674045326543083,1.0,0.0,1.0
loss_surface_compact,predicted_loss_spread,9,0.25607017380430724,0.25607017380430724,1.0,0.0,1.0
risk_stack,predicted_risk,9,0.016763957444062796,0.13412717559276538,0.5555555555555556,0.4444444444444444,0.5555555555555556
risk_stack,safety_score,9,-0.25462491798293035,0.33361542209299677,0.1111111111111111,0.8888888888888888,0.8888888888888888
risk_stack,downside_score,9,-0.13762768061459885,0.23291194848447852,0.1111111111111111,0.8888888888888888,0.8888888888888888
transient_state,current_mismatch_indicator,9,0.20600224550629834,0.20600224550629834,1.0,0.0,1.0
transient_state,anchor_age,9,-0.5667390596782645,0.5667390596782645,0.0,1.0,1.0
transient_state,trigger_score,9,-0.02037909030538759,0.07053689017759698,0.3333333333333333,0.6666666666666666,0.6666666666666666
loss_plus_risk,predicted_loss_ceiling,9,0.6712882586032414,0.6712882586032414,1.0,0.0,1.0
loss_plus_risk,predicted_loss_spread,9,0.27035295226214023,0.27035295226214023,1.0,0.0,1.0
loss_plus_risk,predicted_risk,9,-0.017183838225263166,0.15510931582357568,0.3333333333333333,0.6666666666666666,0.6666666666666666
loss_plus_risk,safety_score,9,-0.23853268207787492,0.36330497814310325,0.1111111111111111,0.8888888888888888,0.8888888888888888
loss_plus_risk,downside_score,9,-0.4248831030351917,0.4795182132246684,0.1111111111111111,0.8888888888888888,0.8888888888888888
loss_plus_state,predicted_loss_ceiling,9,0.5016822447770906,0.5016822447770906,1.0,0.0,1.0
loss_plus_state,predicted_loss_spread,9,0.2131143021034802,0.2131143021034802,1.0,0.0,1.0
loss_plus_state,current_mismatch_indicator,9,0.21096430610607714,0.21096430610607714,1.0,0.0,1.0
loss_plus_state,anchor_age,9,-0.0975940915943356,0.11913122990241275,0.2222222222222222,0.7777777777777778,0.7777777777777778
loss_plus_state,trigger_score,9,-0.013472875368057328,0.07243326618794405,0.3333333333333333,0.6666666666666666,0.6666666666666666
compact_all_preaction,predicted_loss_ceiling,9,0.5105407748922463,0.5105407748922463,1.0,0.0,1.0
compact_all_preaction,predicted_loss_spread,9,0.31651112272914395,0.31651112272914395,1.0,0.0,1.0
compact_all_preaction,predicted_risk,9,0.03854863272793436,0.15301559960017377,0.5555555555555556,0.4444444444444444,0.5555555555555556
compact_all_preaction,safety_score,9,-0.1687490641150763,0.30833306587963255,0.1111111111111111,0.8888888888888888,0.8888888888888888
compact_all_preaction,downside_score,9,-0.4158133685408353,0.4766190948001764,0.1111111111111111,0.8888888888888888,0.8888888888888888
compact_all_preaction,current_mismatch_indicator,9,0.19958438418428492,0.2115378847772397,0.7777777777777778,0.2222222222222222,0.7777777777777778
compact_all_preaction,anchor_age,9,-0.1779168482435702,0.1779168482435702,0.0,1.0,1.0
compact_all_preaction,trigger_score,9,-0.05573324992830883,0.08383789147639728,0.1111111111111111,0.8888888888888888,0.8888888888888888
