model,features,feature_count,rows,unsafe_rows,safe_rows,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,safe_mean,unsafe_mean,standardized_difference_unsafe_minus_safe
context_plus_action_support,context_support_distance|action_support_distance,2,8598,1848,6750,0.482506734006734,0.3522727272727273,0.19938744257274119,0.6127407407407407,0.4644026775693442,0.4740723061348007,0.44651543352453493,,,
predicted_loss_only,predicted_action_loss,1,8598,1848,6750,0.4778670033670034,0.42803030303030304,0.1987936667504398,0.5277037037037037,0.4599042809042809,0.48519792470760414,0.484001769769934,,,
context_loss_action_support,context_support_distance|predicted_action_loss|action_support_distance,3,8598,1848,6750,0.47637109187109183,0.3457792207792208,0.19410692588092346,0.6069629629629629,0.46149775533108867,0.4670998752077648,0.4405425503290757,,,
action_support_only,action_support_distance,1,8598,1848,6750,0.4077967772967773,0.43885281385281383,0.16161817457154246,0.37674074074074076,0.39577938111271443,0.41771973668237244,0.41801152843297473,,,
context_plus_loss,context_support_distance|predicted_action_loss,2,8598,1848,6750,0.4033703703703704,0.4166666666666667,0.15756087579292,0.3900740740740741,0.370456228956229,0.4207065569210224,0.39445317480605613,,,
context_support_only,context_support_distance,1,8598,1848,6750,0.39815993265993266,0.4810606060606061,0.16131373616403558,0.31525925925925924,0.366529822029822,0.4114427806747973,0.41449794584386024,,,
diagnostic_context_support_distance,context_support_distance,1,8598,1848,6750,,,,,,,,5.102068461504039,5.037884351827902,-0.007313694853075207
diagnostic_action_support_distance,action_support_distance,1,8598,1848,6750,,,,,,,,5.580871439195391,5.5826945696719745,0.00021004847400650772
diagnostic_action_support_minus_context,action_support_minus_context,1,8598,1848,6750,,,,,,,,0.47880297769135244,0.5448102178440719,0.12281861881850024
diagnostic_predicted_action_loss,predicted_action_loss,1,8598,1848,6750,,,,,,,,0.1825239883083343,0.18276546574990868,0.003846010071154237
diagnostic_predicted_relative_loss,predicted_relative_loss,1,8598,1848,6750,,,,,,,,0.020115936967518518,0.019715342919424592,-0.013031970006555212
