record_type,metric,beneficial_count,harmful_count,beneficial_mean,harmful_mean,difference_harmful_minus_beneficial,beneficial_median,harmful_median,beneficial_min,beneficial_max,harmful_min,harmful_max,standardized_difference,generation_seed,test_index,harmful_value,percentile_vs_beneficial,z_vs_beneficial,metric_a,metric_b,correlation
group_comparison,calibration_probability_baseline_action,17,5,0.6277050362487405,0.5661025106720171,-0.06160252557672341,0.6315078880958932,0.5341272440475482,0.5049064907559684,0.7609403704218608,0.48396062744546225,0.6529962480553096,-0.7712487405360304,,,,,,,,
group_comparison,predicted_action_loss,17,5,0.14207126740910478,0.13802747135823507,-0.0040437960508697135,0.14018191537849137,0.13788336446865274,0.10323460534581053,0.19457324947730384,0.10681091701336692,0.18945303023305818,-0.1454610930231253,,,,,,,,
group_comparison,local_mean_error,17,5,0.01696991634234926,0.01434998121801454,-0.0026199351243347217,0.01331585271946297,0.015767719910186908,-0.027901586378726827,0.05005925151836588,-0.0075787938063074335,0.03148446184362353,-0.12226957183351789,,,,,,,,
group_comparison,local_error_std,17,5,0.06323110716666501,0.0882534238106229,0.02502231664395789,0.06594282834007281,0.08372114297260096,0.02977509329987723,0.10402073411576326,0.07471871297217172,0.10301203433861286,1.2735629996079971,,,,,,,,
group_comparison,local_underestimate_fraction,17,5,0.36974789915966383,0.3714285714285714,0.001680672268907557,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.014417246421833113,,,,,,,,
group_comparison,local_severe_underestimate_fraction,17,5,0.11764705882352941,0.3142857142857143,0.19663865546218487,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.8336170650386716,,,,,,,,
harmful_event_profile,predicted_action_loss,,,0.14207126740910478,,,,,0.10323460534581053,0.19457324947730384,,,,44096,22,0.18945303023305818,0.9411764705882353,1.789137688487576,,,
harmful_event_profile,local_mean_error,,,0.01696991634234926,,,,,-0.027901586378726827,0.05005925151836588,,,,44096,22,0.012202809707897179,0.47058823529411764,-0.20841131307227595,,,
harmful_event_profile,local_error_std,,,0.06323110716666501,,,,,0.02977509329987723,0.10402073411576326,,,,44096,22,0.09619748383158591,0.9411764705882353,1.5525053514556268,,,
harmful_event_profile,local_underestimate_fraction,,,0.36974789915966383,,,,,0.14285714285714285,0.5714285714285714,,,,44096,22,0.42857142857142855,0.6764705882352942,0.5178087050187166,,,
harmful_event_profile,local_severe_underestimate_fraction,,,0.11764705882352941,,,,,0.0,0.2857142857142857,,,,44096,22,0.2857142857142857,0.8823529411764706,1.4543050934011967,,,
harmful_event_profile,predicted_action_loss,,,0.14207126740910478,,,,,0.10323460534581053,0.19457324947730384,,,,44097,22,0.13788336446865274,0.4117647058823529,-0.15813542046398513,,,
harmful_event_profile,local_mean_error,,,0.01696991634234926,,,,,-0.027901586378726827,0.05005925151836588,,,,44097,22,-0.0075787938063074335,0.11764705882352941,-1.0732356770324885,,,
harmful_event_profile,local_error_std,,,0.06323110716666501,,,,,0.02977509329987723,0.10402073411576326,,,,44097,22,0.10301203433861286,0.9411764705882353,1.8734270662518313,,,
harmful_event_profile,local_underestimate_fraction,,,0.36974789915966383,,,,,0.14285714285714285,0.5714285714285714,,,,44097,22,0.5714285714285714,0.9411764705882353,1.775344131492742,,,
harmful_event_profile,local_severe_underestimate_fraction,,,0.11764705882352941,,,,,0.0,0.2857142857142857,,,,44097,22,0.42857142857142855,1.0,2.690464422792214,,,
harmful_event_profile,predicted_action_loss,,,0.14207126740910478,,,,,0.10323460534581053,0.19457324947730384,,,,44101,5,0.10681091701336692,0.11764705882352941,-1.331432560596924,,,
harmful_event_profile,local_mean_error,,,0.01696991634234926,,,,,-0.027901586378726827,0.05005925151836588,,,,44101,5,0.015767719910186908,0.6470588235294118,-0.05255836636567268,,,
harmful_event_profile,local_error_std,,,0.06323110716666501,,,,,0.02977509329987723,0.10402073411576326,,,,44101,5,0.08361774493814307,0.8235294117647058,0.960080161678364,,,
harmful_event_profile,local_underestimate_fraction,,,0.36974789915966383,,,,,0.14285714285714285,0.5714285714285714,,,,44101,5,0.2857142857142857,0.2647058823529412,-0.7397267214553089,,,
harmful_event_profile,local_severe_underestimate_fraction,,,0.11764705882352941,,,,,0.0,0.2857142857142857,,,,44101,5,0.2857142857142857,0.8823529411764706,1.4543050934011967,,,
harmful_event_profile,predicted_action_loss,,,0.14207126740910478,,,,,0.10323460534581053,0.19457324947730384,,,,44103,4,0.11359633335503082,0.11764705882352941,-1.0752149066852994,,,
harmful_event_profile,local_mean_error,,,0.01696991634234926,,,,,-0.027901586378726827,0.05005925151836588,,,,44103,4,0.019873708434672514,0.6470588235294118,0.1269497767212288,,,
harmful_event_profile,local_error_std,,,0.06323110716666501,,,,,0.02977509329987723,0.10402073411576326,,,,44103,4,0.08372114297260096,0.8235294117647058,0.9649495473393205,,,
harmful_event_profile,local_underestimate_fraction,,,0.36974789915966383,,,,,0.14285714285714285,0.5714285714285714,,,,44103,4,0.2857142857142857,0.2647058823529412,-0.7397267214553089,,,
harmful_event_profile,local_severe_underestimate_fraction,,,0.11764705882352941,,,,,0.0,0.2857142857142857,,,,44103,4,0.2857142857142857,0.8823529411764706,1.4543050934011967,,,
harmful_event_profile,predicted_action_loss,,,0.14207126740910478,,,,,0.10323460534581053,0.19457324947730384,,,,44108,38,0.14239371172106666,0.5882352941176471,0.012175513036796436,,,
harmful_event_profile,local_mean_error,,,0.01696991634234926,,,,,-0.027901586378726827,0.05005925151836588,,,,44108,38,0.03148446184362353,0.7058823529411765,0.6345558676422497,,,
harmful_event_profile,local_error_std,,,0.06323110716666501,,,,,0.02977509329987723,0.10402073411576326,,,,44108,38,0.07471871297217172,0.7647058823529411,0.540992711141332,,,
harmful_event_profile,local_underestimate_fraction,,,0.36974789915966383,,,,,0.14285714285714285,0.5714285714285714,,,,44108,38,0.2857142857142857,0.2647058823529412,-0.7397267214553089,,,
harmful_event_profile,local_severe_underestimate_fraction,,,0.11764705882352941,,,,,0.0,0.2857142857142857,,,,44108,38,0.2857142857142857,0.8823529411764706,1.4543050934011967,,,
correlation,,,,,,,,,,,,,,,,,,,calibration_probability_baseline_action,predicted_action_loss,-0.013675381646324718
correlation,,,,,,,,,,,,,,,,,,,calibration_probability_baseline_action,local_mean_error,-0.7807616902601615
correlation,,,,,,,,,,,,,,,,,,,calibration_probability_baseline_action,local_error_std,0.012503547530512672
correlation,,,,,,,,,,,,,,,,,,,calibration_probability_baseline_action,local_underestimate_fraction,0.793001617688057
correlation,,,,,,,,,,,,,,,,,,,calibration_probability_baseline_action,local_severe_underestimate_fraction,-0.02581603915448899
correlation,,,,,,,,,,,,,,,,,,,predicted_action_loss,local_mean_error,0.43466651943753054
correlation,,,,,,,,,,,,,,,,,,,predicted_action_loss,local_error_std,-0.2206024724539183
correlation,,,,,,,,,,,,,,,,,,,predicted_action_loss,local_underestimate_fraction,0.09336016546216612
correlation,,,,,,,,,,,,,,,,,,,predicted_action_loss,local_severe_underestimate_fraction,-0.3234985516911569
correlation,,,,,,,,,,,,,,,,,,,local_mean_error,local_error_std,-0.4729562917037792
correlation,,,,,,,,,,,,,,,,,,,local_mean_error,local_underestimate_fraction,-0.6499366772585918
correlation,,,,,,,,,,,,,,,,,,,local_mean_error,local_severe_underestimate_fraction,-0.5341846705190686
correlation,,,,,,,,,,,,,,,,,,,local_error_std,local_underestimate_fraction,0.08249429293106508
correlation,,,,,,,,,,,,,,,,,,,local_error_std,local_severe_underestimate_fraction,0.8840985266944539
correlation,,,,,,,,,,,,,,,,,,,local_underestimate_fraction,local_severe_underestimate_fraction,0.20509868909014345
