population,generation_seed,test_index,action,action2_indicator,harmful_target,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate,predicted_under_risk,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,late_state_source
population_001_010,44004,16,2,1,0,0.7708388900929074,0.3079486572197615,23.0,8.861221010077193,1.1352981109622844,0.21967958517753605,0.9228339308318991,0.029120521007991156,0.0,0.0005014103247409743,0.0005014103247409743,
population_001_010,44004,18,2,1,0,0.5957714759248279,0.43987163604373136,53.0,8.861221010077193,0.6360654692585265,0.12502268252673449,0.9156246840625821,0.042193925123077194,1.9888599299921284e-05,0.018021522469782704,0.018001633870482783,
population_001_010,44004,22,2,1,1,0.6721137580887373,0.4872073700686263,21.0,6.49123797439421,0.8457780606580698,0.2952545676721676,0.9206813980601712,0.04973717500750239,0.0,0.0326673008745776,0.0326673008745776,
population_001_010,44004,25,2,1,1,0.7041531827139099,0.43297047814575573,16.0,7.920617905254036,0.8047131602587925,0.3282792702227417,0.9168004065842508,0.042182616859069946,0.0,0.037723330710989225,0.037723330710989225,
population_001_010,44004,26,2,1,1,0.6858370133812849,0.5010939294133804,26.0,7.920617905254036,0.6780691664179239,0.542534396943952,0.9199061602788218,0.03829999542075395,0.00036195782101409454,0.005878066719198073,0.005516108898183978,
population_001_010,44004,27,2,1,0,0.5685481289144001,0.6453549793058344,46.0,7.920617905254036,0.5104616453561625,0.21879723107468446,0.9243018799850267,0.047808482597669025,0.00023269661180907902,0.019375576474870808,0.019142879863061728,
population_001_010,44004,36,1,0,0,0.7596223831448576,0.37121971587303715,10.0,5.622785264913806,1.0968505567749078,0.0738432048619085,0.9187538953088877,0.03197641157802774,0.0009834762892028822,0.001984938321059661,0.0010014620318567788,
population_001_010,44004,40,1,0,0,0.7894891370861197,0.36114630395165886,15.0,6.520510802879969,1.2701589126436537,0.12895660555512053,0.9253963027765264,0.033548414531423335,0.0005994924770428106,0.003317332586634764,0.002717840109591953,
population_001_010,44004,54,2,1,0,0.7166480834864812,0.45026607303887145,25.0,7.045171433748348,0.7211837165789058,0.2600189912063255,0.9209888033631027,0.035715217017265495,0.0,0.009604465579232628,0.009604465579232628,
population_001_010,44005,0,2,1,0,0.7969640540676497,0.3102192969868765,24.0,7.879384310189478,1.1588516836149225,0.31428929144583806,0.9243830131046038,0.015032631930135472,0.000139681987747588,0.0024292275547425314,0.0022895455669949432,
