test_index,outcome,primary_actions,expanded_actions,true_safe_actions,primary_action,expanded_action,true_responsive_action,primary_regret,expanded_regret,incremental_regret,selected_safety_mean,selected_safety_std,selected_downside_mean,selected_downside_std,selected_realized_regret,safety_lcb_k_0.00,downside_ucb_k_0.00,safety_lcb_k_0.25,downside_ucb_k_0.25,safety_lcb_k_0.50,downside_ucb_k_0.50,safety_lcb_k_0.75,downside_ucb_k_0.75,safety_lcb_k_1.00,downside_ucb_k_1.00,safety_lcb_k_1.25,downside_ucb_k_1.25,safety_lcb_k_1.50,downside_ucb_k_1.50,safety_lcb_k_2.00,downside_ucb_k_2.00
20,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.9646011904761905,0.16731061727112237,0.0,0.0,0.0,0.9646011904761905,0.0,0.92277353615841,0.0,0.8809458818406294,0.0,0.8391182275228488,0.0,0.7972905732050681,0.0,0.7554629188872876,0.0,0.713635264569507,0.0,0.6299799559339458,0.0
21,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.8840114087301587,0.30858042065481284,0.002023937603550473,0.004971988395813358,0.0,0.8840114087301587,0.002023937603550473,0.8068663035664555,0.0032669347025038125,0.7297211984027523,0.004509931801457152,0.6525760932390491,0.005752928900410492,0.5754309880753459,0.006995925999363831,0.49828588291164266,0.00823892309831717,0.42114077774793945,0.00948192019727051,0.26685056742053304,0.01196791439517719
22,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.9288958333333334,0.24967081713144476,0.002023937603550473,0.004971988395813358,0.0,0.9288958333333334,0.002023937603550473,0.8664781290504722,0.0032669347025038125,0.804060424767611,0.004509931801457152,0.7416427204847498,0.005752928900410492,0.6792250162018886,0.006995925999363831,0.6168073119190274,0.00823892309831717,0.5543896076361663,0.00948192019727051,0.42955419907044384,0.01196791439517719
23,beneficial,3,2|3,2|3,3,2,2,0.0,0.0,0.0,0.6562991071428571,0.4350958627192847,0.0024049294640973874,0.004409126594186143,0.0,0.6562991071428571,0.0024049294640973874,0.547525141463036,0.0035072111126439234,0.43875117578321476,0.004609492761190459,0.3299772101033936,0.0057117744097369945,0.22120324442357242,0.0068140560582835305,0.1124292787437512,0.007916337706830066,0.003655313063930077,0.009018619355376602,-0.21389261829571227,0.011223182652469674
24,beneficial,3,2|3,2|3,3,2,2,0.0,0.0,0.0,0.8479583333333334,0.3257418682082458,3.616255057010033e-05,0.00073668716321791,0.0,0.8479583333333334,3.616255057010033e-05,0.766522866281272,0.00022033434137457784,0.6850873992292105,0.0004045061321790553,0.603651932177149,0.0005886779229835328,0.5222164651250876,0.0007728497137880103,0.4407809980730261,0.0009570215045924878,0.35934553102096467,0.0011411932953969653,0.19647459691684177,0.0015095368770059203
25,neutral,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0.74875,0.3977303228598773,0.0,0.0,0.0,0.74875,0.0,0.6493174192850307,0.0,0.5498848385700614,0.0,0.450452257855092,0.0,0.3510196771401227,0.0,0.2515870964251534,0.0,0.152154515710184,0.0,-0.046710645719754584,0.0
26,neutral,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0.8177876984126984,0.3489567965129007,0.0,0.0,0.0,0.8177876984126984,0.0,0.7305484992844732,0.0,0.643309300156248,0.0,0.5560701010280229,0.0,0.4688309018997977,0.0,0.3815917027715725,0.0,0.2943525036433474,0.0,0.11987410538689702,0.0
27,beneficial,3,1|3,1|3,3,1,1,0.0,0.0,0.0,0.8090625,0.3495425923568225,0.0152948723103242,0.028950381746172826,0.0,0.8090625,0.0152948723103242,0.7216768519107943,0.022532467746867405,0.6342912038215888,0.029770063183410612,0.5469055557323832,0.037007658619953816,0.4595199076431775,0.04424525405649703,0.3721342595539719,0.05148284949304023,0.28474861146476627,0.058720444929583435,0.10997731528635502,0.07319563580266986
28,neutral,3,3,1|2|3,3,3,1,0.0,0.0,0.0,0.7070477092352092,0.40609477413556666,0.0006370362584078814,0.003562321668593334,0.0,0.7070477092352092,0.0006370362584078814,0.6055240157013175,0.001527616675556215,0.5040003221674259,0.0024181970927045484,0.40247662863353423,0.003308777509852882,0.30095293509964255,0.004199357927001215,0.19942924156575093,0.00508993834414955,0.09790554803185925,0.005980518761297883,-0.10514183903592411,0.00776167959559455
29,neutral,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0.8049404761904762,0.3626484907769668,0.0,0.0,0.0,0.8049404761904762,0.0,0.7142783534962345,0.0,0.6236162308019928,0.0,0.532954108107751,0.0,0.44229198541350934,0.0,0.35162986271926766,0.0,0.2609677400250259,0.0,0.07964349463654252,0.0
