context_index,best_persistence,second_persistence,worst_persistence,loss_k1,loss_k2,loss_k3,best_loss,second_loss,worst_loss,absolute_margin,relative_margin,total_spread,relative_spread,benefit_probability,release_probability,anchor_age,trigger_score,feature_distance,current_mismatch_indicator,current_parameter_estimate
10,1,2,3,0.055559774706257184,0.10999016232516834,0.1391236532742538,0.055559774706257184,0.10999016232516834,0.1391236532742538,0.054430387618911155,0.9796725761704986,0.08356387856799662,1.5040355906461507,0.6252618877605145,0.6030916561736255,37.0,43.20547395663327,0.4267775087859861,0.3502912366842782,0.9243981817436728
11,1,2,3,0.04635155191433949,0.07548504286342494,0.07548504286342494,0.04635155191433949,0.07548504286342494,0.07548504286342494,0.029133490949085454,0.6285332366497113,0.029133490949085454,0.6285332366497113,0.5114381974340356,0.5859365150115274,57.0,43.20547395663327,0.4704349725632166,2.5765500372386927,0.930258764408696
12,1,2,3,0.014035274453057849,0.05602719535456614,0.05602719535456614,0.014035274453057849,0.05602719535456614,0.05602719535456614,0.041991920901508294,2.991884557652357,0.041991920901508294,2.991884557652357,0.5677088821509696,0.703415391600524,18.0,4.824837588510818,0.17239550901975975,0.3265594523437239,0.915562256025254
13,1,2,3,0.13120537795318188,0.29308716202210605,0.29308716202210605,0.13120537795318188,0.29308716202210605,0.29308716202210605,0.16188178406892417,1.2338044872326406,0.16188178406892417,1.2338044872326406,0.5779498292366412,0.7380738148257673,10.0,4.7314311317682,0.5502250646169564,0.012941725982243614,0.9357142419438959
14,1,2,3,0.11549204053549804,0.191174380322431,0.191174380322431,0.11549204053549804,0.191174380322431,0.191174380322431,0.07568233978693296,0.6553035121326449,0.07568233978693296,0.6553035121326449,0.601409726048197,0.49503443838194333,20.0,4.7314311317682,0.478893378715995,0.08970295572404544,0.906773559344267
15,1,2,3,0.015622958709421236,0.09130529849635419,0.09130529849635419,0.015622958709421236,0.09130529849635419,0.09130529849635419,0.07568233978693295,4.844302618328584,0.07568233978693295,4.844302618328584,0.518380515367016,0.6033517062703495,40.0,4.7314311317682,0.3764784564070674,0.5216155475010691,0.9143344423535116
16,1,2,3,0.01278900814591171,0.0637342246745473,0.0637342246745473,0.01278900814591171,0.0637342246745473,0.0637342246745473,0.05094521652863559,3.9835158398063757,0.05094521652863559,3.9835158398063757,0.5704359994408043,0.7910174982321826,8.0,6.221028272183992,0.18875294490789235,0.7334118042895862,0.9269564640751793
17,1,2,3,0.013810951856734695,0.0633500660240653,0.0633500660240653,0.013810951856734695,0.0633500660240653,0.0633500660240653,0.0495391141673306,3.586944236547076,0.0495391141673306,3.586944236547076,0.6000161714364001,0.5309401373529098,14.0,4.526962151976332,0.2541362283728119,0.19000364522690233,0.9042649825170014
18,1,2,3,0.2464524283544331,0.2464524283544331,0.2464524283544331,0.2464524283544331,0.2464524283544331,0.2464524283544331,0.0,0.0,0.0,0.0,0.8760825055451813,0.42422078221700626,10.0,35.39273070909675,1.056091423740684,1.190455208818101,0.929041290934131
19,1,2,3,0.1765333598472752,0.1765333598472752,0.1765333598472752,0.1765333598472752,0.1765333598472752,0.1765333598472752,0.0,0.0,0.0,0.0,0.8007706488724793,0.3144381145081682,20.0,35.39273070909675,0.9884498176189633,0.05588410225876703,0.9203849442816084
20,1,2,3,0.11585274528480563,0.11585274528480563,0.11585274528480563,0.11585274528480563,0.11585274528480563,0.11585274528480563,0.0,0.0,0.0,0.0,0.7879126165861359,0.3280853722168767,30.0,35.39273070909675,1.0906953763764606,0.027265586248870356,0.9263117424857571
