beta,lambda,state_rmse_full,state_rmse_0_24,state_rmse_25_49,state_rmse_50_99,final_parameter_estimate,final_parameter_absolute_error,final_covariance,final_mismatch_indicator,final_effective_q
0.5,0.0,0.8824158339999706,1.6402030651408233,0.38282104937117534,0.37270146608006155,0.9278927859236121,0.007892785923612089,0.012638573658333811,0.20531393149869032,0.0025000000000000005
0.5,0.01,0.535188528959852,0.9369123171196088,0.20628627548020895,0.33566972510111026,0.9264363261659551,0.00643632616595502,0.025357996355868953,0.20122612836311488,0.00451226128363115
0.5,0.025,0.5013885575987357,0.865853375493911,0.2517475916974072,0.31022816199058956,0.92518462941004,0.005184629410039943,0.0382348415253164,0.2016296747466566,0.007540741868666416
0.5,0.05,0.46231428657428786,0.8028119012209828,0.20780254338782675,0.28917914214399343,0.923925092230899,0.0039250922308989855,0.05245642133265904,0.20249278274496296,0.012624639137248149
0.5,0.1,0.4137069787232695,0.7157162737328677,0.15290099676857755,0.2729334696207644,0.9226311422851704,0.0026311422851703625,0.07099221912619683,0.20092814376240292,0.02259281437624029
0.5,0.2,0.37267717832445063,0.6196394423796946,0.1710115667209657,0.26679123155617335,0.9215543216681641,0.0015543216681640493,0.09481098586129379,0.19441518130075028,0.04138303626015006
0.7,0.0,0.8824158339999706,1.6402030651408233,0.38282104937117534,0.37270146608006155,0.9278927859236121,0.007892785923612089,0.012638573658333811,0.29128185412412855,0.0025000000000000005
0.7,0.01,0.5473430565354812,0.9687586051630601,0.18644440382365748,0.3354720072940327,0.9264781654157535,0.006478165415753412,0.024531816532343344,0.28170516622082686,0.005317051662208269
0.7,0.025,0.5020379543012738,0.8731766750849275,0.23114763957317125,0.31008199967380723,0.9252301420379162,0.005230142037916163,0.03711205905453876,0.2763608037311004,0.009409020093277511
0.7,0.05,0.46315718198999145,0.8069404626681689,0.1978147819488831,0.2896331323131364,0.9239355083778005,0.003935508377800434,0.051337622809303395,0.27052041939953664,0.016026020969976833
0.7,0.1,0.41711414461135526,0.7208289556995615,0.1585333122164216,0.27496331035450955,0.9225602896992716,0.0025602896992715785,0.06993979766278825,0.2632672894809344,0.028826728948093447
0.7,0.2,0.37833601905784997,0.6256044109424075,0.18508241665887862,0.27103154181688877,0.9213739802591923,0.0013739802591922201,0.0937921311351789,0.25545342966843293,0.05359068593368659
0.9,0.0,0.8824158339999706,1.6402030651408233,0.38282104937117534,0.37270146608006155,0.9278927859236121,0.007892785923612089,0.012638573658333811,0.2963030284127324,0.0025000000000000005
0.9,0.01,0.6025792382056592,1.0998862435136534,0.14691762486813648,0.33246986036224335,0.926413123756382,0.006413123756381922,0.022113696933200828,0.2836610458214961,0.005336610458214961
0.9,0.025,0.5371460626021661,0.9640052495682903,0.18455234894050507,0.3088186195660505,0.9251780647590261,0.0051780647590260465,0.03265218531837739,0.2777081961572696,0.009442704903931742
0.9,0.05,0.4930918037328988,0.8772792652059637,0.18372494882218093,0.29084733250816147,0.9238824488633004,0.0038824488633003584,0.045373006141689404,0.27143301380866935,0.016071650690433467
0.9,0.1,0.4512676513774822,0.7899146719696634,0.18528857487717443,0.2795290036347215,0.9224485389263842,0.0024485389263841917,0.06288905765580964,0.2649557619656178,0.028995576196561783
0.9,0.2,0.4157580034870887,0.6966623345604771,0.22304528955571742,0.2795811691316424,0.9211555149103537,0.0011555149103537055,0.08605222901505999,0.2613930168009206,0.05477860336018412
0.95,0.0,0.8824158339999706,1.6402030651408233,0.38282104937117534,0.37270146608006155,0.9278927859236121,0.007892785923612089,0.012638573658333811,0.34092423699051977,0.0025000000000000005
0.95,0.01,0.6446940668083267,1.2001393132310723,0.12123081973913112,0.32209507625394096,0.9261449736200935,0.006144973620093475,0.022314936296119595,0.28866109579296695,0.00538661095792967
0.95,0.025,0.5748548182368699,1.0540189249152114,0.17351845610875674,0.3006390689105418,0.9248698074264343,0.0048698074264342806,0.032422694466306856,0.2767603067143473,0.009419007667858683
0.95,0.05,0.5286580849884889,0.9579173703684092,0.19090257071458483,0.28624115998212074,0.9235653489391293,0.003565348939129298,0.044774726537200854,0.26989737885235365,0.015994868942617684
0.95,0.1,0.487674612840301,0.8681414237645759,0.20374798332939928,0.2793951857754245,0.9221342041912599,0.0021342041912598697,0.06229954437333264,0.2665878986489497,0.029158789864894973
0.95,0.2,0.45260049776345895,0.7755795191652571,0.23657929470619937,0.2845131711104331,0.9208708874031512,0.0008708874031511105,0.08611063525717208,0.26969381798365283,0.05643876359673057
0.99,0.0,0.8824158339999706,1.6402030651408233,0.38282104937117534,0.37270146608006155,0.9278927859236121,0.007892785923612089,0.012638573658333811,0.5430501863423857,0.0025000000000000005
0.99,0.01,0.7538294089860592,1.435032070522408,0.12078223173807626,0.3155389995528494,0.9254500891577967,0.005450089157796656,0.02645676736479248,0.4375706363806829,0.00687570636380683
0.99,0.025,0.6833738655519336,1.2974597415900448,0.09532068019730854,0.29623601009784917,0.9240344423623177,0.004034442362317647,0.03787992370484892,0.38405450739462527,0.012101362684865632
0.99,0.05,0.6304266828209575,1.185398250613482,0.14569214309958486,0.2857936288059019,0.922813955568321,0.0028139555683209805,0.05038480634215691,0.3464877435689229,0.019824387178446146
0.99,0.1,0.5828030351271185,1.0793890680000915,0.18699499789159596,0.28159334301341393,0.921602633081294,0.001602633081293936,0.06721547431324956,0.31755036114048363,0.034255036114048364
0.99,0.2,0.5422298884435277,0.983096276271877,0.21444136508562536,0.28599791975336525,0.9205825416093878,0.0005825416093877545,0.08949544036166378,0.30089464878095,0.06267892975619001
