generation_seed,test_index,current_distance_k1,current_distance_k2,current_distance_k3,current_max_pairwise_difference,shared_distance_k1,shared_distance_k2,shared_distance_k3,shared_max_pairwise_difference
44000,0,2.286780037249999,2.286780037249999,2.286780037249999,0.0,2.286780037249998,2.286780037249998,2.286780037249998,0.0
44000,1,2.3302594566414387,2.3302594566414387,2.3302594566414387,0.0,2.3302594566414383,2.3302594566414383,2.3302594566414383,0.0
44000,2,2.630963795753651,2.630963795753651,2.630963795753651,0.0,2.6309637957536505,2.6309637957536505,2.6309637957536505,0.0
44000,3,2.4176762392259903,2.4176762392259903,2.4176762392259903,0.0,2.4176762392259903,2.4176762392259903,2.4176762392259903,0.0
44000,4,3.337153836053883,3.337153836053883,3.337153836053883,0.0,3.337153836053883,3.337153836053883,3.337153836053883,0.0
44000,5,2.394287005222311,2.394287005222311,2.394287005222311,0.0,2.3942870052223104,2.3942870052223104,2.3942870052223104,0.0
44000,6,1.914216234166171,1.914216234166171,1.914216234166171,0.0,1.914216234166171,1.914216234166171,1.914216234166171,0.0
44000,7,5.230596976870318,5.230596976870318,5.230596976870318,0.0,5.230596976870318,5.230596976870318,5.230596976870318,0.0
44000,8,2.459076712560999,2.459076712560999,2.459076712560999,0.0,2.459076712560999,2.459076712560999,2.459076712560999,0.0
44000,9,2.9304442646253137,2.9304442646253137,2.9304442646253137,0.0,2.9304442646253137,2.9304442646253137,2.9304442646253137,0.0
44000,10,1.8564885707493488,1.8564885707493488,1.8564885707493488,0.0,1.8564885707493484,1.8564885707493484,1.8564885707493484,0.0
44000,11,2.2246031799264525,2.2246031799264525,2.2246031799264525,0.0,2.224603179926452,2.224603179926452,2.224603179926452,0.0
44000,12,2.1617350968638416,2.1617350968638416,2.1617350968638416,0.0,2.161735096863841,2.161735096863841,2.161735096863841,0.0
44000,13,1.5512685364252374,1.5512685364252374,1.5512685364252374,0.0,1.5512685364252365,1.5512685364252365,1.5512685364252365,0.0
44000,14,1.6057072454505694,1.6057072454505694,1.6057072454505694,0.0,1.605707245450569,1.605707245450569,1.605707245450569,0.0
44000,15,2.14925549942442,2.14925549942442,2.14925549942442,0.0,2.1492554994244193,2.1492554994244193,2.1492554994244193,0.0
44000,16,2.2965800876411087,2.2965800876411087,2.2965800876411087,0.0,2.296580087641108,2.296580087641108,2.296580087641108,0.0
44000,17,2.411690393788684,2.411690393788684,2.411690393788684,0.0,2.411690393788684,2.411690393788684,2.411690393788684,0.0
44000,18,3.32435469248428,3.32435469248428,3.32435469248428,0.0,3.32435469248428,3.32435469248428,3.32435469248428,0.0
44000,19,1.9639524069829328,1.9639524069829328,1.9639524069829328,0.0,1.9639524069829328,1.9639524069829328,1.9639524069829328,0.0
44000,20,2.2671989606420686,2.2671989606420686,2.2671989606420686,0.0,2.2671989606420686,2.2671989606420686,2.2671989606420686,0.0
44000,21,1.8296315073179525,1.8296315073179525,1.8296315073179525,0.0,1.829631507317952,1.829631507317952,1.829631507317952,0.0
44000,22,1.933028782104835,1.933028782104835,1.933028782104835,0.0,1.933028782104835,1.933028782104835,1.933028782104835,0.0
44000,23,2.2108971444598815,2.2108971444598815,2.2108971444598815,0.0,2.2108971444598815,2.2108971444598815,2.2108971444598815,0.0
44000,24,3.122491408620216,3.122491408620216,3.122491408620216,0.0,3.1224914086202156,3.1224914086202156,3.1224914086202156,0.0
44000,25,1.300322722322292,1.300322722322292,1.300322722322292,0.0,1.3003227223222917,1.3003227223222917,1.3003227223222917,0.0
44000,26,2.180914742347288,2.180914742347288,2.180914742347288,0.0,2.180914742347288,2.180914742347288,2.180914742347288,0.0
44000,27,2.35123826392201,2.35123826392201,2.35123826392201,0.0,2.3512382639220095,2.3512382639220095,2.3512382639220095,0.0
44000,28,3.6547725628088457,3.6547725628088457,3.6547725628088457,0.0,3.6547725628088443,3.6547725628088443,3.6547725628088443,0.0
44000,29,1.4698216716611765,1.4698216716611765,1.4698216716611765,0.0,1.469821671661176,1.469821671661176,1.469821671661176,0.0
44000,30,2.587027798642436,2.587027798642436,2.587027798642436,0.0,2.5870277986424357,2.5870277986424357,2.5870277986424357,0.0
44000,31,2.048313693668767,2.048313693668767,2.048313693668767,0.0,2.0483136936687667,2.0483136936687667,2.0483136936687667,0.0
44000,32,2.700623419957595,2.700623419957595,2.700623419957595,0.0,2.7006234199575947,2.7006234199575947,2.7006234199575947,0.0
44000,33,2.5366818958054447,2.5366818958054447,2.5366818958054447,0.0,2.5366818958054447,2.5366818958054447,2.5366818958054447,0.0
44000,34,4.3453411045750965,4.3453411045750965,4.3453411045750965,0.0,4.3453411045750965,4.3453411045750965,4.3453411045750965,0.0
44000,35,1.5781175257034126,1.5781175257034126,1.5781175257034126,0.0,1.5781175257034126,1.5781175257034126,1.5781175257034126,0.0
44000,36,3.940414062675365,3.940414062675365,3.940414062675365,0.0,3.9404140626753645,3.9404140626753645,3.9404140626753645,0.0
44000,37,1.7775405022317798,1.7775405022317798,1.7775405022317798,0.0,1.7775405022317794,1.7775405022317794,1.7775405022317794,0.0
44000,38,1.5558071916619867,1.5558071916619867,1.5558071916619867,0.0,1.5558071916619867,1.5558071916619867,1.5558071916619867,0.0
44000,39,2.3622980962663953,2.3622980962663953,2.3622980962663953,0.0,2.3622980962663944,2.3622980962663944,2.3622980962663944,0.0
44000,40,1.689828544964601,1.689828544964601,1.689828544964601,0.0,1.689828544964601,1.689828544964601,1.689828544964601,0.0
44000,41,4.9643351686051895,4.9643351686051895,4.9643351686051895,0.0,4.9643351686051895,4.9643351686051895,4.9643351686051895,0.0
44000,42,4.713616399320245,4.713616399320245,4.713616399320245,0.0,4.7136163993202445,4.7136163993202445,4.7136163993202445,0.0
44000,43,6.2371509820486155,6.2371509820486155,6.2371509820486155,0.0,6.237150982048615,6.237150982048615,6.237150982048615,0.0
44000,44,3.6667765516907442,3.6667765516907442,3.6667765516907442,0.0,3.6667765516907442,3.6667765516907442,3.6667765516907442,0.0
44000,45,3.202430338525912,3.202430338525912,3.202430338525912,0.0,3.202430338525912,3.202430338525912,3.202430338525912,0.0
44000,46,3.1347940836563195,3.1347940836563195,3.1347940836563195,0.0,3.1347940836563186,3.1347940836563186,3.1347940836563186,0.0
44000,47,1.96175390776667,1.96175390776667,1.96175390776667,0.0,1.9617539077666695,1.9617539077666695,1.9617539077666695,0.0
44000,48,2.537910138353109,2.537910138353109,2.537910138353109,0.0,2.537910138353109,2.537910138353109,2.537910138353109,0.0
44000,49,1.840314443249201,1.840314443249201,1.840314443249201,0.0,1.8403144432492007,1.8403144432492007,1.8403144432492007,0.0
44000,50,1.8403382926599163,1.8403382926599163,1.8403382926599163,0.0,1.8403382926599163,1.8403382926599163,1.8403382926599163,0.0
44000,51,1.9059361330394111,1.9059361330394111,1.9059361330394111,0.0,1.9059361330394107,1.9059361330394107,1.9059361330394107,0.0
44000,52,2.134404738344265,2.134404738344265,2.134404738344265,0.0,2.134404738344265,2.134404738344265,2.134404738344265,0.0
44000,53,1.8554495418290138,1.8554495418290138,1.8554495418290138,0.0,1.8554495418290133,1.8554495418290133,1.8554495418290133,0.0
44000,54,1.4084579721497383,1.4084579721497383,1.4084579721497383,0.0,1.4084579721497383,1.4084579721497383,1.4084579721497383,0.0
44000,55,5.010021190965499,5.010021190965499,5.010021190965499,0.0,5.010021190965498,5.010021190965498,5.010021190965498,0.0
44000,56,3.432262997014141,3.432262997014141,3.432262997014141,0.0,3.432262997014141,3.432262997014141,3.432262997014141,0.0
44000,57,2.601436875039647,2.601436875039647,2.601436875039647,0.0,2.6014368750396466,2.6014368750396466,2.6014368750396466,0.0
44000,58,3.2201799493333993,3.2201799493333993,3.2201799493333993,0.0,3.2201799493333993,3.2201799493333993,3.2201799493333993,0.0
44000,59,2.528054650230097,2.528054650230097,2.528054650230097,0.0,2.5280546502300965,2.5280546502300965,2.5280546502300965,0.0
44000,60,2.8471170694459818,2.8471170694459818,2.8471170694459818,0.0,2.8471170694459818,2.8471170694459818,2.8471170694459818,0.0
44000,61,2.406410024618552,2.406410024618552,2.406410024618552,0.0,2.4064100246185514,2.4064100246185514,2.4064100246185514,0.0
44000,62,7.761045165956389,7.761045165956389,7.761045165956389,0.0,7.761045165956389,7.761045165956389,7.761045165956389,0.0
44000,63,2.966550728565929,2.966550728565929,2.966550728565929,0.0,2.9665507285659283,2.9665507285659283,2.9665507285659283,0.0
44000,64,2.0129186602562696,2.0129186602562696,2.0129186602562696,0.0,2.012918660256269,2.012918660256269,2.012918660256269,0.0
44000,65,1.7095637367327794,1.7095637367327794,1.7095637367327794,0.0,1.7095637367327794,1.7095637367327794,1.7095637367327794,0.0
44000,66,2.202656400095338,2.202656400095338,2.202656400095338,0.0,2.202656400095338,2.202656400095338,2.202656400095338,0.0
44000,67,2.699404146380945,2.699404146380945,2.699404146380945,0.0,2.699404146380944,2.699404146380944,2.699404146380944,0.0
44000,68,3.6384464929333986,3.6384464929333986,3.6384464929333986,0.0,3.6384464929333986,3.6384464929333986,3.6384464929333986,0.0
44000,69,2.532141525705946,2.532141525705946,2.532141525705946,0.0,2.5321415257059448,2.5321415257059448,2.5321415257059448,0.0
44000,70,2.252335669093159,2.252335669093159,2.252335669093159,0.0,2.2523356690931586,2.2523356690931586,2.2523356690931586,0.0
44000,71,1.6108883164543637,1.6108883164543637,1.6108883164543637,0.0,1.6108883164543635,1.6108883164543635,1.6108883164543635,0.0
44000,72,2.1732534718631684,2.1732534718631684,2.1732534718631684,0.0,2.173253471863168,2.173253471863168,2.173253471863168,0.0
44000,73,7.662269101649455,7.662269101649455,7.662269101649455,0.0,7.662269101649454,7.662269101649454,7.662269101649454,0.0
44000,74,8.48303135587498,8.48303135587498,8.48303135587498,0.0,8.483031355874976,8.483031355874976,8.483031355874976,0.0
44011,0,1.9752698153068269,1.9752698153068269,1.9752698153068269,0.0,1.9752698153068267,1.9752698153068267,1.9752698153068267,0.0
