metric,block_086_mean,block_089_mean,difference_089_minus_086,standardized_difference,block_086_median,block_089_median,block_086_min,block_086_max,block_089_min,block_089_max
predicted_loss_k3,0.18321927717764278,0.3631387807152166,0.17991950353757383,1.5036845026234473,0.17714203343299262,0.3264991380248985,0.036485181320718436,0.46352956934207623,0.07764881242249597,0.7236424144724768
predicted_loss_k2,0.16962209327942362,0.2948181167094954,0.1251960234300718,1.3490309774729152,0.16357567126025646,0.2806924236729101,0.03780598026674474,0.38305846622952533,0.06931127903728881,0.6229409382770276
predicted_loss_spread,0.03753320132411934,0.13198644801519557,0.09445324669107624,1.229093030965699,0.026559430353047364,0.10120782281792673,0.0005683165571258864,0.19098838109204658,0.0016501277424063876,0.4521227303628294
support_action,2.162210338680927,1.353557639271925,-0.8086526994090018,-1.057499457192583,2.0,1.0,1.0,3.0,1.0,3.0
primary_action,2.2465834818775994,1.407611693325979,-0.8389717885516204,-1.0543208150107877,3.0,1.0,1.0,3.0,1.0,3.0
support_over,0.5929887106357694,0.19415333701047988,-0.39883537362528954,-0.8975861033326178,1.0,0.0,0.0,1.0,0.0,1.0
predicted_loss_k1,0.16216269174080256,0.24071492991971705,0.07855223817891449,0.8862075983807481,0.15548521296930093,0.2322161707824869,0.033610085852343645,0.39194919240925014,0.04816432263877637,0.5222548797149736
predicted_risk,0.02192613686100855,0.012216017471665772,-0.00971011938934278,-0.6977742860091004,0.019688208733497792,0.006028114162335992,5.7831264430607316e-05,0.06924100858555905,0.0,0.06862082009485497
true_responsive_action,1.8758169934640523,1.353557639271925,-0.5222593541921272,-0.6963386655554089,2.0,1.0,1.0,3.0,1.0,3.0
support_distance_k1,4.987767891796373,2.8031310483945546,-2.184636843401818,-0.6215729040339544,2.8067323938111826,2.1105259772733196,1.2248528740864049,16.306214874885857,0.7976891126897847,15.794031350468941
support_distance_k2,4.987767891796373,2.8031310483945546,-2.184636843401818,-0.6215729040339544,2.8067323938111826,2.1105259772733196,1.2248528740864049,16.306214874885857,0.7976891126897847,15.794031350468941
support_distance_k3,4.987767891796373,2.8031310483945546,-2.184636843401818,-0.6215729040339544,2.8067323938111826,2.1105259772733196,1.2248528740864049,16.306214874885857,0.7976891126897847,15.794031350468941
support_distance_selected,4.987767891796373,2.8031310483945546,-2.184636843401818,-0.6215729040339544,2.8067323938111826,2.1105259772733196,1.2248528740864049,16.306214874885857,0.7976891126897847,15.794031350468941
context_release_probability,0.40734757449322173,0.31850134958854864,-0.08884622490467309,-0.5243155150117831,0.36227451728251875,0.24834525914557634,0.1581610699848411,0.8023436788680115,0.11873478680615891,0.8289657584739252
true_safe_action_count,1.3416518122400476,1.1202426916712631,-0.22140912056878448,-0.5221082264314841,1.0,1.0,1.0,3.0,1.0,3.0
support_under,0.11170528817587641,0.314396028681743,0.20269074050586658,0.5072926489679248,0.0,0.0,0.0,1.0,0.0,1.0
support_regret,0.00636602837811475,0.017392694401364164,0.011026666023249414,0.4245234309860271,0.0,0.0,0.0,0.13030804171026622,0.0,0.13390697195996432
primary_regret,0.0061894586653285346,0.017026273600782887,0.010836814935454353,0.4205153827995428,0.0,0.0,0.0,0.13030804171026622,0.0,0.13390697195996432
safety_score_selected,0.7732029892373748,0.8521853136751468,0.07898232443777198,0.4173553570744217,0.8166091269841269,0.9352202380952381,0.017520833333333333,1.0,0.022166125541125545,1.0
context_current_parameter_estimate,0.9079856162150021,0.9164958000179868,0.008510183802984739,0.41734579570007174,0.918033308100588,0.9198767453100716,0.8428234352891023,0.930979342712172,0.8521765389557038,0.9319247193681006
downside_score_selected,0.004559732078100398,0.0016916304132326813,-0.002868101664867717,-0.40837824317722027,0.00018669648764780357,1.632750615581116e-05,0.0,0.07343337688222339,0.0,0.050003785837444255
context_benefit_probability,0.6728354258524368,0.709417588544713,0.03658216269227621,0.3981153993503387,0.6837600554394434,0.7245812694700596,0.4125257062618551,0.8670516017123668,0.43551303643376343,0.866422503434535
context_current_mismatch_indicator,0.5637763049381043,0.39604218399592067,-0.1677341209421836,-0.28589661456437004,0.3327439467095681,0.22902689492017847,0.0006321828969838392,3.6424014643471407,0.0006321828969838392,2.9238964899897875
true_loss_spread,0.018031453945511613,0.025999710331623974,0.00796825638611236,0.24737409606968364,0.0,0.001038981621510282,0.0,0.13030804171026622,0.0,0.13390697195996432
true_loss_k1,0.12291637535738621,0.1456800685933191,0.0227636932359329,0.23147686976002113,0.0921621878331051,0.12332201227901074,0.018198572950966885,0.48386797047888297,0.01726065736363705,0.4796997692536912
context_feature_distance,0.7958019366540567,0.8561251763364954,0.06032323968243869,0.21751637758737538,0.8486339718433835,0.8748619811133934,0.1435211493514272,1.535201204366009,0.27355526153248105,1.6045629279777516
context_trigger_score,9.63092708527664,8.542633737512462,-1.0882933477641785,-0.1561917251197699,7.776869571928644,6.26960627941081,4.560355657254428,35.526543359041824,4.5195816768491,63.90246998285716
true_best_loss,0.10853679745416121,0.12128322902482323,0.01274643157066202,0.1496024219061083,0.08033911514043299,0.10523257143376102,0.01664060543287571,0.44570441433880054,0.01726065736363705,0.4786607876321809
true_loss_k2,0.11245248496914546,0.12501089622645106,0.012558411257305599,0.143955133550986,0.08819260879514224,0.10629545219343557,0.01664060543287571,0.4734614345351851,0.024205626053889293,0.48849897115039176
true_loss_k3,0.11214307318666748,0.1229706950921541,0.010827621905486612,0.1273919662404758,0.0889850228732271,0.10629545219343557,0.01664060543287571,0.5057058280265871,0.024205626053889293,0.48912539006433875
support_safe_action_count,1.1847890671420083,1.1367898510755654,-0.04799921606644286,-0.12543752484374157,1.0,1.0,1.0,3.0,1.0,3.0
primary_safe_action_count,1.0909090909090908,1.0601213458356316,-0.03078774507345927,-0.11384444819152993,1.0,1.0,1.0,3.0,1.0,3.0
true_best_action,1.404040404040404,1.4704908990623275,0.06645049502192357,0.111955153179047,1.0,1.0,1.0,3.0,1.0,3.0
context_anchor_age,24.58407605466429,23.841147269718697,-0.7429287849455939,-0.05107522578285259,22.0,21.0,1.0,56.0,2.0,57.0
