condition,true_class,run_index,seed,evidence_time,predicted_condition,condition_correct,target_p_fail_A,target_p_fail_C,target_p_fail_S,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,marginal_mae
measurement_noise_0.850,measurement_noise,131,41131,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.23822954916992778,0.6296742890255937,0.07863666173302614,0.06906397395912008
measurement_noise_0.850,measurement_noise,132,41132,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2361628303956608,0.6738079158727655,0.06902572548416458,0.050460213335686656
measurement_noise_0.850,measurement_noise,133,41133,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2484175037782179,0.6137457880776702,0.0756348282291026,0.0767688479765501
measurement_noise_0.850,measurement_noise,134,41134,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22267180933233707,0.6829100818897327,0.0694368220840324,0.043066183175545614
measurement_noise_0.850,measurement_noise,135,41135,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22293032871708351,0.7197267671475925,0.06316364837332775,0.02878906998093959
measurement_noise_0.850,measurement_noise,136,41136,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.20227215703279328,0.7425986712206956,0.054792418663348795,0.02677891769438747
measurement_noise_0.850,measurement_noise,137,41137,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2380498176945971,0.6495788696076498,0.0657292554731449,0.058066734520030756
measurement_noise_0.850,measurement_noise,138,41138,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2223608779211479,0.6934182657030786,0.06730713206141484,0.03874991475982805
measurement_noise_0.850,measurement_noise,139,41139,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.19116054835356924,0.7416495798463206,0.05012128583959893,0.032356195320170415
measurement_noise_0.850,measurement_noise,140,41140,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.20260137387585045,0.6953372955561201,0.05604486298389699,0.04200548919471083
measurement_noise_0.850,measurement_noise,141,41141,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.1909749680065888,0.7316846298558543,0.05114973038294871,0.035396890584869424
measurement_noise_0.850,measurement_noise,142,41142,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.18900695179993016,0.7287318205312638,0.05078491524022742,0.03715877080952621
