model,feature,folds,mean_coefficient,mean_absolute_coefficient,positive_fraction,negative_fraction,dominant_sign_fraction
action_support_only,action_support_distance,40,0.3560820185223143,0.3560820185223143,1.0,0.0,1.0
context_loss_action_support,action_support_distance,40,0.696313562436105,0.696313562436105,1.0,0.0,1.0
context_loss_action_support,context_support_distance,40,-0.3113049774841193,0.3113049774841193,0.0,1.0,1.0
context_loss_action_support,predicted_action_loss,40,-0.19320834988764432,0.19320834988764432,0.0,1.0,1.0
context_plus_action_support,action_support_distance,40,0.3930966579769021,0.3930966579769021,1.0,0.0,1.0
context_plus_action_support,context_support_distance,40,-0.03740943932795448,0.040355743667650885,0.125,0.875,0.875
context_plus_loss,context_support_distance,40,0.37515227599981343,0.37515227599981343,1.0,0.0,1.0
context_plus_loss,predicted_action_loss,40,-0.17000279435418542,0.17000279435418542,0.0,1.0,1.0
context_support_only,context_support_distance,40,0.3518378328280245,0.3518378328280245,1.0,0.0,1.0
predicted_loss_only,predicted_action_loss,40,-0.1112466809337072,0.1112466809337072,0.0,1.0,1.0
