step,true_state,measurement,filtered_estimate,measurement_error,estimation_error,estimate_covariance
0,0.9927954835211036,0.906343683355344,0.9276505166988366,-0.0864518001657596,-0.065144966822267,0.1931249431249431
1,1.9078060517610322,2.2587979143104637,2.015169613905094,0.3509918625494315,0.10736356214406184,0.09974551163905257
2,2.748802153431005,2.0001254462605265,2.633672681953603,-0.7486767071704787,-0.11512947147740205,0.06449855604196479
3,3.545513898359911,3.411845159111327,3.4209089930696854,-0.13366873924858425,-0.12460490529022561,0.04647764865176083
4,4.251024852283858,4.308967245634285,4.1704224072648435,0.0579423933504275,-0.08060244501901437,0.03584058970361271
5,4.922557750946485,5.504337094246056,4.914286925267916,0.581779343299571,-0.008270825678568627,0.029023476555239458
6,5.5615849562107,5.616838544932616,5.530492009676909,0.0552535887219161,-0.03109294653379102,0.02442154782225886
7,6.079742079596603,5.5724108958527445,6.044315755127722,-0.5073311837438581,-0.03542632446888039,0.021205077709636297
8,6.605679822989435,7.261220236591459,6.61372996171432,0.655540413602024,0.008050138724884803,0.01890195107186765
9,7.07930828034545,7.026146633460058,7.0806021584020185,-0.05316164688539171,0.0012938780565683317,0.01722412202772073
10,7.539552428937858,6.8127797799335195,7.469304185659334,-0.7267726490043387,-0.07024824327852386,0.015986402016168032
11,7.920774368765602,8.165955635062364,7.88948794411233,0.24518126629676207,-0.03128642465327225,0.015064877077171928
12,8.330782638533325,8.210467802205757,8.255577078196808,-0.12031483632756768,-0.07520556033651715,0.01437404290670861
13,8.683150020385057,8.807256745049264,8.606885634958346,0.12410672466420714,-0.0762643854267111,0.013853478905711133
14,9.027614359189435,8.47100325206535,8.894250997798693,-0.5566111071240858,-0.13336336139074234,0.01345969635212257
15,9.33381774483355,8.57655754897098,9.150800714536853,-0.7572601958625693,-0.18301703029669625,0.013160944519036582
16,9.456115054135923,9.152669690036172,9.404971644600797,-0.3034453640997512,-0.05114340953512553,0.01293378591002861
17,9.65383534748775,10.091841469015954,9.674995485560114,0.43800612152820406,0.021160138072364276,0.012760772006706127
18,9.914741814669375,9.305204444021527,9.870899259171573,-0.609537370647848,-0.04384255549780214,0.01262882755930028
19,10.163930540663227,9.662829128542052,10.060260372694785,-0.5011014121211748,-0.10367016796844197,0.012528104954448279
20,10.346503905093355,10.199554016115089,10.252656184637468,-0.14694988897826633,-0.09384772045588718,0.012451158658136943
21,10.524504585558933,10.933822741330816,10.457296733564053,0.40931815577188324,-0.06720785199487977,0.012392342492669265
22,10.71446490825384,10.889407459188444,10.633983669357262,0.1749425509346043,-0.08048123889657788,0.012347364982412116
23,10.889805120483848,11.129051139308906,10.800295578651983,0.23924601882505847,-0.08950954183186433,0.01231295858610331
24,10.987271437584159,10.62858589067587,10.921150231651424,-0.3586855469082888,-0.06612120593273474,0.012286632037026601
25,11.084791308870626,11.334454509109017,11.061539954965273,0.24966320023839117,-0.023251353905353156,0.012266483960533314
26,11.185502225611108,12.353379336851383,11.234283124018672,1.1678771112402746,0.048780898407564166,0.012251062048290066
27,11.249697420452895,10.700260120501817,11.304439037753697,-0.5494372999510784,0.0547416173008024,0.012239256324968566
28,11.388145302590148,12.099070293261882,11.43427893805611,0.7109249906717334,0.04613363546596183,0.012230218060434554
29,11.5023783129249,11.920286985908737,11.53913058753166,0.4179086729838364,0.03675227460676034,0.01222329805167849
30,11.653505296763017,11.606491558754865,11.615535437136602,-0.04701373800815212,-0.03796985962641486,0.012217999580739793
31,11.650076926365028,11.384038652205671,11.671525752681186,-0.26603827415935655,0.021448826316158076,0.012213942519561715
32,11.765715560121656,11.043876357082512,11.7039099611428,-0.7218392030391438,-0.061805598978855514,0.012210835917397389
33,11.826134881351287,11.952753561022318,11.776639059923413,0.12661867967103113,-0.049495821427873565,0.01220845705269179
34,11.8642644826025,12.22608047578655,11.85362706810204,0.3618159931840488,-0.010637414500459741,0.012206635417041874
35,11.94416231107063,13.104866569520995,11.963899094771651,1.160704258450366,0.019736783701022276,0.012205240465357405
36,12.019627714573636,11.714925985252105,11.992539470647255,-0.30470172932153083,-0.02708824392638043,0.012204172243861784
37,12.029967617791044,11.614177067170042,12.012685480676213,-0.41579055062100245,-0.017282137114831286,0.01220335421824278
38,12.115183886358551,11.8317674689517,12.040936967972641,-0.2834164174068512,-0.07424691838591002,0.012202727784510774
39,12.142456136764837,12.517107446409675,12.099110899417013,0.37465130964483784,-0.043345237347823584,0.012202248067205006
40,12.13488649629108,11.98805751448222,12.124196474531523,-0.14682898180885928,-0.010690021759556245,0.012201880702707439
41,12.072031263307599,11.530791953788242,12.123831490347852,-0.5412393095193568,0.05180022704025333,0.012201599376516785
42,12.077881941633398,12.285762435891733,12.16035936922021,0.207880494258335,0.0824774275868112,0.012201383937650464
43,12.171326049924891,12.162092643343035,12.186289122406244,-0.00923340658185623,0.014963072481352313,0.012201218954862106
44,12.21068817989089,12.294672864164507,12.215450755946067,0.0839846842736165,0.004762576055176382,0.012201092611114265
45,12.2880701811723,12.734747780541403,12.262447487925714,0.446677599369103,-0.025622693246585726,0.012200995857036141
46,12.318709232448894,11.813237080726239,12.258601089682172,-0.505472151722655,-0.060108142766722494,0.012200921762682289
47,12.378381759570212,12.568905323548089,12.292114434632403,0.19052356397787662,-0.08626732493780942,0.012200865021132995
48,12.449458296290308,12.4345049999497,12.31488276748293,-0.01495329634060738,-0.13457552880737822,0.012200821568364929
49,12.551156678811276,12.371718508650366,12.331743165093728,-0.17943817016091046,-0.21941351371754791,0.01220078829215578
50,12.626717165219528,12.684276651523145,12.3617515059323,0.05755948630361729,-0.2649656592872276,0.01220076280916774
51,12.590766341539691,12.026542405143493,12.355912429699428,-0.5642239363961981,-0.23485391184026305,0.01220074329424044
52,12.575953506639575,13.287614019723167,12.41234663587758,0.7116605130835918,-0.16360687076199554,0.012200728349664784
53,12.610695950939146,12.955137883072148,12.445506455547605,0.34444193213300167,-0.16518949539154093,0.01220071690507353
54,12.483046646209456,12.838528748494475,12.468833785113999,0.35548210228501986,-0.01421286109545683,0.012200708140777831
55,12.51219553505869,12.237232392856027,12.459902604656506,-0.2749631422026635,-0.05229293040218508,0.012200701429058526
56,12.479850673944975,12.478695448038184,12.463870990216403,-0.0011552259067908466,-0.01597968372857217,0.012200696289207037
57,12.567706433186814,12.040156083475651,12.445941794450148,-0.5275503497111629,-0.12176463873666599,0.012200692353095718
58,12.540899666795054,13.221792041970346,12.487919027108793,0.6808923751752918,-0.0529806396862611,0.012200689338811589
59,12.515320153480062,12.333194415549592,12.481287351919747,-0.1821257379304697,-0.03403280156031485,0.01220068703046503
