model,train_prevalence,test_rows,test_unsafe,test_prevalence,mean_predicted_risk,absolute_mean_risk_error,roc_auc,brier_score,log_loss,ece_10_equal_width
primary_source_prior_corrected,0.208095419363025,8232,1084,0.1316812439261419,0.17983984715572918,0.04815860322958729,0.7595432211317077,0.12239730918111331,0.4045624562889971,0.07972908205608523
comparator_balanced_uncorrected,0.208095419363025,8232,1084,0.1316812439261419,0.3807214367751415,0.2490401928489996,0.7595432211317077,0.1873261872181023,0.5937227434187536,0.2606968102283012
