name,beta,lambda,runs,mean_state_rmse_full,std_state_rmse_full,mean_state_rmse_0_24,std_state_rmse_0_24,mean_state_rmse_25_49,std_state_rmse_25_49,mean_state_rmse_50_99,std_state_rmse_50_99,mean_parameter_absolute_error,std_parameter_absolute_error
control_no_inflation,0.5,0.0,50,0.9640928297346164,0.11915418259602621,1.7769336502107071,0.2231753541437211,0.5893838118945791,0.1537626929502676,0.30129463199687884,0.08791928957164162,0.0057247177714240104,0.004121317133739718
original_exp006,0.9,0.05,50,0.47868776198747653,0.04651654837235117,0.867454684063503,0.09795972603748175,0.21632762005330933,0.06765685008366049,0.23083506445215593,0.052074023297660275,0.003862541555186243,0.0031463258274364806
moderate_inflation,0.5,0.1,50,0.39235620427882884,0.040851792737689276,0.6672212019155167,0.08596554089516982,0.2271558867714142,0.07009497228494954,0.2332611862201616,0.04872207498643143,0.003343850701732647,0.0028376913061159393
strong_state_candidate,0.5,0.2,50,0.3678469775649667,0.03752438338011703,0.5828145674210559,0.07968374383263772,0.2577617095089854,0.06798910933454413,0.25062944216206523,0.04666716472326591,0.003007643806681315,0.0025616541533550826
high_memory_strong_inflation,0.9,0.2,50,0.4066645869122308,0.03968884072295465,0.6698828089122545,0.08692870031714175,0.26849118137494477,0.05801311757789835,0.257317871054371,0.043565579023888454,0.0032094820933779777,0.0024449405387184154
parameter_focused,0.99,0.2,50,0.5454829759449435,0.04880880157744682,0.9942696169358849,0.10405071848035541,0.24433749260444815,0.056729769229631244,0.25903517204006377,0.041095186790669605,0.0032424415981028697,0.002434524488714503
