step,true_state,measurement,state_estimate,state_covariance,parameter_estimate,parameter_error,innovation,innovation_covariance,nis,excess_nis,mismatch_indicator,dynamic_lambda,effective_q,parameter_update,consistency_gate_active
0,0.9927954835211036,0.906343683355344,0.9529388657656206,0.12562189054726366,0.5,0.42000000000000004,-0.09365631664465601,0.5025,0.017455732631729497,0.0,0.0,0.05,0.0025000000000000005,-0.0,True
1,1.9078060517610322,2.2587979143104637,1.5698991814314733,0.029856304214492244,0.5312568168608125,0.38874318313918754,0.7823284814276534,0.2839054726368159,2.1557803982026207,1.1557803982026207,0.5778901991013103,0.15470413825322862,0.09190200525695494,0.03125681686081246,False
2,2.748802153431005,2.0001254462605265,1.8815896851150822,0.07159599778010976,0.5372781898955185,0.3827218101044816,0.16610580434084676,0.3503284636124149,0.07875791179287409,0.0,0.2022615696854586,0.11708338157920271,0.026181468542291052,0.006021373034705926,True
3,3.545513898359911,3.411845159111327,2.2320295103310306,0.03945519635839097,0.5837224840325228,0.33627751596747724,1.4009080589666172,0.2968489315290249,6.611253001884981,5.611253001884981,2.9067572857852197,0.1881207211688839,0.549321276864823,0.04644429413700431,False
4,4.251024852283858,4.308967245634285,3.6919126151546293,0.1731019963121034,0.6436043442451237,0.27639565575487635,2.0060814354299605,0.8127649223985931,4.951447355405329,3.951447355405329,3.429102320595274,0.1898072962553723,0.6533686400552118,0.05988186021260091,False
5,4.922557750946485,5.504337094246056,4.958683564265624,0.18590217473972184,0.6865683002353112,0.2334316997646888,2.128206096559161,0.975072083119981,4.645052676453525,3.645052676453525,3.5370774985243996,0.19009790530703125,0.6748910233781222,0.04296395599018759,False
6,5.5615849562107,5.616838544932616,5.3174956732158325,0.18827287622075445,0.7053633602714913,0.21463663972850877,1.2123635988099917,1.0125208526403806,1.4516496049307104,0.4516496049307104,1.994363551727555,0.1832914770108724,0.368049841092793,0.018795060036180034,False
7,6.079742079596603,5.5724108958527445,5.283799778264596,0.1621848941304443,0.7173024931691045,0.2026975068308955,0.8216442795641097,0.7117226515998301,0.9485426951396273,0.0,0.6980272431046443,0.1604441747083204,0.11449440494384878,0.011939132897613244,True
8,6.605679822989435,7.261220236591459,5.882059458316123,0.110473082923389,0.7534232534481455,0.1665767465518545,2.4711374822359025,0.44794224160835355,13.632383572903288,12.632383572903288,6.665205408003966,0.1945771675912048,1.2993967897029923,0.036120760279041035,False
9,7.07930828034545,7.026146633460058,6.7788822158379345,0.21123084822830368,0.7744999006385443,0.1455000993614557,1.5944662594000887,1.6121064594874244,1.5770190841947576,0.5770190841947576,3.621112246099362,0.19031286162322314,0.6916442338140666,0.021076647190398767,False
10,7.539552428937858,6.8127797799335195,6.681143235381572,0.19149863161800207,0.7809972007704488,0.13900279922955128,0.5625361773266437,1.0683510784208,0.29620127427496423,0.0,1.2673892861347766,0.175286500080989,0.22465623220670813,0.00649730013190437,True
11,7.920774368765602,8.165955635062364,7.342571728686297,0.14432966056020544,0.8038114687894504,0.11618853121054962,1.9480014702829367,0.5914620917405988,6.415812240911548,5.415812240911548,3.3416007635231626,0.18955897315178916,0.6359304094166852,0.022814268019001716,False
12,8.330782638533325,8.210467802205757,7.876407786840185,0.1861713206160155,0.8178076261493545,0.1021923738506455,1.3084244362785311,0.9791836616892642,1.7483691491515847,0.7483691491515847,2.0449849563373736,0.18366002361085315,0.37808198536476156,0.013996157359904147,False
13,8.683150020385057,8.807256745049264,8.353536546409075,0.16695401667330265,0.8314605800812657,0.08853941991873437,1.3658703903092002,0.752595098478504,2.4788919392313757,1.4788919392313757,1.7619384477843747,0.18136125881917692,0.3220473748520808,0.013652953931911172,False
14,9.027614359189435,8.47100325206535,8.279951608967613,0.15908656423810794,0.8364208221361701,0.08357917786382996,0.5253669094580076,0.6874671436210089,0.40148884512453004,0.0,0.6166784567245311,0.1567313578536092,0.09915285188150395,0.004960242054904378,True
15,9.33381774483355,8.57655754897098,8.22308055401835,0.11426315563845177,0.8426206070039951,0.07737939299600494,0.6510336169505848,0.4604497790852217,0.9205016261313356,0.0,0.21583745985358588,0.11949981864535678,0.028292537309377988,0.006199784867825048,True
16,9.456115054135923,9.152669690036172,8.301485149922678,0.07610895418877993,0.8543524521733109,0.06564754782668913,1.2237325621664805,0.35942046186697485,4.1664889525983275,3.1664889525983275,1.6911632062259567,0.1806816861767599,0.3080622197010014,0.01173184516931582,False
17,9.65383534748775,10.091841469015954,9.277224173390216,0.14814468903290054,0.8733451874645938,0.046654812535406265,1.9994472744991878,0.6136155238894541,6.515137325995116,5.515137325995116,3.6031502661105366,0.1902677037202981,0.6880631272920328,0.018992735291282873,False
