generation_seed,test_index,primary_action,support_baseline_action,calibration_guard_action,support_changed_action,guard_changed_support_action,baseline_expansion_outcome,guarded_expansion_outcome,baseline_regret,guarded_regret,primary_regret,context_support_distance,calibration_probability_baseline_action,calibration_threshold,predicted_baseline_action_loss,realized_baseline_action_loss,baseline_action_loss_error,severe_underestimation,true_best_action,true_responsive_action,vetoed_actions
44091,17,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,2.938494997909608,nan,0.468010308717,0.16455082843090277,0.10826151542624532,0.05628931300465745,0,1,3,
44091,18,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,2.2087736904264865,nan,0.468010308717,0.1636666780042985,0.028168281692972922,0.13549839631132557,0,1,2,
44091,19,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.4958344407725195,nan,0.468010308717,0.12996025265424155,0.13870276763719025,-0.008742514982948701,0,2,2,
44091,20,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,2.3170731456514306,nan,0.468010308717,0.1217695151524917,0.08488011103018897,0.036889404122302724,0,2,2,
44091,21,1,1,1,0,0,neutral,neutral,0.09152322140010409,0.09152322140010409,0.09152322140010409,3.324459117030961,nan,0.468010308717,0.08954305148631976,0.13431451499261673,-0.044771463506296974,0,2,1,
44091,22,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,1.9694261579484327,nan,0.468010308717,0.14160510381176164,0.11890812667518647,0.022696977136575175,0,1,1,
44091,23,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.8054688048415606,nan,0.468010308717,0.16703024360551855,0.06420377368794228,0.10282646991757627,0,1,2,
44091,24,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.4856252685334397,nan,0.468010308717,0.10317760774010591,0.02540883021621543,0.07776877752389048,0,1,1,
44091,25,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.27879097242955,nan,0.468010308717,0.1667480670372957,0.17439875543174863,-0.007650688394452931,0,1,1,
44091,26,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.8311052035461186,nan,0.468010308717,0.1863104076702586,0.11919244528323876,0.06711796238701985,0,1,1,
44091,27,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.3667473281336573,nan,0.468010308717,0.1017525724848816,0.0428428878949276,0.058909684589954006,0,1,1,
44091,28,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,1.6995036002169779,nan,0.468010308717,0.13149548333404623,0.14229475166780975,-0.010799268333763518,0,1,3,
44091,29,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.7936199832693422,nan,0.468010308717,0.17678049609544805,0.08183340218697059,0.09494709390847746,0,1,2,
44091,30,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.34600225888909,nan,0.468010308717,0.09740875114229193,0.03576533978018749,0.06164341136210444,0,1,3,
44091,31,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,2.4673072642878657,nan,0.468010308717,0.20447570566636558,0.27050387200022347,-0.06602816633385789,0,2,2,
44091,32,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.2343992147105647,nan,0.468010308717,0.15384946676444108,0.1945497911278107,-0.04070032436336962,0,2,2,
44091,33,1,1,1,0,0,neutral,neutral,0.002597082419260252,0.002597082419260252,0.002597082419260252,3.2288452236729652,nan,0.468010308717,0.10787668581437582,0.10138996259477227,0.0064867232196035435,0,2,1,
44091,34,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.9480174339543492,nan,0.468010308717,0.15180862605274725,0.12352431457829191,0.028284311474455343,0,2,2,
44091,35,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,2.3340400935476815,nan,0.468010308717,0.1585203846241628,0.06396932723273528,0.09455105739142751,0,2,2,
44091,36,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.2507755027414347,nan,0.468010308717,0.0800834517555939,0.02613805289131683,0.05394539886427707,0,2,2,
44091,37,1,1,1,0,0,neutral,neutral,0.1613398005814084,0.1613398005814084,0.1613398005814084,3.2340574110229356,nan,0.468010308717,0.22619141031436077,0.390402701282641,-0.16421129096828022,0,3,1,
44091,38,1,1,1,0,0,neutral,neutral,0.16133980058140845,0.16133980058140845,0.16133980058140845,5.103431556310663,nan,0.468010308717,0.07801502418639705,0.3076075742462992,-0.22959255005990215,0,3,1,
44091,39,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.9483388702851763,nan,0.468010308717,0.1480168280373953,0.029526831195398232,0.11848999684199707,0,1,2,
44091,40,1,1,1,0,0,neutral,neutral,0.09605057576759064,0.09605057576759064,0.09605057576759064,2.27010650993601,nan,0.468010308717,0.21690106257143293,0.21553142801865327,0.0013696345527796638,0,2,1,
44091,41,1,1,1,0,0,neutral,neutral,0.09605057576759063,0.09605057576759063,0.09605057576759063,2.568217202885048,nan,0.468010308717,0.18337919460457577,0.1647714911175993,0.018607703486976462,0,2,1,
44091,42,1,1,1,0,0,neutral,neutral,0.09605057576759064,0.09605057576759064,0.09605057576759064,3.311627611419122,nan,0.468010308717,0.08552176624927678,0.12401510873767738,-0.0384933424884006,0,2,1,
44091,43,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.525901989360504,nan,0.468010308717,0.12886452171438267,0.028652478917069336,0.10021204279731334,0,1,2,
44091,44,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.926773182551043,nan,0.468010308717,0.1276182097998105,0.13394933246129295,-0.006331122661482447,0,1,2,
44091,45,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,2.137332476640101,nan,0.468010308717,0.13033369879550055,0.06978175909334998,0.06055193970215057,0,1,2,
44091,46,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,3.059960970011322,nan,0.468010308717,0.09552301116975745,0.028153295330067458,0.06736971583969,0,1,1,
44091,47,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.428936745550552,nan,0.468010308717,0.13827181879623038,0.13498833844374986,0.0032834803524805223,0,1,1,
44091,48,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,1.967433614946645,nan,0.468010308717,0.14130628832628334,0.0746170035429294,0.06668928478335394,0,1,1,
44091,49,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,3.228354970041127,nan,0.468010308717,0.0872720015860594,0.030925741206422126,0.056346260379637275,0,1,1,
44091,50,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.4802436791476916,nan,0.468010308717,0.16614715410124575,0.1285410015196422,0.03760615258160355,0,1,1,
44091,51,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.696635315136521,nan,0.468010308717,0.11463786712518424,0.06903480451360205,0.04560306261158219,0,1,1,
44091,52,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,2.6190320418613195,nan,0.468010308717,0.07705337199286935,0.028995422945867086,0.048057949047002266,0,1,3,
44091,53,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,27.098727989546838,nan,0.468010308717,0.08070911564005577,0.08451141257749374,-0.003802296937437971,0,1,1,
44091,54,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,27.053225524923487,nan,0.468010308717,0.07006794421885985,0.05677932266582386,0.013288621553035992,0,1,1,
44091,55,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,10.384455981441906,nan,0.468010308717,0.13903076847547843,0.11463438699130941,0.02439638148416902,0,1,1,
44091,56,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,14.47956003978589,nan,0.468010308717,0.1320125858667926,0.023695466050729436,0.10831711981606316,0,1,1,
44091,57,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,13.169724857807102,nan,0.468010308717,0.1470107118539663,0.05397449456224014,0.09303621729172616,0,1,1,
44091,58,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,12.171190848720064,nan,0.468010308717,0.1481169375288092,0.03313384808750816,0.11498308944130103,0,2,3,
44091,59,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,15.639650639088728,nan,0.468010308717,0.1345028135574201,0.020988137582807792,0.11351467597461232,0,1,1,
44092,0,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,5.027096490988296,nan,0.468010308717,0.18273037482157867,0.14745383059409461,0.03527654422748405,0,2,2,
44092,1,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.468959799666473,nan,0.468010308717,0.1008176221158998,0.0386079258055366,0.0622096963103632,0,2,3,
44092,2,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,2.296013328568671,nan,0.468010308717,0.19663156702463924,0.039244549564044294,0.15738701746059494,0,1,2,
44092,3,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,1.3351031196886907,nan,0.468010308717,0.1253942018468436,0.07413162379772677,0.05126257804911684,0,1,2,
44092,4,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,1.7421647016946042,nan,0.468010308717,0.18893606523710738,0.0302850967679144,0.15865096846919297,0,1,3,
