threshold,rows,harmful,beneficial,harmful_recall,harmful_precision,beneficial_specificity,balanced_accuracy,flagged,flagged_fraction,tp,fp,fn,tn,qualifies_recall_constraint,selected_threshold,transfer,training_block,test_block
0.011359877022961882,39,2,37,1.0,0.05128205128205128,0.0,0.5,39,1.0,2,37,0,0,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.011611793591302636,39,2,37,1.0,0.05263157894736842,0.02702702702702703,0.5135135135135135,38,0.9743589743589743,2,36,0,1,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.02061569674096261,39,2,37,1.0,0.05405405405405406,0.05405405405405406,0.527027027027027,37,0.9487179487179487,2,35,0,2,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.02363246586085142,39,2,37,1.0,0.05555555555555555,0.08108108108108109,0.5405405405405406,36,0.9230769230769231,2,34,0,3,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.02917649497815575,39,2,37,1.0,0.05714285714285714,0.10810810810810811,0.5540540540540541,35,0.8974358974358975,2,33,0,4,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.029942492843118194,39,2,37,1.0,0.058823529411764705,0.13513513513513514,0.5675675675675675,34,0.8717948717948718,2,32,0,5,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.03243298342916551,39,2,37,1.0,0.06060606060606061,0.16216216216216217,0.5810810810810811,33,0.8461538461538461,2,31,0,6,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.0365460001615142,39,2,37,1.0,0.0625,0.1891891891891892,0.5945945945945946,32,0.8205128205128205,2,30,0,7,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.037574882439739124,39,2,37,1.0,0.06451612903225806,0.21621621621621623,0.6081081081081081,31,0.7948717948717948,2,29,0,8,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.03945440261435279,39,2,37,1.0,0.06666666666666667,0.24324324324324326,0.6216216216216216,30,0.7692307692307693,2,28,0,9,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.043646375637628715,39,2,37,1.0,0.06896551724137931,0.2702702702702703,0.6351351351351351,29,0.7435897435897436,2,27,0,10,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.04374524408970177,39,2,37,1.0,0.07142857142857142,0.2972972972972973,0.6486486486486487,28,0.717948717948718,2,26,0,11,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.044795799918410005,39,2,37,1.0,0.07407407407407407,0.32432432432432434,0.6621621621621622,27,0.6923076923076923,2,25,0,12,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.04626687918878823,39,2,37,1.0,0.07692307692307693,0.35135135135135137,0.6756756756756757,26,0.6666666666666666,2,24,0,13,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
