regime,seed,mean_innovation,std_innovation,mean_absolute_innovation,mean_nis,std_nis,fraction_nis_above_1,fraction_nis_above_3,max_nis,longest_nis_run_above_1,innovation_lag1_autocorrelation
measurement_noise,0,0.13483057010236482,1.2830127499220252,0.9999706745604586,1.2826603168083988,1.9741694578653513,0.35,0.15,11.56670553819964,4,0.12961189257796357
measurement_noise,1,0.24671714287152868,1.236396745504735,0.9960647077813585,1.2088089382389098,1.5903054570376733,0.37,0.13,9.08286631186269,5,0.10233856627768653
measurement_noise,2,0.16111051773038088,1.1338507462270906,0.8760096351679781,1.0367580062174573,1.6434651751655878,0.29,0.09,10.040967592939205,3,0.18196418889247443
measurement_noise,3,0.18754878605235503,1.2107537472635268,1.0222694155143737,1.1966340260955304,1.4039870539644022,0.37,0.1,6.676391982595185,3,0.1877442749634691
measurement_noise,4,0.1692989674638486,1.2536455722503745,0.9368284863543542,1.2108852751408796,2.005054552462432,0.33,0.12,11.291571478444556,4,0.0943567533334382
measurement_noise,5,0.2146683241510308,1.5240913405084229,1.2316399058310128,1.689478137287811,2.1650691593442577,0.45,0.22,10.93758335692851,7,0.023932439503314532
measurement_noise,6,0.14724014849835357,1.3181743002505595,1.054289552760426,1.328331827664199,1.6894760204206027,0.4,0.14,7.716564167599539,5,0.1315946097387035
measurement_noise,7,0.1584910615752626,1.2358576880622159,0.9939631768753232,1.2185958843493458,1.708952717939622,0.34,0.13,9.897370999168748,5,0.3018903177358148
measurement_noise,8,0.24596562140734218,1.2834669690025076,1.0017984765484613,1.3207254257787147,2.1952939144023196,0.34,0.11,11.980723547239721,3,0.12603132667796227
measurement_noise,9,0.16318308832613762,1.2258287520661983,0.9787870174159435,1.210268491607679,1.800924590330495,0.37,0.11,12.48830009482987,6,0.1501634292528098
measurement_noise,10,0.16385623578071742,1.2687806712972565,0.9558741831781754,1.2640730412888261,2.3806016787390325,0.34,0.12,19.730048900257934,4,0.20090610899116107
measurement_noise,11,0.2081071019424007,1.2317470242841488,0.9603781716906618,1.1868892339458574,1.7818264999557243,0.31,0.12,9.626415013556072,3,0.09565640639374036
measurement_noise,12,0.18884226517624758,1.2888524388158,1.028660957233264,1.3357028542430658,2.0629789857733036,0.36,0.14,11.251018716346547,3,0.19212845793741462
measurement_noise,13,0.22711156590438752,1.3089465407609728,1.0279877200288898,1.3451660698326033,2.0361667585820458,0.4,0.12,10.350857658294043,7,0.1386052212035251
measurement_noise,14,0.19535984420160812,1.2725595544291841,1.0072224457007881,1.2880051473057703,1.9553387082080678,0.35,0.14,11.381791532900275,5,0.23724527709619248
measurement_noise,15,0.20807368925511985,1.3736842686824706,1.0702747148684049,1.4479196270941046,2.4660204228362272,0.41,0.1,15.28968651032454,4,0.12558836179631172
measurement_noise,16,0.18530150611125631,1.2241134387902648,0.9504928187901179,1.2167388871790092,2.10849559809878,0.33,0.11,16.828826089352184,4,0.04550035143628499
measurement_noise,17,0.18526363568327306,1.1636648856815632,0.9263968263690635,1.0824379625846086,1.8147436860335058,0.34,0.06,14.904867292839416,4,0.2019885662414388
measurement_noise,18,0.18650509614109645,1.2412310402150424,1.0297352936827338,1.2412293565186108,1.8193550737634847,0.39,0.08,10.710219217813378,4,-0.006143005669447297
measurement_noise,19,0.16480316226760502,1.2186602700591762,0.9818379785947835,1.1881855038858695,1.6960422559426123,0.38,0.08,10.08850471700697,9,0.11477345511402033
measurement_noise,20,0.16812895979461376,1.2182036001224614,0.9621067108444089,1.1798619211030794,1.7046357597255493,0.35,0.13,10.933353390295341,4,0.2792464146785677
measurement_noise,21,0.22137149033733128,1.3184992858562439,1.0655753928423028,1.3946616042557671,1.855756236461039,0.41,0.13,7.967122555020234,6,0.19973316475143094
measurement_noise,22,0.15087339384057336,1.1179049624913955,0.8916891827828379,1.0291871438720843,1.5169940693586552,0.31,0.09,10.337902977727655,3,0.16206425351131676
measurement_noise,23,0.17358294105161048,1.2779850409774196,1.02625015440432,1.2982191691500449,1.7919306664373167,0.41,0.12,9.41416596694635,4,0.3123836219362898
measurement_noise,24,0.17156025615291048,1.3384581697384454,1.0836826597517093,1.3871213253913548,2.168396979963231,0.42,0.12,13.739903114104536,5,0.13062595414495265
measurement_noise,25,0.22073633067912915,1.291590082523307,1.0029667050491833,1.3127678691079556,1.8271971154877038,0.38,0.16,8.415783909494959,4,0.170399298243565
measurement_noise,26,0.15798753820635741,1.1687864924831368,0.966072204101861,1.099431100516543,1.3700892626702639,0.33,0.1,5.917568325020337,5,0.2026078844102944
measurement_noise,27,0.1736785127201962,1.2891217150315373,1.0648394595728765,1.319843859135693,1.7384369174628513,0.42,0.13,9.248017447534716,5,0.17778538705968988
measurement_noise,28,0.20468606736817024,1.2101220353600552,0.9735530458549483,1.1464899442388001,1.4893645541890326,0.34,0.1,6.910014160866669,7,0.32624806278786606
measurement_noise,29,0.17559057544273823,1.3050210328218355,1.0422505498309929,1.3171787278964755,1.7766302109032097,0.36,0.15,7.972443463037176,4,0.21523460333000866
measurement_noise,30,0.1769023854304247,1.199328517875231,0.9625122451845985,1.1634147943811406,1.5110465290772714,0.39,0.13,7.201572284736184,6,0.2511604322530548
measurement_noise,31,0.1647708957536279,1.2943591614753207,1.0512002208618623,1.311384895856222,1.7158294332081543,0.37,0.13,8.590512731475842,4,0.037928578493885055
measurement_noise,32,0.1597250687129599,1.26088698812148,1.0285309538119922,1.259435295336045,1.5865246281574015,0.34,0.12,7.068522405380317,4,0.12313799565202056
measurement_noise,33,0.17712746570326143,1.158386106122292,0.8654730056096118,1.069241467483879,1.5173337416192902,0.35,0.13,6.20069109989516,7,0.19304321951461034
measurement_noise,34,0.20445592565315351,1.2766075231623795,1.0464899982831006,1.2862015417703752,1.7468200381487191,0.38,0.1,9.249029046382708,4,0.20111416442829297
measurement_noise,35,0.2073825685272998,1.2106481541671084,0.9368547500173596,1.1966556603181973,2.2689564611041417,0.29,0.09,15.918930814680008,6,0.16563629406665809
measurement_noise,36,0.2644266197737349,1.232112638897908,0.9669232037688821,1.223071030715788,2.1578424182849343,0.31,0.11,12.406991699458843,3,0.19745783133410666
measurement_noise,37,0.17529678565354093,1.2518987012240685,0.9947616431011522,1.2472549499684613,1.8296444654530357,0.34,0.12,11.025216744449757,4,0.19265944123360543
measurement_noise,38,0.18382195594162948,1.172316417341977,0.9328366875533769,1.133306544828001,1.7938717168519045,0.35,0.08,9.766131623125647,4,0.1756141070692537
measurement_noise,39,0.19088648928326538,1.145827869556889,0.9426500317080289,1.0672354496543996,1.4473510096814841,0.38,0.08,8.729357648863862,4,0.22136216524049193
measurement_noise,40,0.165605049046904,1.1637189948535693,0.9073275775219927,1.1107001195084703,1.692774071081891,0.32,0.11,7.952942742703604,4,0.13162934530904563
measurement_noise,41,0.16902578705932877,1.3357069353062254,1.0851831042110907,1.393952734069569,1.8826466288488422,0.41,0.15,10.207069740772319,4,0.09585572739059264
measurement_noise,42,0.1979699203136504,1.1388977782160197,0.9239186753498402,1.0687089294064602,1.4722293772870936,0.36,0.09,9.432850767319875,4,0.153038814360701
measurement_noise,43,0.19699735342496044,1.3110763285501628,1.0251315684629627,1.3665321826723518,2.0824813280547376,0.36,0.14,11.202054931726414,3,0.17808541470353104
measurement_noise,44,0.20442881083937717,1.1741805785763888,0.9859193354572472,1.1494973831015431,1.3409431707244897,0.38,0.1,8.093614290541955,5,0.04620166852166695
measurement_noise,45,0.1634507188777033,1.2311468954594822,0.999840434259215,1.201742963017873,1.551274293376866,0.37,0.14,9.489225198952509,4,0.12810532732363109
measurement_noise,46,0.18282891175779095,1.2704291713813323,1.020550403544321,1.2760331095870607,1.8836217055519662,0.35,0.14,10.510853965141253,3,0.19578885163308823
measurement_noise,47,0.19810277774587323,1.210760856359676,0.9335329577746141,1.2011831383944043,2.057537706577809,0.35,0.14,16.18191794816422,3,0.07327287017586015
