population,performance_weight,responsiveness_weight,weight_ratio,policy,multiplier,weighted_distance,selected
seed_100_139,0.75,1.0,0.75,two_stage_0.45,0.45,0.6031307920948246,0
seed_100_139,0.75,1.0,0.75,two_stage_0.50,0.5,0.7559289460184544,0
seed_100_139,0.8,1.0,0.8,two_stage_0.25,0.25,0.6666666666666667,0
seed_100_139,0.8,1.0,0.8,two_stage_0.30,0.3,0.5143090772054182,0
seed_100_139,0.8,1.0,0.8,two_stage_0.35,0.35,0.48948345134469323,1
seed_100_139,0.8,1.0,0.8,two_stage_0.40,0.4,0.5087837710139033,0
seed_100_139,0.8,1.0,0.8,two_stage_0.45,0.45,0.5954030853282509,0
seed_100_139,0.8,1.0,0.8,two_stage_0.50,0.5,0.7453559924999299,0
seed_100_139,0.85,1.0,0.85,two_stage_0.25,0.25,0.677834389404565,0
seed_100_139,0.85,1.0,0.85,two_stage_0.30,0.3,0.5209244291747287,0
seed_100_139,0.85,1.0,0.85,two_stage_0.35,0.35,0.49041620400160507,1
seed_100_139,0.85,1.0,0.85,two_stage_0.40,0.4,0.5040165438061107,0
seed_100_139,0.85,1.0,0.85,two_stage_0.45,0.45,0.5879996257645496,0
seed_100_139,0.85,1.0,0.85,two_stage_0.50,0.5,0.7352146220938077,0
seed_100_139,0.9,1.0,0.9,two_stage_0.25,0.25,0.6882472016116853,0
seed_100_139,0.9,1.0,0.9,two_stage_0.30,0.3,0.5271150263752798,0
seed_100_139,0.9,1.0,0.9,two_stage_0.35,0.35,0.49129823089476005,1
seed_100_139,0.9,1.0,0.9,two_stage_0.40,0.4,0.4994582521024372,0
seed_100_139,0.9,1.0,0.9,two_stage_0.45,0.45,0.5808987910734381,0
seed_100_139,0.9,1.0,0.9,two_stage_0.50,0.5,0.7254762501100116,0
seed_100_139,0.95,1.0,0.95,two_stage_0.25,0.25,0.6979824404521128,0
seed_100_139,0.95,1.0,0.95,two_stage_0.30,0.3,0.5329216862806171,0
seed_100_139,0.95,1.0,0.95,two_stage_0.35,0.35,0.492133564350497,1
seed_100_139,0.95,1.0,0.95,two_stage_0.40,0.4,0.4950949258155874,0
seed_100_139,0.95,1.0,0.95,two_stage_0.45,0.45,0.5740809176300614,0
seed_100_139,0.95,1.0,0.95,two_stage_0.50,0.5,0.716114874039433,0
seed_100_139,1.0,1.0,1.0,two_stage_0.25,0.25,0.7071067811865476,0
seed_100_139,1.0,1.0,1.0,two_stage_0.30,0.3,0.5383800077564757,0
seed_100_139,1.0,1.0,1.0,two_stage_0.35,0.35,0.49292581994284734,0
seed_100_139,1.0,1.0,1.0,two_stage_0.40,0.4,0.49091384533816745,1
seed_100_139,1.0,1.0,1.0,two_stage_0.45,0.45,0.567528078404536,0
seed_100_139,1.0,1.0,1.0,two_stage_0.50,0.5,0.7071067811865476,0
seed_100_139,1.05,1.0,1.05,two_stage_0.25,0.25,0.7156780854205468,0
seed_100_139,1.05,1.0,1.05,two_stage_0.30,0.3,0.5435212023941244,0
seed_100_139,1.05,1.0,1.05,two_stage_0.35,0.35,0.4936782490269174,0
