regime,seed,mean_pre_nis,mean_event_nis,mean_post_nis,delta_event_vs_pre_nis,delta_post_vs_pre_nis,recovery_ratio_nis,event_max_nis,post_max_nis,event_longest_nis_run_above_1,post_longest_nis_run_above_1,mean_pre_absolute_innovation,mean_event_absolute_innovation,mean_post_absolute_innovation,delta_event_vs_pre_absolute_innovation,delta_post_vs_pre_absolute_innovation,pre_innovation_lag1_autocorrelation,event_innovation_lag1_autocorrelation,post_innovation_lag1_autocorrelation,delta_event_vs_pre_autocorrelation,delta_post_vs_pre_autocorrelation
measurement_noise,0,0.6671036026871903,1.0484883402810292,1.4078368300787936,0.38138473759383895,0.7407332273916033,1.3427300771891315,3.0692572455204594,6.2855486731078765,2,2,0.7241562778492965,0.9683386647174805,1.0683089037202684,0.24418238686818405,0.34415262587097195,0.08905845007244692,-0.05896520218474397,-0.11297486960220439,-0.14802365225719089,-0.20203331967465132
measurement_noise,1,0.542263879483365,1.1893366543289328,1.1337709914735183,0.6470727748455678,0.5915071119901534,0.9532801224496692,3.064187663783618,4.92063111156431,3,2,0.5847741649307211,0.9938737032530807,0.9730434507363375,0.40909953832235957,0.38826928580561637,0.10539168354455995,0.23717488698689945,-0.25685500161091557,0.1317832034423395,-0.36224668515547553
measurement_noise,2,0.898473299256412,0.6081091386958067,0.6411937784290672,-0.2903641605606052,-0.25727952082734473,1.0544057598002254,2.3780886639902534,2.827973261775592,2,1,0.7113597062223855,0.7218076532306956,0.6565245736490912,0.010447947008310088,-0.05483513257329431,-0.20685963465680546,-0.13891637486041142,0.10366418665838874,0.06794325979639404,0.3105238213151942
measurement_noise,3,1.1255053405846784,0.40665652443131795,1.0345453840294874,-0.7188488161533605,-0.09095995655519107,2.5440275069327516,1.8280786963348419,3.292215766512758,1,2,0.991886422895299,0.5676337734120948,0.9803981431906127,-0.4242526494832043,-0.011488279704686355,0.1869175300368707,0.324465693340945,-0.12056789887384979,0.1375481633040743,-0.3074854289107205
measurement_noise,4,1.1783686050567457,1.3945639094786675,1.6203593694845255,0.2161953044219218,0.44199076442777985,1.1619111598041467,11.291571478444556,8.001832085874412,1,2,1.0460412367800442,0.7717607760231896,1.222968615323379,-0.27428046075685464,0.17692737854333473,0.03700928104490345,0.08117578469084664,-0.16364860575716675,0.0441665036459432,-0.2006578868020702
measurement_noise,5,1.723526253236433,0.9904426813485486,1.536572042109793,-0.7330835718878844,-0.18695421112664,1.5513992591838877,4.544805332142742,5.476881617287741,1,5,1.1873090713483416,0.9384640500598926,1.2065282224600598,-0.248845021288449,0.019219151111718125,-0.5437760329743264,0.1161488779553536,-0.30555119249742124,0.65992491092968,0.23822484047690518
measurement_noise,6,1.060673427561249,1.2607520906092549,1.4020478551808941,0.2000786630480058,0.3413744276196451,1.1120725998576344,6.619118834935769,4.52220767571828,2,3,1.0026883709891383,0.880237467052944,1.2035208291131352,-0.12245090393619429,0.20083245812399686,0.006259330098042786,0.006674596086439823,-0.029535205031564003,0.0004152659883970367,-0.035794535129606786
measurement_noise,7,1.3544674409961701,0.3768775314213422,0.8659835832547365,-0.9775899095748279,-0.48848385774143366,2.297785118647163,0.8626274840426353,9.897370999168748,0,2,1.1088912951044338,0.5815112203267248,0.6492120783091164,-0.5273800747777091,-0.4596792167953174,0.11208579124076964,-0.07517310813460376,0.23506318259906514,-0.1872588993753734,0.1229773913582955
measurement_noise,8,1.1542411406749007,1.1227239342390138,0.808828013569041,-0.031517206435886846,-0.3454131271058597,0.7204157575179395,8.25345988975853,3.4628839416086277,1,2,0.9311327357653105,0.7193429649709531,0.7856806981175475,-0.21178977079435746,-0.14545203764776304,-0.10373180610966846,0.18057428798911557,-0.19633584295897424,0.28430609409878405,-0.09260403684930578
measurement_noise,9,1.0611778268535916,1.3691798269291742,0.8677750290621828,0.30800200007558254,-0.1934027977914088,0.633791859910625,7.6386048137549505,5.062588938573111,1,1,1.0066528622875848,1.0029560366589279,0.7785446936327685,-0.003696825628656919,-0.2281081686548163,-0.34861612189100666,0.022801796289952995,-0.058206396766296194,0.37141791818095965,0.29040972512471047
