noise_std_dev,runs,mean_final_estimated_a,std_final_estimated_a,mean_parameter_absolute_error,std_parameter_absolute_error,mean_prediction_rmse,std_prediction_rmse,bounded_runs
0.0,50,0.9165098978547221,0.0,0.0034901021452778958,0.0,0.8075992270666079,0.0,50
0.05,50,0.91653268040382,0.00034956703508363414,0.0034673195961800653,0.00034956703508363414,0.8098099690120387,0.0026286102975860513,50
0.15,50,0.9166669070562684,0.0010535578068151352,0.003333092943731628,0.0010535578068151352,0.8298058979390137,0.009153043645833973,50
0.3,50,0.9170886735368643,0.0021255175208726136,0.0030954443422353184,0.0018410052533440785,0.8958417083697671,0.026036432990711365,50
0.5,50,0.9180579908962313,0.0035965738204802667,0.0033486800606982105,0.0023111039837969767,1.038404555553925,0.060907099697088685,50
1.0,50,0.9225860345576892,0.007627983221022931,0.006269592160038762,0.004990009850318097,1.5494019766457712,0.1739556505874034,50
