generation_seed,test_index,action,context_support_distance,action_support_distance,action_support_minus_context,predicted_action_loss,predicted_relative_loss,realized_action_regret,unsafe_action
44001,0,1,2.142597154660354,2.635005348733327,0.492408194072973,0.21613339052800162,0.0,0.0,0
44001,0,2,2.142597154660354,2.751831979750141,0.609234825089787,0.2933771350185733,0.0772437444905717,0.008218137399032877,1
44001,0,3,2.142597154660354,2.9404054510273334,0.7978082963669793,0.30508117399984924,0.08894778347184762,0.008218137399032877,1
44001,1,1,1.3127864665843472,2.11904877188447,0.8062623053001228,0.16651911603334027,0.0,0.02014754911509309,1
44001,1,2,1.3127864665843472,2.3682754175401994,1.0554889509558523,0.2152944796957062,0.04877536366236593,0.0,0
44001,1,3,1.3127864665843472,2.545787849219516,1.2330013826351687,0.21964562227065268,0.05312650623731241,0.0,0
44001,2,1,1.1765800822921535,2.1679424657122515,0.991362383420098,0.16766988628252094,0.0,0.020147549115093033,1
44001,2,2,1.1765800822921535,2.149078786528869,0.9724987042367155,0.17150902395339085,0.0038391376708699076,0.0,0
44001,2,3,1.1765800822921535,1.8731106480293853,0.6965305657372318,0.17351725239133597,0.005847366108815033,0.0,0
44001,3,1,4.940757856387821,5.106994058338711,0.16623620195089028,0.06882285360059012,0.0,0.020147549115093047,1
44001,3,2,4.940757856387821,5.131132681162565,0.19037482477474388,0.07644408532067055,0.007621231720080432,0.0,0
44001,3,3,4.940757856387821,5.150127722942187,0.20936986655436662,0.0807113071367389,0.011888453536148771,0.0,0
44001,4,1,1.476299229452511,1.7793487004538762,0.30304947100136514,0.1739986708749369,0.0,0.0,0
44001,4,2,1.476299229452511,1.8854829448670425,0.40918371541453147,0.20604237866298558,0.032043707788048686,0.0,0
44001,4,3,1.476299229452511,1.8874374408339256,0.4111382113814146,0.20368661298021798,0.029687942105281084,0.0,0
44001,5,1,2.291995983345481,3.1668128581296857,0.8748168747842047,0.20493666453495968,0.008765697828074986,0.0,0
44001,5,2,2.291995983345481,2.648470947693815,0.35647496434833403,0.1961709667068847,0.0,0.0,0
