test_index,best_persistence,predicted_under_risk,action_lambda_0.00,action_lambda_0.10,action_lambda_0.25,action_lambda_1.00,regret_lambda_0.00,regret_lambda_0.10,regret_lambda_0.25,regret_lambda_1.00,minimum_regret,exact_min_levels,responsive_exact_min_lambda,conservative_exact_min_lambda,exact_min_lambda_span,action_groups,regret_groups,largest_action_group,largest_regret_group,epsilon_0.000000_levels,epsilon_0.000000_size,epsilon_0.000000_responsive_lambda,epsilon_0.000000_conservative_lambda,epsilon_0.000100_levels,epsilon_0.000100_size,epsilon_0.000100_responsive_lambda,epsilon_0.000100_conservative_lambda,epsilon_0.000500_levels,epsilon_0.000500_size,epsilon_0.000500_responsive_lambda,epsilon_0.000500_conservative_lambda,epsilon_0.001000_levels,epsilon_0.001000_size,epsilon_0.001000_responsive_lambda,epsilon_0.001000_conservative_lambda,epsilon_0.002500_levels,epsilon_0.002500_size,epsilon_0.002500_responsive_lambda,epsilon_0.002500_conservative_lambda,epsilon_0.005000_levels,epsilon_0.005000_size,epsilon_0.005000_responsive_lambda,epsilon_0.005000_conservative_lambda
47,1,0.01259623508265569,2,2,2,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
48,1,0.009318752027240971,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
49,1,0.028818895238164565,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
50,1,0.023520217346594405,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
51,1,0.02958356952205886,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
52,1,0.03759264192945932,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
53,1,0.024715343027548062,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
54,1,0.024536543970978028,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
55,1,0.04103390877169623,1,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00;k3:0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
56,3,0.03274480707504506,1,1,3,3,0.03170291884717713,0.03170291884717713,0.0,0.0,0.0,0.25|1.00,0.25,1.0,0.75,k1:0.00|0.10;k3:0.25|1.00,0.00|0.10;0.25|1.00,2,2,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0
57,3,0.03312817728570933,1,1,1,3,0.08684039214325429,0.08684039214325429,0.08684039214325429,0.0,0.0,1.00,1.0,1.0,0.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0
58,2,0.03188031448587982,1,2,3,3,0.03953328444252824,0.0,0.0,0.0,0.0,0.10|0.25|1.00,0.1,1.0,0.9,k1:0.00;k2:0.10;k3:0.25|1.00,0.00;0.10|0.25|1.00,2,3,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0,0.10|0.25|1.00,3,0.1,1.0
59,1,0.02450722746566402,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
60,1,0.025880579595396618,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
61,1,0.013577055933409007,2,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00;k3:0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
62,3,0.05077392905885838,2,2,2,3,0.03676296772801363,0.03676296772801363,0.03676296772801363,0.0,0.0,1.00,1.0,1.0,0.0,k2:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0
63,3,0.03441037613827375,1,1,1,3,0.07518529648577918,0.07518529648577918,0.07518529648577918,0.0,0.0,1.00,1.0,1.0,0.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0
64,2,0.028331236741233785,1,1,3,3,0.03138122831986773,0.03138122831986773,0.0,0.0,0.0,0.25|1.00,0.25,1.0,0.75,k1:0.00|0.10;k3:0.25|1.00,0.00|0.10;0.25|1.00,2,2,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0
65,2,0.02666612018666824,2,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00;k3:0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
66,2,0.024864527996219323,1,1,1,3,0.03138122831986774,0.03138122831986774,0.03138122831986774,0.0,0.0,1.00,1.0,1.0,0.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0
67,3,0.03559728941070486,1,1,3,3,0.05771781043348215,0.05771781043348215,0.0,0.0,0.0,0.25|1.00,0.25,1.0,0.75,k1:0.00|0.10;k3:0.25|1.00,0.00|0.10;0.25|1.00,2,2,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0
68,3,0.02766769465236672,1,1,1,1,0.057717810433482175,0.057717810433482175,0.057717810433482175,0.057717810433482175,0.057717810433482175,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
69,2,0.03267914010910429,1,1,1,3,0.06960889750293561,0.06960889750293561,0.06960889750293561,0.0,0.0,1.00,1.0,1.0,0.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0
70,2,0.02537222256577211,1,1,1,3,0.0605707328558652,0.0605707328558652,0.0605707328558652,0.0,0.0,1.00,1.0,1.0,0.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0
71,2,0.0203037311797933,2,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00;k3:0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
72,2,0.031056467919537645,1,1,1,3,0.06057073285586521,0.06057073285586521,0.06057073285586521,0.0,0.0,1.00,1.0,1.0,0.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0
73,1,0.012339921780130157,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
74,1,0.01009082743405334,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
