threshold,test_index,best_persistence,primary_actions,expanded_actions,true_safe_actions,selected_action,true_responsive_action,selected_regret,responsive_retained,responsive_recovered_by_expansion,safe_action_recall,safe_action_precision,false_safe_actions,score_action_1,score_action_2,score_action_3
0.5,40,2,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.08149999999999999,0.7013501984126986,0.8448645011034714
0.5,41,3,1,1,1,1,1,0.007375586548430901,1,0,1.0,1.0,,0.6074375000000001,0.09533333333333335,0.19759270345667393
0.5,42,3,1,1,1,1,1,0.03091974117703608,1,0,1.0,1.0,,0.46221130952380945,0.23813690476190477,0.4526915213054917
0.5,43,2,3,3,3,3,3,0.006871910725323005,1,0,1.0,1.0,,0.3013392857142857,0.21998511904761908,0.7733612012987013
0.5,44,1,3,3,1,3,1,0.006622848127195047,0,0,0.0,0.0,3,0.42008333333333303,0.1528154761904761,0.3089756399646106
0.5,45,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.16768154761904752,0.7426547619047618,0.6812539821289819
0.5,46,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.061729166666666675,0.8367946428571429,0.7798889027639027
0.5,47,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.10235416666666666,0.8249603174603173,0.8211420818764565
0.5,48,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.8936577380952379,0.10269246031746032,0.6599674561549559
0.5,49,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.853458333333333,0.04435416666666667,0.7602356150793648
0.5,50,1,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.09273809523809523,0.19989087301587305,0.8846644483988234
0.5,51,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.8577648809523807,0.029333333333333333,0.9480570436507937
0.5,52,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.6550967261904762,0.11875892857142858,0.7475069895382397
0.5,53,1,1|3,1|3,1|3,1,1,0.0,1,0,1.0,1.0,,0.7118095238095239,0.05633333333333334,0.6811175421800418
0.5,54,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.08210416666666667,0.8460446428571428,0.8261678755272502
0.5,55,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.7655937500000002,0.3816106150793653,0.925409902597403
0.5,56,3,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.3275654761904762,0.1353749999999999,0.7112175404252606
0.5,57,3,3,1|3,3,1,3,0.08684039214325429,1,0,1.0,0.5,1,0.5979166666666665,0.13485416666666666,0.7833823131525338
0.5,58,2,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.25093303571428577,0.6097351190476191,0.751781746031746
0.5,59,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.09879166666666667,0.8970863095238093,0.8180183219558218
0.5,60,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.603017857142857,0.08381249999999998,0.7689419330669329
0.5,61,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.21116666666666664,0.5577564484126988,0.8426969835719835
0.5,62,3,3,2|3,3,2,3,0.03676296772801363,1,0,1.0,0.5,2,0.08749305555555557,0.8773244047619048,0.8382778679653679
0.5,63,3,3,1|3,3,1,3,0.07518529648577918,1,0,1.0,0.5,1,0.6991220238095235,0.12714583333333335,0.6646400162337662
0.5,64,2,3,1|3,3,1,3,0.03138122831986773,1,0,1.0,0.5,1,0.6905520833333334,0.09790922619047619,0.7644247835497837
0.5,65,2,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.058395833333333334,0.6276835317460318,0.9089112103174604
0.5,66,2,1,1|3,3,1,3,0.03138122831986774,1,1,1.0,0.5,1,0.6971041666666664,0.115860119047619,0.6637871791198995
0.5,67,3,3,1|3,3,1,3,0.05771781043348215,1,0,1.0,0.5,1,0.607186011904762,0.14168154761904758,0.7841066468253969
0.5,68,3,1,1,1,1,1,0.057717810433482175,1,0,1.0,1.0,,0.46729464285714306,0.058416666666666665,0.400325224407945
0.5,69,2,3,1|3,3,1,3,0.06960889750293561,1,0,1.0,0.5,1,0.6491874999999999,0.1405535714285714,0.7892260180587385
0.5,70,2,3,1|3,3,1,3,0.0605707328558652,1,0,1.0,0.5,1,0.7268958333333333,0.08574999999999999,0.7884196255133753
0.5,71,2,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.13404166666666664,0.34210416666666665,0.8012914325258076
0.5,72,2,3,1|3,3,1,3,0.06057073285586521,1,0,1.0,0.5,1,0.5904970238095237,0.06591666666666667,0.830152560266531
0.5,73,1,1|3,1|3,1|3,1,1,0.0,1,0,1.0,1.0,,0.7564895833333333,0.11050297619047621,0.592674918831168
0.5,74,1,1|3,1|3,1|3,1,1,0.0,1,0,1.0,1.0,,0.7851354166666665,0.1613958333333333,0.5464482774170264
0.6,0,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.2266964285714286,0.7041666666666666,0.7201162205849707
0.6,1,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.3953020833333331,0.5549895833333334,0.49287465312465245
0.6,2,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.15877083333333333,0.806540674603174,0.7435141056859801
0.6,3,1,3,3,2|3,3,2,0.0,0,0,0.5,1.0,,0.21929166666666663,0.5484280753968256,0.9007276924464425
0.6,4,1,1,1,1,1,1,0.0,1,0,1.0,1.0,,0.3826294642857141,0.1486488095238095,0.5006719505984206
0.6,5,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.49937500000000007,0.10806249999999996,0.715982187950938
0.6,6,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.4764032738095237,0.15684672619047618,0.7329811958874457
0.6,7,2,3,3,2|3,3,2,0.0,0,0,0.5,1.0,,0.5331116071428572,0.41267906746031763,0.8429954534844241
0.6,8,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.7634082341269839,0.09911011904761902,0.788214285714286
0.6,9,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.09441666666666666,0.8166478174603178,0.8809841269841269
0.6,10,1,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.05820833333333333,0.49079662698412696,0.8780245535714286
0.6,11,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.8801815476190477,0.10020238095238093,0.8348859126984128
0.6,12,1,2|3,1|2|3,1|2|3,1,1,0.0,1,1,1.0,1.0,,0.7601235119047621,0.3727023809523811,0.76071626984127
0.6,13,1,1|2|3,1|2|3,1|2|3,1,1,0.0,1,0,1.0,1.0,,0.8469166666666665,0.188485119047619,0.5009703872516369
0.6,14,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.06777083333333334,0.7928154761904764,0.8752167797480297
0.6,15,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.6171696428571428,0.07501488095238097,0.9420213293650795
0.6,16,1,3,3,1|3,3,1,0.0,0,0,0.5,1.0,,0.5310238095238096,0.03986309523809523,0.6592033730158728
0.6,17,1,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.05580555555555556,0.31542658730158735,0.9396458333333332
0.6,18,2,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.07105059523809525,0.8304107142857141,0.8834092261904761
0.6,19,2,1|2|3,1|2|3,2|3,1,2,0.09518820021482474,1,0,1.0,0.6666666666666666,1,0.8397708333333334,0.16550892857142854,0.544751989330114
0.6,20,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.03539583333333332,0.30599603174603174,0.9646011904761906
0.6,21,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.1043125,0.2643531746031747,0.8840114087301589
0.6,22,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.08689583333333334,0.31177182539682546,0.9288958333333333
