bootstrap,primary_auc,action_only_auc,difference
1,0.8296000119466284,0.7806611941918709,0.0489388177547575
2,0.8335428956961193,0.7903376152837058,0.04320528041241345
3,0.8217489819152224,0.771360284148008,0.05038869776721444
4,0.8217262326203609,0.7716169784841881,0.05010925413617284
5,0.8200587918653915,0.7710672765736091,0.04899151529178247
6,0.827098185925037,0.7778192493910108,0.04927893653402626
7,0.8236775578923894,0.7718762448546009,0.051801313037788455
8,0.8230693909890336,0.7795117981022458,0.043557592886787844
9,0.8254730866666685,0.7762387876069115,0.04923429905975707
10,0.8292036189215954,0.7815687461391999,0.04763487278239553
11,0.8266216316238045,0.7754559504956517,0.051165681128152785
12,0.8184507660733451,0.7733258392417112,0.04512492683163394
13,0.8319836193806653,0.7858556112823816,0.04612800809828377
14,0.8175776407365025,0.772152595207421,0.045425045529081554
15,0.8346393819426318,0.7860435393227092,0.04859584261992256
16,0.8215189332781925,0.7733974300053311,0.048121503272861355
17,0.8148150230659814,0.7712824869148256,0.04353253615115582
18,0.8302773615273615,0.7835616764188194,0.04671568510854218
19,0.8300967633783054,0.7831908519139603,0.046905911464345085
20,0.8359664567908455,0.79044982547208,0.04551663131876549
21,0.8191491036830376,0.7758635720124081,0.04328553167062954
22,0.8280101623016476,0.7808153727311666,0.047194789570480955
23,0.8402951129866278,0.79317164434117,0.0471234686454578
24,0.8194898709383134,0.779717727870348,0.03977214306796539
25,0.8238311953488928,0.7794448028568729,0.04438639249201992
26,0.8272778492841091,0.7775169502953725,0.04976089898873659
27,0.8259940550644175,0.7808656061770123,0.04512844888740519
28,0.8254273884199752,0.7760182197491596,0.04940916867081557
29,0.8222741958954227,0.7747767558896871,0.047497440005735636
30,0.8175537256477206,0.7706581269953909,0.04689559865232962
31,0.8237078531109823,0.7816946751657974,0.04201317794518489
32,0.8324991260685799,0.781651276598364,0.05084784947021592
33,0.8322875722918845,0.7811980227591158,0.051089549532768785
34,0.8209352861792123,0.7773619710582202,0.04357331512099205
35,0.8342425327850984,0.7823791827303642,0.05186335005473419
36,0.8397186689812773,0.7906211655862072,0.04909750339507013
37,0.8246004535674162,0.7816243400971734,0.04297611347024277
38,0.8281585449573348,0.7800713167211328,0.04808722823620193
39,0.8312472042006792,0.7838290967279016,0.04741810747277764
40,0.8279346926405017,0.7839007556786194,0.04403393696188229
41,0.8230730632258623,0.7726001038104691,0.050472959415393204
42,0.8179718295586969,0.7744559529238052,0.04351587663489165
43,0.8258977859594249,0.7751296658298366,0.05076812012958831
44,0.8273730897289382,0.7783339837560208,0.049039105972917385
45,0.8293550146881556,0.7834685418514012,0.0458864728367544
46,0.8294018852606333,0.7773785128992381,0.052023372361395204
47,0.8213691055261244,0.7720334177075121,0.049335687818612306
48,0.8314777741224387,0.7846648742634137,0.04681289985902504
49,0.827479707932385,0.7766163538522115,0.050863354080173506
50,0.8287867025065364,0.7811181216417906,0.04766858086474579
51,0.8342672919068309,0.7870317775615843,0.04723551434524664
52,0.8325292826371755,0.7887292059199954,0.043800076717180114
53,0.8350171656643642,0.7860831597025935,0.04893400596177078
54,0.8271803986104556,0.7768912980401084,0.05028910057034719
55,0.842565342521585,0.7912799600788278,0.051285382442757155
56,0.8296661506709118,0.7769046210530046,0.052761529617907144
57,0.8173442699853912,0.7730986817864514,0.04424558819893987
58,0.8207529802354068,0.7746566398330719,0.0460963404023349
59,0.8388977136622237,0.7875048770971518,0.051392836565071875
60,0.836270186399376,0.783800858146406,0.052469328252970016
61,0.8294970995248889,0.7832763608863502,0.046220738638538705
62,0.8374739832647256,0.7826265191071272,0.054847464157598336
63,0.8210593373734714,0.7729420448615179,0.04811729251195351
64,0.8326920592969417,0.7887513330551306,0.04394072624181111
65,0.8308405384541788,0.7826947057306468,0.04814583272353201
66,0.8271216338127381,0.7752159682193948,0.05190566559334331
67,0.8386075481496802,0.7962925137307528,0.042315034418927366
68,0.8379344845089876,0.7955259747006975,0.04240850980829003
69,0.8341348491554585,0.7849779358659832,0.04915691328947536
70,0.8316218719877821,0.782321854044874,0.04930001794290817
71,0.8256415806118594,0.7728428283693767,0.05279875224248276
72,0.8289322317311365,0.7791639165232107,0.049768315207925795
