model,features,feature_count,rows,unsafe_rows,safe_rows,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc,mean_fold_balanced_accuracy,mean_fold_roc_auc,safe_mean,unsafe_mean,standardized_difference_unsafe_minus_safe
action_support_only,action_support_distance,1,9045,1787,7258,0.5788450172034856,0.21376608841634023,0.4841571609632446,0.943923945990631,0.6505116481468146,0.5716238384142162,0.6399835181078074,,,
context_support_only,context_support_distance,1,9045,1787,7258,0.5786902760406555,0.21152770005595972,0.490272373540856,0.9458528520253513,0.6636493039423299,0.5714589235298175,0.662751509534544,,,
context_plus_action_support,context_support_distance|action_support_distance,2,9045,1787,7258,0.5781688438113481,0.21544487968662562,0.47297297297297297,0.9408928079360706,0.6372877166357005,0.5708655925186485,0.6261695991481131,,,
context_loss_action_support,context_support_distance|predicted_action_loss|action_support_distance,3,9045,1787,7258,0.544399534126556,0.36821488528259655,0.24497393894266567,0.7205841829705153,0.5768960264288963,0.5422457990866472,0.5704039084073871,,,
context_plus_loss,context_support_distance|predicted_action_loss,2,9045,1787,7258,0.5396980858818851,0.365976496922216,0.23920994879297733,0.7134196748415541,0.5765469143286,0.5380893182421409,0.5706038559601562,,,
predicted_loss_only,predicted_action_loss,1,9045,1787,7258,0.5265246553481768,0.5366536094012311,0.21458939360035803,0.5163957012951226,0.528728117078382,0.5307078060420125,0.543214531856485,,,
diagnostic_context_support_distance,context_support_distance,1,9045,1787,7258,,,,,,,,3.3306680104321007,7.981805495578805,0.3323098571752423
diagnostic_action_support_distance,action_support_distance,1,9045,1787,7258,,,,,,,,3.9129306848146417,8.545049579706044,0.3327731887419245
diagnostic_action_support_minus_context,action_support_minus_context,1,9045,1787,7258,,,,,,,,0.5822626743825411,0.5632440841272391,-0.050102802637305544
diagnostic_predicted_action_loss,predicted_action_loss,1,9045,1787,7258,,,,,,,,0.18917993148184847,0.19776110660231488,0.10936052651304638
diagnostic_predicted_relative_loss,predicted_relative_loss,1,9045,1787,7258,,,,,,,,0.019320338997337115,0.012985512443186896,-0.2505712706404364
