support_threshold,test_index,primary_actions,expanded_actions,true_safe_actions,primary_action,selected_action,true_responsive_action,primary_regret,selected_regret,incremental_regret,beneficial_expansion,harmful_expansion,responsive_recovered,distance_action_1,distance_action_2,distance_action_3,safety_score_1,safety_score_2,safety_score_3,downside_score_1,downside_score_2,downside_score_3
2.5,0,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0,0,0,2.286780037249999,2.286780037249999,2.286780037249999,0.2266964285714286,0.7041666666666666,0.7201162205849707,0.0013639565151397184,0.0,5.687419666358372e-06
2.5,1,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0,0,0,2.3302594566414387,2.3302594566414387,2.3302594566414387,0.3953020833333331,0.5549895833333334,0.49287465312465245,0.017422383517089007,0.0006950249005539919,0.00042820585099502534
2.5,2,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0,0,0,2.630963795753651,2.630963795753651,2.630963795753651,0.15877083333333333,0.806540674603174,0.7435141056859801,0.006505184989279298,0.0,5.687419666358372e-06
2.5,3,3,3,2|3,3,3,2,0.0,0.0,0.0,0,0,0,2.4176762392259903,2.4176762392259903,2.4176762392259903,0.21929166666666663,0.5484280753968256,0.9007276924464425,0.022245641309294597,0.0004198350375546233,0.00010814630927070745
2.5,4,1,1,1,1,1,1,0.0,0.0,0.0,0,0,0,3.337153836053883,3.337153836053883,3.337153836053883,0.3826294642857141,0.1486488095238095,0.5006719505984206,0.03195580171261871,0.018398789619170776,0.006625414485832121
2.5,5,3,3,3,3,3,3,0.0,0.0,0.0,0,0,0,2.394287005222311,2.394287005222311,2.394287005222311,0.49937500000000007,0.10806249999999996,0.715982187950938,0.028855001659452845,0.0014127547581063054,0.0004267160053551189
2.5,6,3,3,3,3,3,3,0.0,0.0,0.0,0,0,0,1.914216234166171,1.914216234166171,1.914216234166171,0.4764032738095237,0.15684672619047618,0.7329811958874457,0.05153498925455573,0.0006950249005539919,0.00042251843132866694
2.5,7,3,3,2|3,3,3,2,0.0,0.0,0.0,0,0,0,5.230596976870318,5.230596976870318,5.230596976870318,0.5331116071428572,0.41267906746031763,0.8429954534844241,0.051950175096428894,0.0010372656221261359,0.0009446088274530341
2.5,8,3,3,1|3,3,3,1,0.0,0.0,0.0,0,0,0,2.459076712560999,2.459076712560999,2.459076712560999,0.7634082341269839,0.09911011904761902,0.788214285714286,0.02088937937917533,0.0007414277812436534,0.0020803511824398317
2.5,9,3,3,2|3,3,3,2,0.0,0.0,0.0,0,0,0,2.9304442646253137,2.9304442646253137,2.9304442646253137,0.09441666666666666,0.8166478174603178,0.8809841269841269,0.020232003820525177,0.0006449349878687604,0.0020239376035504747
2.5,10,3,3,3,3,3,3,0.0,0.0,0.0,0,0,0,1.8564885707493488,1.8564885707493488,1.8564885707493488,0.05820833333333333,0.49079662698412696,0.8780245535714286,0.008948347632850585,0.0006449349878687604,0.0020239376035504747
2.5,11,3,1|3,1|3,3,1,1,0.0,0.0,0.0,1,0,1,2.2246031799264525,2.2246031799264525,2.2246031799264525,0.8801815476190477,0.10020238095238093,0.8348859126984128,0.008707973886357247,0.0006449349878687604,0.0020239376035504747
2.5,12,2|3,2|3,1|2|3,2,2,1,0.0,0.0,0.0,0,0,0,2.1617350968638416,2.1617350968638416,2.1617350968638416,0.7601235119047621,0.3727023809523811,0.76071626984127,0.02895618168918471,4.33950606841204e-05,5.641357888935652e-05
2.5,13,1|2|3,1|2|3,1|2|3,1,1,1,0.0,0.0,0.0,0,0,0,1.5512685364252374,1.5512685364252374,1.5512685364252374,0.8469166666666665,0.188485119047619,0.5009703872516369,0.001488691686413017,0.0,5.687419666358372e-06
