record_type,held_out_seed,feature,coefficient,model,held_out_block
regime_coefficient,44105,context_support_distance,0.4402906620943677,,
regime_coefficient,44105,action_support_distance,0.45243281475291,,
regime_coefficient,44105,action_support_minus_context,0.1088111721323791,,
regime_coefficient,44105,predicted_action_loss,-0.4590017860907272,,
regime_coefficient,44105,predicted_relative_loss,0.36958283934815733,,
regime_coefficient,44106,context_support_distance,0.46863927282786644,,
regime_coefficient,44106,action_support_distance,0.4587956708007472,,
regime_coefficient,44106,action_support_minus_context,0.06733331077490771,,
regime_coefficient,44106,predicted_action_loss,-0.430593266607481,,
regime_coefficient,44106,predicted_relative_loss,0.3319158705693669,,
regime_coefficient,44107,context_support_distance,0.4630315661304903,,
regime_coefficient,44107,action_support_distance,0.44273191331509243,,
regime_coefficient,44107,action_support_minus_context,0.0518115061895066,,
regime_coefficient,44107,predicted_action_loss,-0.42781226102585407,,
regime_coefficient,44107,predicted_relative_loss,0.3669758213936108,,
regime_coefficient,44108,context_support_distance,0.4416932624512603,,
regime_coefficient,44108,action_support_distance,0.4805508776691717,,
regime_coefficient,44108,action_support_minus_context,0.14385067685475067,,
regime_coefficient,44108,predicted_action_loss,-0.4927611652006295,,
regime_coefficient,44108,predicted_relative_loss,0.25552015100823533,,
regime_coefficient,44109,context_support_distance,0.5016033364273584,,
regime_coefficient,44109,action_support_distance,0.46619920567679124,,
regime_coefficient,44109,action_support_minus_context,0.03849407442185153,,
regime_coefficient,44109,predicted_action_loss,-0.49232953042418964,,
regime_coefficient,44109,predicted_relative_loss,0.24231899180509942,,
regime_coefficient,44110,context_support_distance,0.448449338112647,,
regime_coefficient,44110,action_support_distance,0.4396698691653842,,
regime_coefficient,44110,action_support_minus_context,0.06623663818501374,,
regime_coefficient,44110,predicted_action_loss,-0.3950627522409967,,
regime_coefficient,44110,predicted_relative_loss,0.33563030903628815,,
harm_modulation_coefficient,,severe_underestimation_probability,1.0454643135598827,severe_proxy_only,block_071_090
harm_modulation_coefficient,,severe_underestimation_probability,1.58626616856842,severe_proxy_only,block_091_110
harm_modulation_coefficient,,regime_probability,-0.11033664256540386,rich_regime_only,block_071_090
harm_modulation_coefficient,,regime_probability,1.8119720063647764,rich_regime_only,block_091_110
harm_modulation_coefficient,,severe_underestimation_probability,1.2854079590468181,proxy_plus_rich_regime,block_071_090
harm_modulation_coefficient,,regime_probability,-0.5478697101524903,proxy_plus_rich_regime,block_071_090
harm_modulation_coefficient,,severe_underestimation_probability,1.1576741579145906,proxy_plus_rich_regime,block_091_110
harm_modulation_coefficient,,regime_probability,1.4958889399847728,proxy_plus_rich_regime,block_091_110
harm_modulation_coefficient,,severe_underestimation_probability,1.0095412400934192,proxy_rich_regime_interaction,block_071_090
harm_modulation_coefficient,,regime_probability,-0.8520339438675081,proxy_rich_regime_interaction,block_071_090
harm_modulation_coefficient,,proxy_x_regime,0.4708707493245833,proxy_rich_regime_interaction,block_071_090
harm_modulation_coefficient,,severe_underestimation_probability,0.3850665674150037,proxy_rich_regime_interaction,block_091_110
harm_modulation_coefficient,,regime_probability,0.49031003824591074,proxy_rich_regime_interaction,block_091_110
harm_modulation_coefficient,,proxy_x_regime,1.2145355522460548,proxy_rich_regime_interaction,block_091_110
