threshold,rows,harmful,beneficial,harmful_recall,harmful_precision,beneficial_specificity,balanced_accuracy,flagged,flagged_fraction,tp,fp,fn,tn,qualifies_recall_constraint,selected_threshold,transfer,training_block,test_block
0.19484614252054253,39,2,37,1.0,0.05128205128205128,0.0,0.5,39,1.0,2,37,0,0,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.1955304635272953,39,2,37,1.0,0.05263157894736842,0.02702702702702703,0.5135135135135135,38,0.9743589743589743,2,36,0,1,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.20981977603091523,39,2,37,1.0,0.05405405405405406,0.05405405405405406,0.527027027027027,37,0.9487179487179487,2,35,0,2,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.26486791193476583,39,2,37,1.0,0.05555555555555555,0.08108108108108109,0.5405405405405406,36,0.9230769230769231,2,34,0,3,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.26489651737271336,39,2,37,1.0,0.05714285714285714,0.10810810810810811,0.5540540540540541,35,0.8974358974358975,2,33,0,4,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.2666367196797023,39,2,37,1.0,0.058823529411764705,0.13513513513513514,0.5675675675675675,34,0.8717948717948718,2,32,0,5,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.2670487378561876,39,2,37,1.0,0.06060606060606061,0.16216216216216217,0.5810810810810811,33,0.8461538461538461,2,31,0,6,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.2897423462835416,39,2,37,1.0,0.0625,0.1891891891891892,0.5945945945945946,32,0.8205128205128205,2,30,0,7,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.30444475159916323,39,2,37,1.0,0.06451612903225806,0.21621621621621623,0.6081081081081081,31,0.7948717948717948,2,29,0,8,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.3081085152709472,39,2,37,1.0,0.06666666666666667,0.24324324324324326,0.6216216216216216,30,0.7692307692307693,2,28,0,9,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.3151254586389138,39,2,37,1.0,0.06896551724137931,0.2702702702702703,0.6351351351351351,29,0.7435897435897436,2,27,0,10,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.31736073856046654,39,2,37,1.0,0.07142857142857142,0.2972972972972973,0.6486486486486487,28,0.717948717948718,2,26,0,11,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.3645755569335822,39,2,37,1.0,0.07407407407407407,0.32432432432432434,0.6621621621621622,27,0.6923076923076923,2,25,0,12,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.38792788362882274,39,2,37,1.0,0.07692307692307693,0.35135135135135137,0.6756756756756757,26,0.6666666666666666,2,24,0,13,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.3938856962071146,39,2,37,1.0,0.08,0.3783783783783784,0.6891891891891893,25,0.6410256410256411,2,23,0,14,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.3972817764955477,39,2,37,1.0,0.08333333333333333,0.40540540540540543,0.7027027027027027,24,0.6153846153846154,2,22,0,15,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.39797498746446197,39,2,37,1.0,0.08695652173913043,0.43243243243243246,0.7162162162162162,23,0.5897435897435898,2,21,0,16,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.3996691637114845,39,2,37,1.0,0.09090909090909091,0.4594594594594595,0.7297297297297297,22,0.5641025641025641,2,20,0,17,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.44924825111301603,39,2,37,1.0,0.09523809523809523,0.4864864864864865,0.7432432432432432,21,0.5384615384615384,2,19,0,18,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.48782480077511337,39,2,37,1.0,0.1,0.5135135135135135,0.7567567567567568,20,0.5128205128205128,2,18,0,19,1,0,block_071_090_to_block_091_110,block_071_090,block_091_110
