contrast,estimate,cluster_boot_mean,ci_2_5,ci_97_5,probability_positive
primary_auc,0.8292176404454358,0.8290836508486443,0.8184769574892415,0.8401343959665626,1.0
primary_minus_action_only,0.0480234903423713,0.04797515178585817,0.040924649488564266,0.05540461993828875,1.0
