generation_seed,test_index,action,predicted_action_loss,realized_action_loss,calibration_error,severe_underestimation,local_mean_error,local_median_error,local_error_std,local_underestimate_fraction,local_severe_underestimate_fraction,local_neighbor_distance,local_min_error
44001,0,1,0.21613339052800162,0.38097313899676044,-0.16483974846875882,1,0.003130931674985807,-0.016753927785921857,0.07326229553852626,0.5714285714285714,0.2857142857142857,3.321114106272525,-0.08441826880791556
44001,0,2,0.2933771350185733,0.3891912763957933,-0.09581414137722,1,0.05470040677127708,0.0414516506238522,0.08773931531668869,0.2857142857142857,0.0,3.756518441099137,-0.029775740016261626
44001,0,3,0.30508117399984924,0.3891912763957933,-0.08411010239594408,1,0.10378108305729568,0.08283216862054404,0.07399517183409128,0.0,0.0,3.881486399386706,0.015324634395871006
44001,1,1,0.16651911603334027,0.3102916325584736,-0.14377251652513331,1,-0.013470295716465562,0.013169133302575492,0.0774897458702376,0.42857142857142855,0.2857142857142857,2.3354159581965654,-0.14587478703685527
44001,1,2,0.2152944796957062,0.2901440834433805,-0.0748496037476743,1,0.04002324032602838,0.041417765257158234,0.05199600908270237,0.2857142857142857,0.0,2.539375619498633,-0.029775740016261626
44001,1,3,0.21964562227065268,0.2901440834433805,-0.07049846117272782,1,0.058368267792174654,0.05624769524118495,0.05571152800880462,0.14285714285714285,0.0,2.632561995304303,-0.03277301272326563
44001,2,1,0.16766988628252094,0.2234946887601834,-0.05582480247766247,1,-0.005078052841989365,-0.018010141930366763,0.04224078092087209,0.5714285714285714,0.0,1.6458353495746227,-0.04874292253347251
44001,2,2,0.17150902395339085,0.20334713964509038,-0.03183811569169953,0,0.04396852675451087,0.04362009727957697,0.018248447997069157,0.0,0.0,1.5516689614227412,0.016019493097434195
44001,2,3,0.17351725239133597,0.20334713964509038,-0.029829887253754406,0,0.04895492477369073,0.046557255321257374,0.023113688523243487,0.0,0.0,1.5633495857391928,0.013687031114630793
44001,3,1,0.06882285360059012,0.13100932576347366,-0.06218647216288353,1,-0.0036616400255130477,0.0008282008897510934,0.03183824532534922,0.42857142857142855,0.0,5.3282375020934944,-0.04806769557357303
44001,3,2,0.07644408532067055,0.11086177664838061,-0.034417691327710054,0,0.03572950764839593,0.03325451991682833,0.005843813783057952,0.0,0.0,5.303902895839729,0.029059677961388135
44001,3,3,0.0807113071367389,0.11086177664838061,-0.030150469511641714,0,0.03787665141549301,0.03491849655762347,0.005573747710448528,0.0,0.0,5.310974373501751,0.0320581046787136
44001,4,1,0.1739986708749369,0.23444721482602215,-0.06044854395108526,1,-0.01337408486363432,-0.021703505672135998,0.07378130513834824,0.5714285714285714,0.14285714285714285,1.8029070867635153,-0.14587478703685527
44001,4,2,0.20604237866298558,0.23444721482602215,-0.028404836163036573,0,0.02283920932092633,-0.00894573205334484,0.05573196558154659,0.5714285714285714,0.0,1.897515574944221,-0.029775740016261626
44001,4,3,0.20368661298021798,0.23444721482602215,-0.030760601845804175,0,0.020771016283493832,-0.010021500988604132,0.05604147396654754,0.5714285714285714,0.0,1.9057712884038955,-0.03277301272326563
44001,5,1,0.20493666453495968,0.14399746734438557,0.06093919719057411,0,0.0027336214373568806,-0.007567096826981284,0.04704636289973749,0.7142857142857143,0.0,2.960425584158229,-0.043645317609668804
44001,5,2,0.1961709667068847,0.14399746734438557,0.052173499362499126,0,0.026939861559557514,0.022972588931808507,0.038407817987324525,0.42857142857142855,0.0,2.8965123052495363,-0.017981703501424
44001,5,3,0.21118311387502778,0.14399746734438557,0.06718564653064221,0,0.03675540817213231,0.023932263368531576,0.0474765913972368,0.42857142857142855,0.0,2.9186677441075912,-0.017616871024341563
44001,6,1,0.15797548796005947,0.07689540375402723,0.08108008420603224,0,0.05303657395896277,0.07812268458829727,0.05848165687454127,0.2857142857142857,0.0,1.6379478259785358,-0.04268902007217587
44001,6,2,0.1430351314983407,0.07689540375402723,0.06613972774431348,0,0.05006907686992711,0.050783882346946946,0.040687789495918385,0.14285714285714285,0.0,1.5806897769352486,-0.014824450157507857
44001,6,3,0.1486684262010768,0.07689540375402723,0.07177302244704956,0,0.05527525059026776,0.07184694644574385,0.04174482369639703,0.14285714285714285,0.0,1.591886584467131,-0.01180676359832769
44001,7,1,0.07117191557077047,0.03478609584673532,0.03638581972403516,0,0.014218434198745411,0.03132112509920989,0.03309323893446619,0.2857142857142857,0.0,1.9915237286615184,-0.04759612518581913
44001,7,2,0.07093254793395691,0.03478609584673532,0.036146452087221594,0,0.031300234023746785,0.03282246587994296,0.006119084276970487,0.0,0.0,1.9864750493325867,0.018821569314188193
44001,7,3,0.06984465004276426,0.03478609584673532,0.03505855419602894,0,0.03169796175200005,0.03188386596782923,0.0063770355396567694,0.0,0.0,1.9903029211886,0.019027817200012488
44001,8,1,0.19229501252696526,0.19694862443538866,-0.004653611908423394,0,-0.013374084863634315,-0.021703505672135998,0.07378130513834824,0.5714285714285714,0.14285714285714285,1.7755503443315794,-0.14587478703685527
44001,8,2,0.20759868525464273,0.19694862443538866,0.01065006081925407,0,0.02283920932092633,-0.00894573205334484,0.05573196558154659,0.5714285714285714,0.0,1.9217035174712396,-0.029775740016261626
44001,8,3,0.2047506298922677,0.19694862443538866,0.007802005456879035,0,0.020771016283493832,-0.010021500988604132,0.05604147396654754,0.5714285714285714,0.0,1.946869157383437,-0.03277301272326563
44001,9,1,0.16717879052566167,0.11033333235443588,0.0568454581712258,0,0.04417641984827636,0.03830759266413333,0.04657059319588588,0.14285714285714285,0.0,1.2851877749170975,-0.04268902007217587
44001,9,2,0.17740516657914507,0.11033333235443588,0.06707183422470919,0,0.04934009057238775,0.04362009727957697,0.01981272822383781,0.0,0.0,1.4562343729099165,0.022972588931808507
44001,9,3,0.17292072592469704,0.11033333235443588,0.06258739357026116,0,0.049429359919142775,0.046557255321257374,0.019300735166273376,0.0,0.0,1.3989440935243493,0.023932263368531576
44001,10,1,0.16820288472799647,0.060080687131490396,0.10812219759650607,0,0.023424142351930473,0.02825880692014543,0.048736182192718205,0.2857142857142857,0.0,1.537620676567722,-0.04874292253347251
44001,10,2,0.15119502705350119,0.060080687131490396,0.09111433992201079,0,0.04453082584312078,0.04362009727957697,0.02232190240203358,0.0,0.0,1.439127027820503,0.016019493097434195
44001,10,3,0.1541560797760111,0.060080687131490396,0.0940753926445207,0,0.04372945628144419,0.04216532480238977,0.023469429373299176,0.0,0.0,1.441629352236167,0.013687031114630793
44001,11,1,0.07116331015862873,0.0281913572725371,0.042971952886091624,0,-0.004737800204621814,-0.026503568807774824,0.035817661965221056,0.5714285714285714,0.0,1.8678135616405,-0.04759612518581913
44001,11,2,0.06329708955141686,0.0281913572725371,0.03510573227887975,0,0.03286937691021218,0.03282246587994296,0.007738708230254284,0.0,0.0,1.8807887214048462,0.018821569314188193
44001,11,3,0.06364109201378278,0.0281913572725371,0.03544973474124567,0,0.033368347571736644,0.03188386596782923,0.00795453259803953,0.0,0.0,1.880929026551453,0.019027817200012488
44001,12,1,0.16332981027605367,0.06525472032534556,0.09807508995070811,0,-0.009120508570647492,0.013169133302575492,0.0745930740391102,0.42857142857142855,0.14285714285714285,2.0813397755267102,-0.14587478703685527
44001,12,2,0.21056950884836148,0.06525472032534556,0.14531478852301594,0,0.04002324032602838,0.041417765257158234,0.05199600908270237,0.2857142857142857,0.0,2.3837259168336544,-0.029775740016261626
44001,12,3,0.20982263205267043,0.06525472032534556,0.14456791172732486,0,0.05765788210162848,0.06245121664167427,0.05961299500516268,0.2857142857142857,0.0,2.3271329021869156,-0.03277301272326563
44001,13,1,0.1549218648628044,0.02760434561825116,0.12731751924455326,0,0.015232188299258737,0.014436549124426434,0.04073248232368575,0.42857142857142855,0.0,2.064688693002214,-0.04874292253347251
44001,13,2,0.12654826140545583,0.02760434561825116,0.09894391578720467,0,0.04472747667007215,0.04524658413040207,0.017451191654367877,0.0,0.0,1.774072511180367,0.016019493097434195
44001,13,3,0.1247274748923595,0.02760434561825116,0.09712312927410834,0,0.05241996480350176,0.05624769524118495,0.02131339670503049,0.0,0.0,1.939455771985757,0.013687031114630793
44001,14,1,0.22869867425026366,0.22371554794285686,0.004983126307406799,0,-0.0023075518947024776,-0.017118495450188065,0.06697849899348624,0.7142857142857143,0.14285714285714285,3.0665393915962644,-0.07715822930260105
44001,14,2,0.2261977346848203,0.1288042675610084,0.09739346712381189,0,0.06344594397560596,0.022972588931808507,0.083342610349293,0.14285714285714285,0.0,3.239224447671376,-0.004433750860648705
44001,14,3,0.23457893652627396,0.1288042675610084,0.10577466896526555,0,0.085671175153571,0.08283216862054404,0.08118113721454656,0.14285714285714285,0.0,3.237801819335391,-0.004676815078102192
