condition,true_class,run_index,evidence_time,scheme,detected_event_time,event_time_error,trigger_score,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,target_p_fail_A,target_p_fail_C,target_p_fail_S,A_mae,C_mae,S_mae,marginal_mae
measurement_noise_0.850,measurement_noise,100,60,uniform,53,3,9.429206885542289,0.22456219371057418,0.7445342736035879,0.06038388984129805,0.22,0.8,0.06,0.004562193710574175,0.05546572639641212,0.00038388984129805043,0.020137269982761448
measurement_noise_0.850,measurement_noise,101,60,uniform,47,3,18.460280484332685,0.2191815261696139,0.7118337453455855,0.05711747773702341,0.22,0.8,0.06,0.0008184738303861072,0.08816625465441452,0.0028825222629765904,0.03062241691592574
measurement_noise_0.850,measurement_noise,102,60,uniform,55,5,11.098562324944007,0.22435753092439376,0.7619637447658366,0.06090507731444657,0.22,0.8,0.06,0.004357530924393754,0.03803625523416343,0.0009050773144465701,0.014432954491001251
measurement_noise_0.850,measurement_noise,103,60,uniform,53,3,30.90044059012688,0.2238835571515094,0.7575274735520169,0.06160068480277556,0.22,0.8,0.06,0.003883557151509398,0.04247252644798316,0.0016006848027755594,0.015985589467422706
measurement_noise_0.850,measurement_noise,104,60,uniform,30,20,47.770216398333964,0.22343151245239373,0.7496228355282171,0.060207414175073484,0.22,0.8,0.06,0.0034315124523937313,0.050377164471782976,0.00020741417507348647,0.018005363699750063
measurement_noise_0.850,measurement_noise,105,60,uniform,39,11,29.5395018717898,0.22243298133072778,0.776169752280656,0.06075156747227319,0.22,0.8,0.06,0.0024329813307277792,0.023830247719344055,0.0007515674722731944,0.009004932174115009
measurement_noise_0.850,measurement_noise,106,60,uniform,33,17,17.63448791809189,0.22576170292780748,0.7412451728733183,0.06132447017923421,0.22,0.8,0.06,0.005761702927807477,0.058754827126681786,0.001324470179234212,0.021947000077907824
measurement_noise_0.850,measurement_noise,107,60,uniform,38,12,26.52849154666416,0.223592339838495,0.7616598555695724,0.0610980139048427,0.22,0.8,0.06,0.0035923398384949956,0.03834014443042766,0.0010980139048427026,0.01434349939125512
measurement_noise_0.850,measurement_noise,108,60,uniform,39,11,14.405975561490784,0.2221489309680939,0.7313418101151058,0.060854815549287275,0.22,0.8,0.06,0.002148930968093904,0.06865818988489425,0.0008548155492872772,0.02388731213409181
measurement_noise_0.850,measurement_noise,109,60,uniform,38,12,364.3985406901809,0.220858517358084,0.7425097312523911,0.059216583847421615,0.22,0.8,0.06,0.00085851735808401,0.057490268747608986,0.0007834161525783825,0.01971073408609046
measurement_noise_0.850,measurement_noise,110,60,uniform,38,12,4.278154974948411,0.22271900483220583,0.73810980577168,0.06086340270110141,0.22,0.8,0.06,0.002719004832205829,0.061890194228320095,0.0008634027011014123,0.021824200587209113
measurement_noise_0.850,measurement_noise,111,60,uniform,36,14,28.43202145587324,0.22223978171165246,0.7718584443270551,0.060016852985190855,0.22,0.8,0.06,0.0022397817116524554,0.028141555672944962,1.6852985190857206e-05,0.010132730123262759
measurement_noise_0.850,measurement_noise,112,60,uniform,44,6,15.94821798494429,0.22462280139173027,0.7558459917795054,0.06070790095638903,0.22,0.8,0.06,0.004622801391730269,0.044154008220494645,0.0007079009563890348,0.016494903522871317
measurement_noise_0.850,measurement_noise,113,60,uniform,50,0,7.443176670518426,0.2274591910731486,0.7379877847140299,0.06176715081267653,0.22,0.8,0.06,0.007459191073148602,0.06201221528597012,0.0017671508126765323,0.02374618572393175
measurement_noise_0.850,measurement_noise,114,60,uniform,50,0,13.41861225255182,0.22392326325067763,0.7462138190573273,0.060712767118032085,0.22,0.8,0.06,0.003923263250677628,0.053786180942672734,0.0007127671180320871,0.019474070437127483
measurement_noise_0.850,measurement_noise,115,60,uniform,39,11,20.8482286557416,0.23409714969217088,0.6945240847036409,0.06503312605399833,0.22,0.8,0.06,0.01409714969217088,0.10547591529635914,0.0050331260539983325,0.04153539701417611
measurement_noise_0.850,measurement_noise,116,60,uniform,41,9,53.17497858051109,0.21778461952626807,0.7419999171956567,0.05907957403564325,0.22,0.8,0.06,0.0022153804737319316,0.05800008280434332,0.0009204259643567497,0.020378629747477336
measurement_noise_0.850,measurement_noise,117,60,uniform,53,3,7.367999331749759,0.22842565357368744,0.7156197689134683,0.06273324030669858,0.22,0.8,0.06,0.008425653573687436,0.0843802310865317,0.002733240306698581,0.031846374988972574
measurement_noise_0.850,measurement_noise,118,60,uniform,56,6,62.9493917573927,0.22749467683351593,0.6303062386098168,0.05692966519980503,0.22,0.8,0.06,0.007494676833515929,0.16969376139018322,0.003070334800194967,0.06008625767463137
measurement_noise_0.850,measurement_noise,119,60,uniform,55,5,19.509903839183142,0.2172800864625617,0.7398763207965937,0.058335191364270886,0.22,0.8,0.06,0.0027199135374383065,0.06012367920340633,0.001664808635729112,0.021502800458857916
measurement_noise_0.850,measurement_noise,120,60,uniform,40,10,16.35081485665764,0.22306633348510635,0.7464763150915857,0.06043040172528764,0.22,0.8,0.06,0.0030663334851063484,0.053523684908414304,0.00043040172528763937,0.01900680670626943
measurement_noise_0.850,measurement_noise,121,60,uniform,32,18,34.77993526374333,0.22646621575130266,0.7218523331127891,0.06242895292088442,0.22,0.8,0.06,0.006466215751302656,0.07814766688721098,0.0024289529208844224,0.02901427851979935
measurement_noise_0.850,measurement_noise,122,60,uniform,54,4,13.72599037844953,0.21736772961740627,0.6496856755436516,0.054595656711871055,0.22,0.8,0.06,0.0026322703825937266,0.1503143244563484,0.005404343288128943,0.052783646042357024
measurement_noise_0.850,measurement_noise,123,60,uniform,44,6,1672.1194004139106,0.22558788715438108,0.7261262516247511,0.06352468662491556,0.22,0.8,0.06,0.005587887154381077,0.07387374837524896,0.003524686624915563,0.027662107384848533
measurement_noise_0.850,measurement_noise,124,60,uniform,40,10,7.147441234386333,0.22302980585590457,0.758234992963345,0.05964027729352319,0.22,0.8,0.06,0.003029805855904566,0.04176500703665509,0.00035972270647680743,0.015051511866345487
measurement_noise_0.850,measurement_noise,125,60,uniform,50,0,12.013422635889052,0.22218921468555924,0.7178820046307306,0.05829434769990721,0.22,0.8,0.06,0.002189214685559243,0.08211799536926945,0.001705652300092786,0.028670954118307158
measurement_noise_0.850,measurement_noise,126,60,uniform,44,6,345.80588643738884,0.22437974305666303,0.7364532044051428,0.060610184333095986,0.22,0.8,0.06,0.004379743056663027,0.06354679559485721,0.000610184333095988,0.022845574328205408
measurement_noise_0.850,measurement_noise,127,60,uniform,55,5,29.328859753752273,0.230674272609113,0.7206266333844265,0.06488679117596838,0.22,0.8,0.06,0.010674272609112995,0.07937336661557359,0.00488679117596838,0.03164481013355166
measurement_noise_0.850,measurement_noise,128,60,uniform,56,6,12.134744118614229,0.22226640250683213,0.7581682655987674,0.06007461862216021,0.22,0.8,0.06,0.0022664025068321325,0.04183173440123267,7.461862216021076e-05,0.014724251843408337
measurement_noise_0.850,measurement_noise,129,60,uniform,30,20,20.047495360450604,0.22407314778881476,0.7683677353436347,0.060542643393708934,0.22,0.8,0.06,0.004073147788814763,0.03163226465636537,0.0005426433937089359,0.01208268527962969
measurement_noise_0.850,measurement_noise,130,60,uniform,42,8,411.8963800506801,0.2314384426508375,0.6682322173909867,0.0626003560950844,0.22,0.8,0.06,0.011438442650837488,0.13176778260901334,0.002600356095084397,0.04860219378497841
measurement_noise_0.850,measurement_noise,131,60,uniform,39,11,28.781420605850215,0.2246550112478145,0.7454555052575639,0.06132163030837669,0.22,0.8,0.06,0.004655011247814506,0.05454449474243617,0.0013216303083766895,0.020173712099542454
measurement_noise_0.850,measurement_noise,132,60,uniform,42,8,14.073070609542723,0.2202917720739972,0.7448732701337702,0.05925267512012913,0.22,0.8,0.06,0.00029177207399719296,0.055126729866229796,0.0007473248798708712,0.018721942273365953
measurement_noise_0.850,measurement_noise,133,60,uniform,45,5,16.810392539651325,0.2221352147167957,0.7625294109854014,0.06111273758530272,0.22,0.8,0.06,0.0021352147167957025,0.037470589014598654,0.0011127375853027255,0.013572847105565694
measurement_noise_0.850,measurement_noise,134,60,uniform,32,18,18.117687784576454,0.22167418445231313,0.7531770884678137,0.06003486363443775,0.22,0.8,0.06,0.0016741844523131266,0.04682291153218632,3.4863634437755364e-05,0.016177319872979067
measurement_noise_0.850,measurement_noise,135,60,uniform,54,4,5.448424996396987,0.22442045802730975,0.7506337023003484,0.0607471812427491,0.22,0.8,0.06,0.004420458027309754,0.04936629769965162,0.0007471812427491051,0.018177978989903493
measurement_noise_0.850,measurement_noise,136,60,uniform,56,6,18.929041168481376,0.2233394391211284,0.7639557141022556,0.06057235648411525,0.22,0.8,0.06,0.0033394391211284125,0.036044285897744444,0.0005723564841152509,0.013318693834329369
measurement_noise_0.850,measurement_noise,137,60,uniform,35,15,41.07032540854526,0.22674386992113546,0.7470885023932251,0.06207739410807499,0.22,0.8,0.06,0.006743869921135459,0.05291149760677494,0.0020773941080749897,0.020577587211995128
measurement_noise_0.850,measurement_noise,138,60,uniform,47,3,97.64207611102671,0.22197253834567893,0.7658635958480658,0.060563685760234486,0.22,0.8,0.06,0.001972538345678926,0.034136404151934197,0.0005636857602344877,0.012224209419282537
measurement_noise_0.850,measurement_noise,139,60,uniform,52,2,12.588066222297707,0.22094125617931512,0.758440358932547,0.0609310607293338,0.22,0.8,0.06,0.0009412561793151197,0.041559641067453024,0.0009310607293337991,0.014477319325367314
measurement_noise_0.850,measurement_noise,140,60,uniform,35,15,15.607631922139396,0.22315866501061743,0.7637228720386078,0.06096596225543063,0.22,0.8,0.06,0.0031586650106174285,0.036277127961392264,0.0009659622554306288,0.013467251742480106
