noise_std_dev,final_estimated_a,parameter_absolute_error,parameter_relative_error,prediction_rmse,bounded
0.0,0.9165098978547221,0.0034901021452778958,0.003793589288345539,0.8075992270666079,True
0.05,0.9167910667277296,0.0032089332722704533,0.0034879709481200577,0.8094459612015736,True
0.15,0.9174313075972487,0.0025686924027513713,0.00279205695951236,0.8239037045863589,True
0.3,0.9185834481360936,0.0014165518639064345,0.00153973028685482,0.870792518859063,True
0.5,0.920471052598428,0.00047105259842794567,0.0005120136939434192,0.9728223633918013,True
1.0,0.9269158957893664,0.006915895789366355,0.007517278031919951,1.3525695649059941,True
