generation_seed,test_index,action,context_support_distance,action_support_distance,action_support_minus_context,predicted_action_loss,predicted_relative_loss,realized_action_regret,unsafe_action
44071,0,1,1.4734531112579186,1.5271710016435032,0.05371789038558461,0.31138809179351046,0.0,0.0,0
44071,0,2,1.4734531112579186,1.5510415694532722,0.07758845819535365,0.44149089975047745,0.130102807956967,0.0,0
44071,0,3,1.4734531112579186,1.5365256795429338,0.06307256828501528,0.5144233436738453,0.2030352518803349,0.0,0
44071,1,1,4.5552168025290865,5.122503966864312,0.5672871643352257,0.16298092299490105,0.0,0.0,0
44071,1,2,4.5552168025290865,5.000610463044781,0.44539366051569473,0.17367531804355785,0.010694395048656796,0.0,0
44071,1,3,4.5552168025290865,5.2523223258668414,0.697105523337755,0.17465538286946636,0.011674459874565307,0.0,0
44071,2,1,4.257199123257907,4.92301732257042,0.665818199312513,0.1656086562650609,0.0,0.0,0
44071,2,2,4.257199123257907,4.978479056515554,0.7212799332576472,0.1772005748562096,0.011591918591148692,0.0,0
44071,2,3,4.257199123257907,5.070819626915618,0.8136205036577113,0.16631102265853717,0.0007023663934762614,0.0,0
44071,3,1,4.44615232336634,5.044623221613763,0.5984708982474238,0.13787364697278182,0.04674695765193017,0.0,0
44071,3,2,4.44615232336634,4.858089778639551,0.41193745527321113,0.10726600425944215,0.0161393149385905,0.0,0
44071,3,3,4.44615232336634,5.406658843811796,0.9605065204454561,0.09112668932085165,0.0,0.0,0
44071,4,1,1.729859338356818,1.7959082063225984,0.06604886796578047,0.2564884981111745,0.0,0.0,0
44071,4,2,1.729859338356818,1.793424518448817,0.06356518009199896,0.4102552702649404,0.15376677215376588,0.0,0
44071,4,3,1.729859338356818,1.8012187262749442,0.07135938791812624,0.47914635922368387,0.22265786111250935,0.0,0
44071,5,1,1.3524495452714578,1.3922587583597612,0.03980921308830343,0.23781506194133456,0.0,0.0,0
44071,5,2,1.3524495452714578,1.3840822121135077,0.031632666842049906,0.3959589914983391,0.15814392955700451,0.0,0
44071,5,3,1.3524495452714578,1.3920855694814653,0.03963602421000756,0.4587800873673032,0.22096502542596863,0.0,0
44071,6,1,1.191301255380168,1.3242540873008362,0.1329528319206681,0.18702754638241478,0.0,0.0,0
44071,6,2,1.191301255380168,1.2890572333508223,0.09775597797065427,0.3621620746367435,0.1751345282543287,0.0,0
44071,6,3,1.191301255380168,1.292237328554767,0.10093607317459896,0.4150067593709873,0.22797921298857252,0.0,0
