iteration,target_prior,updated_prior,absolute_change
1,0.208095419363025,0.17983984715572918,0.028255572207295826
2,0.17983984715572918,0.1596822972310322,0.020157549924696982
3,0.1596822972310322,0.1450213093997172,0.014660987831315003
4,0.1450213093997172,0.13418320707643278,0.010838102323284415
5,0.13418320707643278,0.12606348984510232,0.008119717231330453
6,0.12606348984510232,0.11991417665837362,0.006149313186728705
7,0.11991417665837362,0.11521639873455868,0.004697777923814941
8,0.11521639873455868,0.11160241165083515,0.003613987083723527
9,0.11160241165083515,0.10880665536881327,0.0027957562820218745
10,0.10880665536881327,0.10663425703262602,0.0021723983361872506
11,0.10663425703262602,0.10494025843671065,0.0016939985959153747
12,0.10494025843671065,0.10361559672230192,0.0013246617144087314
13,0.10361559672230192,0.10257743761405805,0.001038159108243869
14,0.10257743761405805,0.10176237738735862,0.0008150602266994295
15,0.10176237738735862,0.10112157635967448,0.000640801027684143
16,0.10112157635967448,0.1006172193698966,0.0005043569897778821
17,0.1006172193698966,0.10021990527086196,0.00039731409903463744
18,0.10021990527086196,0.09990669822893405,0.0003132070419279015
19,0.09990669822893405,0.09965965799011346,0.00024704023882059223
20,0.09965965799011346,0.09946472171890884,0.00019493627120462098
21,0.09946472171890884,0.09931084712671585,0.00015387459219298738
22,0.09931084712671585,0.09918935189168283,0.00012149523503302007
23,0.09918935189168283,0.09909340190124702,9.594999043581465e-05
24,0.09909340190124702,0.0990176132042546,7.578869699241542e-05
25,0.0990176132042546,0.09895774140603955,5.987179821505262e-05
26,0.09895774140603955,0.09891043866605226,4.730273998729273e-05
27,0.09891043866605226,0.0988730631874264,3.737547862585344e-05
28,0.0988730631874264,0.09884352960999525,2.95335774311567e-05
29,0.09884352960999525,0.09882019136801509,2.3338241980155883e-05
30,0.09882019136801509,0.09880174808489871,1.8443283116384435e-05
31,0.09880174808489871,0.09878717261498113,1.4575469917579853e-05
32,0.09878717261498113,0.09877565352550205,1.1519089479078426e-05
33,0.09877565352550205,0.09876654972706692,9.10379843513387e-06
34,0.09876654972706692,0.09875935467160132,7.19505546559196e-06
35,0.09875935467160132,0.09875366809077854,5.686580822783505e-06
36,0.09875366809077854,0.09874917368087859,4.494409899954976e-06
37,0.09874917368087859,0.0987456214792205,3.5522016580830096e-06
38,0.0987456214792205,0.09874281394349764,2.8075357228624087e-06
39,0.09874281394349764,0.09874059495455544,2.218988942204181e-06
40,0.09874059495455544,0.09873884112776649,1.7538267889499748e-06
41,0.09873884112776649,0.09873745494780696,1.386179959525502e-06
42,0.09873745494780696,0.09873635934382229,1.0956039846743426e-06
43,0.09873635934382229,0.09873549340255507,8.659412672196165e-07
44,0.09873549340255507,0.09873480898058885,6.844219662127671e-07
45,0.09873480898058885,0.09873426802704392,5.409535449307779e-07
46,0.09873426802704392,0.09873384046768166,4.27559362262131e-07
47,0.09873384046768166,0.09873350253266114,3.37935020522373e-07
48,0.09873350253266114,0.09873323543490391,2.6709775723110507e-07
49,0.09873323543490391,0.09873302432554415,2.1110935975732215e-07
50,0.09873302432554415,0.09873285746836434,1.6685717980913228e-07
51,0.09873285746836434,0.09873272558730156,1.3188106277872702e-07
52,0.09873272558730156,0.09873262135073937,1.042365621872765e-07
53,0.09873262135073937,0.09873253896390777,8.238683160688431e-08
54,0.09873253896390777,0.09873247384672747,6.511718030066671e-08
55,0.09873247384672747,0.09873242237918609,5.146754138152243e-08
56,0.09873242237918609,0.09873238170008967,4.067909641081169e-08
57,0.09873238170008967,0.09873234954799998,3.215208969897798e-08
58,0.09873234954799998,0.09873232413551492,2.541248506071625e-08
59,0.09873232413551492,0.09873230404990205,2.0085612867370983e-08
60,0.09873230404990205,0.09873228817456131,1.5875340736437593e-08
61,0.09873228817456131,0.09873227562695067,1.2547610644952911e-08
62,0.09873227562695067,0.09873226570952344,9.917427226668885e-09
63,0.09873226570952344,0.09873225787095023,7.838573207186172e-09
64,0.09873225787095023,0.09873225167546933,6.195480906079354e-09
65,0.09873225167546933,0.09873224677866185,4.896807473397935e-09
66,0.09873224677866185,0.09873224290830475,3.870357104251987e-09
67,0.09873224290830475,0.09873223984923729,3.059067457678033e-09
68,0.09873223984923729,0.09873223743139999,2.4178373053684865e-09
69,0.09873223743139999,0.09873223552038064,1.9110193427707145e-09
70,0.09873223552038064,0.09873223400994192,1.5104387185438384e-09
71,0.09873223400994192,0.09873223281611564,1.1938262878263828e-09
72,0.09873223281611564,0.0987322318725347,9.435809356084235e-10
73,0.0987322318725347,0.09873223112674366,7.457910400354706e-10
74,0.09873223112674366,0.09873223053728249,5.894611743162415e-10
75,0.09873223053728249,0.09873223007138192,4.659005681251216e-10
76,0.09873223007138192,0.09873222970314167,3.6824024385317955e-10
77,0.09873222970314167,0.09873222941209055,2.9105112764327146e-10
78,0.09873222941209055,0.09873222918204846,2.3004208260513082e-10
79,0.09873222918204846,0.09873222900022692,1.8182154393198147e-10
80,0.09873222900022692,0.09873222885651814,1.4370878098635131e-10
81,0.09873222885651814,0.09873222874293304,1.1358509965919694e-10
82,0.09873222874293304,0.09873222865315724,8.977579790681034e-11
